"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.beta","log2fold_change","Auc"
"971","TCP11L1","hurdle",0.0314439392055682,3.233496,3.809842,0.576346,0.489
"649","NRXN2","hurdle",0.0795342681518522,0.9358008,1.5913976,0.6555968,0.489
"114","C18orf32","hurdle",0.000633152832306791,4.056697,4.739458,0.682761,0.489
"1114","ZNF681","hurdle",0.0228188887000905,2.280462,2.929314,0.648852,0.488
"100","BRSK2","hurdle",0.0770684645119017,2.26748,2.84805,0.58057,0.488
"976","TFAP4","hurdle",0.00758080432219076,1.023402,1.937229,0.913827,0.487
"880","SLC25A35","hurdle",0.0708480239498099,2.286713,3.116562,0.829849,0.487
"267","DNAH5","hurdle",0.0103837220390751,3.733569,4.315575,0.582006,0.487
"40","ANKAR","hurdle",0.539982939767313,2.438048,3.018686,0.580638,0.487
"466","INTU","hurdle",0.104108347980321,3.192182,3.774305,0.582123,0.486
"300","ERMAP","hurdle",0.0232896889574647,3.637995,4.223935,0.58594,0.486
"739","PPM1N","hurdle",0.0202562488315506,2.417527,3.389726,0.972199,0.485
"266","DNAH14","hurdle",0.0228235448970565,3.581305,4.109462,0.528157,0.484
"241","DCAF15","hurdle",0.0245092058741093,2.61472,3.153389,0.538669,0.484
"641","NOG","hurdle",0.0605128592932161,-1.080359,0.7583628,1.8387218,0.482
"830","RSAD2","hurdle",0.00198681511392291,3.256525,4.361673,1.105148,0.479
"669","P2RX5-TAX1BP3","hurdle",0.163770163850023,0.4982989,1.030902,0.5326031,0.478
"248","DDX11","hurdle",0.00192074727840575,2.071509,2.572468,0.500959,0.478
"497","KCTD6","hurdle",0.0114587886617522,4.246277,4.776726,0.530449,0.475
"900","SLC9B1","hurdle",0.154640294885578,1.261828,2.24623,0.984402,0.466
"472","ISG20","hurdle",0.0557920010246632,4.290553,4.856091,0.565538,0.465
"471","ISG15","hurdle",0.00106103849843833,6.315237,8.134329,1.819092,0.424
