"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.alpha","log2fold_change","Auc"
"1877","TBC1D9","hurdle",0.0743465606547761,5.103446,5.697598,0.594152,0.535
"1845","STK4","hurdle",0.386390455585323,4.369898,4.97578,0.605882,0.535
"1767","SLC9A6","hurdle",0.243116777825927,4.300792,4.851754,0.550961999999999,0.535
"1644","SCAMP4","hurdle",0.356700902870115,5.37535,5.922978,0.547628,0.535
"1529","PTRH1","hurdle",0.339787280126341,4.812193,5.363604,0.551411,0.535
"1487","PREP","hurdle",0.154016318022391,4.340248,5.392199,1.051951,0.535
"1464","PPM1L","hurdle",0.0497333469136155,3.417779,4.196664,0.778885,0.535
"1442","PNPLA7","hurdle",0.0320089970193954,3.143944,4.455833,1.311889,0.535
"1409","PIK3C2B","hurdle",0.0903535544492001,2.565579,3.605404,1.039825,0.535
"1301","NRDE2","hurdle",0.0681327200355804,4.850642,5.49536,0.644718,0.535
"1088","LRRC14","hurdle",0.204818419067115,4.073059,4.92843,0.855371,0.535
"861","HHLA3","hurdle",0.233668054444402,3.812106,4.496306,0.6842,0.535
"800","GPHN","hurdle",0.21288046617279,4.261213,4.783835,0.522622,0.535
"794","GOT1","hurdle",0.253068876807795,5.870497,6.492318,0.621821,0.535
"730","FRY","hurdle",0.171069105231808,4.651051,5.153899,0.502848,0.535
"632","FAM135B","hurdle",0.00343005599732027,0.6226305,3.4190854,2.7964549,0.535
"525","DISP2","hurdle",0.0175701754453282,3.081292,4.73928,1.657988,0.535
"523","DIRAS2","hurdle",0.0238840091807521,1.724581,3.338998,1.614417,0.535
"472","CROT","hurdle",0.141881522117986,3.376143,4.133608,0.757465,0.535
"462","CPNE4","hurdle",0.00994231899976063,2.01584,4.16187,2.14603,0.535
"189","BBIP1","hurdle",0.00343413661267569,4.967868,5.739611,0.771743,0.535
"2124","ZMYND12","hurdle",0.0172625401486165,2.040574,2.907667,0.867093,0.534
"2043","UPB1","hurdle",1.92578460118341e-05,-2.030829,2.84721,4.878039,0.534
"1994","TRRAP","hurdle",0.1198136362499,4.440477,5.171928,0.731451000000001,0.534
"1791","SOWAHA","hurdle",0.104451231842434,3.810765,4.610199,0.799434,0.534
"1697","SIK3","hurdle",0.184956964838633,5.026624,5.66063,0.634006,0.534
"1695","SIGLEC15","hurdle",0.000428298529682597,-0.4074641,3.3272189,3.734683,0.534
"1523","PTPRD","hurdle",0.0430626115772866,2.510302,3.889374,1.379072,0.534
"1460","PPIL2","hurdle",0.0270703528005439,4.396228,5.404475,1.008247,0.534
"1372","PDCD2L","hurdle",0.0278137753916351,3.564868,4.596246,1.031378,0.534
"1356","PCDHB4","hurdle",0.0270005496677736,3.445593,4.917333,1.47174,0.534
"1200","MSI1","hurdle",0.157101365436132,4.215589,4.742363,0.526774000000001,0.534
"1174","MFSD6L","hurdle",0.110254977763366,2.29821,3.266273,0.968063,0.534
"1134","MAPK7","hurdle",0.129041573688601,3.356019,4.249482,0.893463000000001,0.534
"1092","LRRC36","hurdle",0.0344915340550857,2.109531,3.765953,1.656422,0.534
"1048","LAT2","hurdle",0.0597989992015389,3.517899,5.078692,1.560793,0.534
"1042","L3MBTL1","hurdle",0.0538673401946804,2.079807,3.185015,1.105208,0.534
"726","FRMD4B","hurdle",0.176921061494319,3.631662,4.526044,0.894382,0.534
"314","CCDC137","hurdle",0.210797046832609,4.213318,4.803272,0.589954,0.534
"2097","WWOX","hurdle",0.309644771059927,4.476944,5.016557,0.539613,0.533
"2008","TTC33","hurdle",0.310121609080833,4.164172,4.686338,0.522166,0.533
"1927","TMEM106A","hurdle",0.150425711646024,2.622648,3.586402,0.963754,0.533
"1810","SPIRE2","hurdle",0.193221567026548,3.181922,4.082145,0.900223,0.533
"1789","SOCS6","hurdle",0.312396840694184,4.811086,5.43491,0.623824,0.533
"1717","SLC22A15","hurdle",0.169207632147516,3.241487,3.858056,0.616569,0.533
"1603","RNF144A","hurdle",0.1574904462687,3.543846,4.327128,0.783282,0.533
"1547","RAB3A","hurdle",0.272977987161995,4.182679,4.729171,0.546492,0.533
"1520","PTGR2","hurdle",0.307285813312,4.129739,4.707285,0.577546,0.533
"1461","PPIL6","hurdle",0.0817214570965546,2.479256,3.733691,1.254435,0.533
"1341","PAX8","hurdle",0.0446558692257767,2.200661,3.519039,1.318378,0.533
"1329","PAK6","hurdle",0.15710831160011,3.764371,4.847215,1.082844,0.533
"1282","NLRP3","hurdle",8.61740503088744e-05,-0.973161,3.222398,4.195559,0.533
"1250","NDRG3","hurdle",0.00683989082442905,5.681802,6.317109,0.635307,0.533
"1223","MYO10","hurdle",0.05560303162539,5.932621,6.682103,0.749482,0.533
"1107","LYNX1","hurdle",0.0911986495007779,2.905875,4.125426,1.219551,0.533
"916","IGFALS","hurdle",0.0299696662491487,2.112441,3.697265,1.584824,0.533
"766","GGH","hurdle",0.0721350626651689,4.355386,5.238022,0.882636,0.533
"686","FBXO22","hurdle",0.229054171808889,4.744273,5.31788,0.573607,0.533
"672","FAM98C","hurdle",0.214961012519276,4.423919,5.052117,0.628198,0.533
"635","FAM153C","hurdle",0.0037960791650064,0.4400813,3.0947096,2.6546283,0.533
"510","DECR2","hurdle",0.392907832555106,4.88886,5.459139,0.570279,0.533
"458","CPEB3","hurdle",0.169866915657382,3.399669,4.154306,0.754637,0.533
"429","CNKSR3","hurdle",0.131360460153032,4.562896,5.348983,0.786086999999999,0.533
"259","C3orf18","hurdle",0.0895217248069247,2.950939,3.843248,0.892309,0.533
"206","BRSK2","hurdle",0.0889118800774247,2.191817,3.117083,0.925266,0.533
"67","ALKBH6","hurdle",0.240269640271067,3.682758,4.216463,0.533705,0.533
"40","ADCK1","hurdle",0.140442691935178,3.151836,4.016827,0.864991,0.533
"2209","ZSCAN18","hurdle",0.11024978058549,5.406204,6.052919,0.646715,0.532
"2129","ZNF141","hurdle",0.0816681676548858,2.418565,3.153723,0.735158,0.532
"2095","WNT2B","hurdle",0.0160029139944832,1.828895,3.562964,1.734069,0.532
"2079","WARS2","hurdle",0.232020637095463,3.80959,4.54486,0.73527,0.532
"1879","TBL1Y","hurdle",0.00556841780470647,0.2379608,2.4423573,2.2043965,0.532
"1871","SYTL5","hurdle",0.00730328221626659,0.9659285,2.999379,2.0334505,0.532
"1746","SLC37A1","hurdle",0.295353115338065,4.680431,5.238949,0.558518,0.532
"1722","SLC24A3","hurdle",0.0414424831764189,1.355942,3.094127,1.738185,0.532
"1684","SGSM3","hurdle",0.0159834246750932,6.136355,6.837945,0.70159,0.532
"1554","RAB9B","hurdle",0.1517152008322,3.543427,4.496264,0.952837,0.532
"1543","RAB1B","hurdle",0.0915435945886264,6.928832,7.518311,0.589479,0.532
"1533","PWP2","hurdle",0.160566368828012,3.244673,4.252838,1.008165,0.532
"1473","PPP1R3F","hurdle",0.036051290877721,2.962307,4.386592,1.424285,0.532
"1406","PIGL","hurdle",0.196886519052085,3.154763,3.801739,0.646976,0.532
"1292","NPAS4","hurdle",0.0010094712423737,1.898334,4.343487,2.445153,0.532
"1233","MYT1","hurdle",0.0451837052621524,2.068698,2.990021,0.921323,0.532
"1227","MYO18A","hurdle",0.158341713591158,2.690743,3.720378,1.029635,0.532
"1196","MRPL53","hurdle",0.218447905003414,5.3289,5.833381,0.504481,0.532
"1083","LRFN3","hurdle",0.0511942567295368,3.33955,4.404708,1.065158,0.532
"1072","LIPC","hurdle",0.0253048667604964,2.540539,3.64493,1.104391,0.532
"962","JAZF1","hurdle",0.00603895997768863,4.609611,5.405067,0.795456,0.532
"877","HMGCS2","hurdle",0.0145096967335877,3.573009,5.379903,1.806894,0.532
"818","GPX4","hurdle",0.347259553236045,9.06376,9.59592,0.532159999999999,0.532
"776","GLS2","hurdle",0.170420795252619,3.61389,4.752207,1.138317,0.532
"613","EYS","hurdle",0.107434220096978,3.611654,4.789402,1.177748,0.532
"592","EPHA4","hurdle",0.000150883663298156,-0.6840351,3.4401529,4.124188,0.532
"542","DNER","hurdle",0.11940471180669,3.226007,4.34405,1.118043,0.532
"519","DHDDS","hurdle",0.268484721864214,4.98784,5.524427,0.536587,0.532
"502","DCAKD","hurdle",0.00113361476053977,4.95141,6.012942,1.061532,0.532
"400","CHKB","hurdle",0.302849139097625,2.950247,3.912869,0.962622,0.532
"382","CEP85","hurdle",0.113550642707096,3.037116,4.174436,1.13732,0.532
"201","BNIPL","hurdle",0.00037521829254817,-1.066302,1.354415,2.420717,0.532
"193","BCKDHB","hurdle",0.334293542953397,4.20553,4.839598,0.634067999999999,0.532
"155","ATP13A1","hurdle",0.0984539188276673,5.684359,6.268401,0.584042,0.532
"122","ARHGEF16","hurdle",0.195517740724663,3.743747,4.349869,0.606122,0.532
"2162","ZNF568","hurdle",0.156477467588074,3.997495,4.839704,0.842209,0.531
"2069","VPS53","hurdle",0.0327318064906641,5.320962,5.847587,0.526625,0.531
"1875","TATDN3","hurdle",0.402542169777961,4.507915,5.12164,0.613725000000001,0.531
"1837","STARD13","hurdle",0.280225969981972,3.838548,4.554186,0.715638,0.531
"1792","SOX13","hurdle",0.0805671383994816,2.9665,3.852472,0.885972,0.531
"1679","SFTPD","hurdle",0.089616593320504,2.888297,4.076992,1.188695,0.531
"1614","ROR1","hurdle",0.131269073181969,4.861656,5.385264,0.523608,0.531
"1534","PYGB","hurdle",0.592206318430172,5.418866,6.006851,0.587985,0.531
"1530","PUSL1","hurdle",0.201585125706404,4.068411,4.809404,0.740993,0.531
"1522","PTPN23","hurdle",0.1620131860278,4.531054,5.125493,0.594438999999999,0.531
"1455","POU2F1","hurdle",0.509706751435257,4.183864,4.748039,0.564175000000001,0.531
"1338","PARP2","hurdle",0.194157581308997,4.29543,4.976013,0.680583,0.531
"1205","MTM1","hurdle",0.172067794617419,3.483968,4.016896,0.532928,0.531
"1169","METTL14","hurdle",0.228046868279577,4.965959,5.620361,0.654402,0.531
"1103","LSS","hurdle",0.586781193775991,5.577883,6.514302,0.936419,0.531
"1070","LINGO2","hurdle",0.0107555433144576,0.9039565,3.1803761,2.2764196,0.531
"1022","KLC4","hurdle",0.374613129704581,4.609573,5.125833,0.51626,0.531
"1009","KIAA1958","hurdle",0.173959213994431,3.582194,4.353334,0.77114,0.531
"1003","KIAA1211L","hurdle",0.239221504847178,3.546404,4.176009,0.629605,0.531
"893","HSCB","hurdle",0.300655166383186,4.596425,5.142168,0.545743,0.531
"799","GPD1L","hurdle",0.269455565294241,3.865219,4.610726,0.745506999999999,0.531
"724","FOXP4","hurdle",0.0533836509639118,5.014569,5.804347,0.789778,0.531
"717","FN3K","hurdle",0.124511187650381,3.277459,3.906557,0.629098,0.531
"692","FCHSD2","hurdle",0.245043846729115,3.512096,4.346911,0.834815,0.531
"609","EXOG","hurdle",0.374919312668274,4.328524,4.833877,0.505353,0.531
"487","CXorf40B","hurdle",0.197559252367084,3.626475,4.322974,0.696499,0.531
"363","CDKN2A","hurdle",0.231161954976778,3.892949,4.794903,0.901953999999999,0.531
"278","C9orf24","hurdle",0.0325725675411812,2.120317,3.142777,1.02246,0.531
"267","C6orf52","hurdle",0.0500831979405164,1.768266,3.73147,1.963204,0.531
"171","ATRNL1","hurdle",0.230355864804729,3.787983,4.518955,0.730972,0.531
"2204","ZNRF1","hurdle",0.21958025934225,4.203142,4.84156,0.638418000000001,0.53
"2035","UBR4","hurdle",0.12470802159772,6.543189,7.110526,0.567337,0.53
"2007","TTC32","hurdle",0.154656384251102,3.723134,4.494063,0.770929,0.53
"1987","TRIM7","hurdle",0.0529857679501142,1.254544,2.342278,1.087734,0.53
"1952","TMEM63B","hurdle",0.253173274911395,3.762256,4.381696,0.61944,0.53
"1918","TLE6","hurdle",0.123732568838215,2.417987,3.292467,0.87448,0.53
"1894","TENM1","hurdle",0.000623747508269865,0.8384388,2.2590846,1.4206458,0.53
"1820","SRBD1","hurdle",0.472026542388198,4.80862,5.554104,0.745483999999999,0.53
"1799","SPATA2","hurdle",0.259364361019355,3.199324,4.012449,0.813125,0.53
"1785","SNTG2","hurdle",0.0383036958662351,1.08489,2.728704,1.643814,0.53
"1608","RNF208","hurdle",0.121761072804351,2.341585,3.479141,1.137556,0.53
"1558","RAD1","hurdle",0.0634572528880481,4.828724,5.518435,0.689711,0.53
"1514","PSRC1","hurdle",0.0307667864697946,1.712617,2.586552,0.873935,0.53
"1271","NHLRC3","hurdle",0.282799514097809,5.351778,5.972147,0.620368999999999,0.53
"1036","KPTN","hurdle",0.113779428513924,3.217229,4.315715,1.098486,0.53
"952","ITGA7","hurdle",0.0304479917825239,2.222327,3.768219,1.545892,0.53
"920","IGHMBP2","hurdle",0.0337303083401862,3.176149,4.532445,1.356296,0.53
"851","HDAC4","hurdle",0.211988410417714,3.258991,3.971346,0.712355,0.53
"788","GNG10","hurdle",0.242089395702987,2.121814,3.137154,1.01534,0.53
"729","FRS2","hurdle",0.342319286947344,4.667985,5.201169,0.533184,0.53
"696","FFAR2","hurdle",0.0354783745647432,2.117682,4.26288,2.145198,0.53
"497","DAGLA","hurdle",0.245791236955843,3.42088,4.150124,0.729244,0.53
"338","CD22","hurdle",0.0355154972302538,1.497514,2.26852,0.771006,0.53
"333","CD109","hurdle",0.0036846845058444,2.125068,4.573163,2.448095,0.53
"157","ATP5EP2","hurdle",0.00011983530587182,7.034743,7.707549,0.672806,0.53
"121","ARHGEF11","hurdle",0.107180301283224,3.035372,3.758089,0.722717,0.53
"116","ARHGAP11A","hurdle",0.0303901071676335,1.539245,3.035754,1.496509,0.53
"97","APITD1","hurdle",0.308260495648208,3.321581,4.084056,0.762475,0.53
"17","ABHD6","hurdle",0.30157710054002,3.753256,4.641933,0.888677,0.53
"1962","TMSB15B","hurdle",0.0172372632353139,1.801896,3.613746,1.81185,0.529
"1928","TMEM131","hurdle",0.149045579398958,5.565561,6.156574,0.591013,0.529
"1787","SNX16","hurdle",0.148159843253702,2.898236,4.353649,1.455413,0.529
"1726","SLC25A25","hurdle",0.298629594822727,4.261054,4.850683,0.589629,0.529
"1713","SLC16A9","hurdle",0.324160409179538,4.407869,5.009335,0.601466,0.529
"1694","SIDT2","hurdle",0.120068207470581,3.857267,4.60817,0.750903000000001,0.529
"1570","RASSF4","hurdle",0.134585734269792,4.861158,5.454568,0.59341,0.529
"1415","PKD1","hurdle",0.484314954935195,5.071197,5.610969,0.539772,0.529
"1410","PIK3R3","hurdle",0.249717110440237,3.677468,4.479578,0.80211,0.529
"1407","PIGS","hurdle",0.130986167796743,6.262965,6.764597,0.501632,0.529
"1232","MYOZ1","hurdle",0.00529819449062791,1.356395,2.45254,1.096145,0.529
"1094","LRRC39","hurdle",0.00238401420629515,0.7693332,3.6523585,2.8830253,0.529
"1059","LGI2","hurdle",0.0550580023095509,2.893862,4.234363,1.340501,0.529
"942","IQCD","hurdle",0.0348206670644868,2.143966,2.829278,0.685312,0.529
"827","GRM1","hurdle",0.0476193041667296,1.684031,3.385652,1.701621,0.529
"758","GCNT2","hurdle",0.0812088216016957,2.648398,3.938316,1.289918,0.529
"610","EXTL3","hurdle",0.0850678193630825,4.528714,5.29749,0.768776,0.529
"529","DLK2","hurdle",0.00194398909191393,0.5621461,3.3815383,2.8193922,0.529
"488","CYB5RL","hurdle",0.0518431860078433,2.592753,4.274091,1.681338,0.529
"356","CDHR5","hurdle",0.0232346741584218,2.191216,4.630953,2.439737,0.529
"115","ARHGAP1","hurdle",0.00234030743785555,6.95619,7.686149,0.729959,0.529
"102","APOC1","hurdle",0.0617439909728831,1.656127,3.336134,1.680007,0.529
"63","AKTIP","hurdle",0.260578288315044,4.752059,5.34046,0.588401,0.529
"2147","ZNF460","hurdle",0.179819755088811,2.375863,4.204512,1.828649,0.528
"2144","ZNF432","hurdle",0.0975904010589682,2.072169,3.403747,1.331578,0.528
"2131","ZNF154","hurdle",0.0536577432412495,2.562797,3.629765,1.066968,0.528
"1758","SLC5A1","hurdle",0.125825236691923,4.062092,4.905446,0.843354000000001,0.528
"1724","SLC25A17","hurdle",0.582103922375398,5.133678,5.747582,0.613904000000001,0.528
"1641","SARS2","hurdle",0.330251479823728,3.886792,4.66485,0.778058000000001,0.528
"1571","RASSF5","hurdle",0.251491676437253,4.658982,5.442484,0.783502,0.528
"1519","PTGER4","hurdle",0.0810274501592895,2.475985,3.194998,0.719013,0.528
"1512","PSD","hurdle",0.166168004199946,4.221686,4.870079,0.648393,0.528
"1366","PCNT","hurdle",0.452676672869659,5.180794,5.804216,0.623422000000001,0.528
"1348","PCDHA5","hurdle",0.00956703165482863,0.2842077,2.5244101,2.2402024,0.528
"1076","LMF1","hurdle",0.054045578574088,4.869937,5.673144,0.803207,0.528
"936","INPP4A","hurdle",0.12903231194839,4.365397,4.99208,0.626683,0.528
"853","HECTD4","hurdle",0.0203046961408892,5.6042,6.220478,0.616278,0.528
"848","HCN3","hurdle",0.186599550952973,2.931324,4.035586,1.104262,0.528
"796","GPBAR1","hurdle",0.0448994446320301,2.503205,3.439452,0.936247,0.528
"752","GATAD2B","hurdle",0.27978631817989,4.468944,5.106971,0.638027,0.528
"741","G6PC3","hurdle",0.0272706145728609,6.450554,7.079513,0.628959,0.528
"577","ELOVL6","hurdle",0.286000271289074,3.686676,4.491097,0.804421,0.528
"568","EFCAB5","hurdle",0.00534144589934497,-0.6991122,2.5204865,3.2195987,0.528
"513","DEPDC5","hurdle",0.0879668945815146,3.151077,4.189006,1.037929,0.528
"478","CSMD1","hurdle",0.012801949526204,0.7696183,3.2287055,2.4590872,0.528
"375","CENPBD1","hurdle",0.186529932477156,4.554687,5.373789,0.819102,0.528
"354","CDH18","hurdle",0.00913803268579577,1.271863,3.607655,2.335792,0.528
"332","CCSAP","hurdle",0.14918009954633,2.931323,4.079573,1.14825,0.528
"183","B4GALNT3","hurdle",0.108484533009883,2.565572,3.78845,1.222878,0.528
"181","B3GNT8","hurdle",0.267845612441875,3.875494,4.391989,0.516494999999999,0.528
"109","AQP11","hurdle",0.071019100035598,2.505409,3.589763,1.084354,0.528
"25","ACOT1","hurdle",0.218042174742962,0.7201162,2.1536679,1.4335517,0.528
"8","ABCB7","hurdle",0.358467090250486,4.215716,4.964729,0.749013000000001,0.528
"2060","VEGFC","hurdle",0.0559760799344135,0.7227182,2.1907947,1.4680765,0.527
"2058","VARS","hurdle",0.0532446170310359,5.357511,5.929205,0.571694,0.527
"2048","USH2A","hurdle",0.0014977755458086,-1.157424,1.558278,2.715702,0.527
"1983","TRIM35","hurdle",0.343814166323145,3.206996,4.297001,1.090005,0.527
"1967","TNK1","hurdle",0.18656194444399,2.818712,3.41818,0.599468,0.527
"1919","TLK1","hurdle",0.126245487840333,6.363413,6.893711,0.530297999999999,0.527
"1804","SPHK2","hurdle",0.166164648658974,4.156339,5.116385,0.960046,0.527
"1445","POGK","hurdle",0.413654825117577,5.024245,5.643328,0.619083000000001,0.527
"1037","KRBA1","hurdle",0.0279961743904761,2.341575,3.734267,1.392692,0.527
"996","KHK","hurdle",0.258017136285715,3.291599,3.914789,0.62319,0.527
"935","INO80E","hurdle",0.449600431930487,4.13837,4.644587,0.506216999999999,0.527
"908","HYDIN","hurdle",0.276274874677547,2.953233,3.557646,0.604413,0.527
"900","HSPA13","hurdle",0.10716364794608,5.596465,6.42582,0.829355,0.527
"807","GPR3","hurdle",0.00148071204086735,-0.9921367,2.354576,3.3467127,0.527
"801","GPLD1","hurdle",0.169752266146469,3.180353,3.74424,0.563887,0.527
"736","FUK","hurdle",0.301679538395855,3.72542,4.323117,0.597697,0.527
"723","FOXK2","hurdle",0.123284004473455,4.567488,5.150405,0.582917,0.527
"705","FIGN","hurdle",0.133608794724083,2.082903,3.432402,1.349499,0.527
"697","FFAR3","hurdle",0.0149796729656012,0.4995116,2.8764805,2.3769689,0.527
"491","CYP4F12","hurdle",0.00102498192642437,-0.1352548,3.0010164,3.1362712,0.527
"384","CERK","hurdle",0.0475427220562181,6.087075,6.617429,0.530354,0.527
"370","CELF2","hurdle",0.0623178407190969,3.514377,4.579511,1.065134,0.527
"327","CCKBR","hurdle",0.171309264359668,3.309643,4.247541,0.937898,0.527
"323","CCDC7","hurdle",0.200679221106206,2.799936,3.774298,0.974362,0.527
"319","CCDC178","hurdle",0.00256055027332487,-1.044604,2.515745,3.560349,0.527
"301","CAMSAP3","hurdle",0.151787745557473,4.181178,4.713667,0.532489,0.527
"145","ASIC3","hurdle",0.0933311668997711,1.225401,2.619924,1.394523,0.527
"37","ADAMTS18","hurdle",0.000985663014267246,-0.3925291,2.897127,3.2896561,0.527
"2167","ZNF585A","hurdle",0.37613547841729,3.808246,4.463603,0.655357,0.526
"2127","ZNF138","hurdle",0.29972124255653,3.243248,4.019409,0.776161,0.526
"2052","USP27X","hurdle",0.190940654840181,2.869629,3.852607,0.982978,0.526
"2029","UBAP2","hurdle",0.341514430266495,5.007065,5.688205,0.68114,0.526
"2004","TTBK2","hurdle",0.377422764192429,3.528212,4.093098,0.564886,0.526
"1945","TMEM38A","hurdle",0.269958673979199,2.95108,3.625571,0.674491,0.526
"1944","TMEM255A","hurdle",0.00520416742584854,0.003841567,2.912215848,2.908374281,0.526
"1625","RSAD2","hurdle",0.105467098384598,3.026699,4.85812,1.831421,0.526
"1502","PRPF3","hurdle",0.029544325410601,4.64041,5.293657,0.653246999999999,0.526
"1433","PLEKHH1","hurdle",0.0671630899047069,3.012805,4.417252,1.404447,0.526
"1419","PKIA","hurdle",0.159526761711967,3.333541,4.388534,1.054993,0.526
"1413","PITPNM2","hurdle",0.195545743198092,2.584227,3.587838,1.003611,0.526
"1288","NOMO2","hurdle",0.388220245317694,1.673846,2.318666,0.64482,0.526
"1285","NNAT","hurdle",0.00614056374629219,0.8646686,4.1483462,3.2836776,0.526
"1125","MAP3K10","hurdle",0.114204006715412,1.865675,2.74283,0.877155,0.526
"1120","MAN2A2","hurdle",0.462609666024194,5.184511,5.833811,0.6493,0.526
"968","KCNAB1","hurdle",0.0187777281200403,1.631997,3.210229,1.578232,0.526
"961","JAKMIP3","hurdle",0.0460130072516736,1.539808,2.530693,0.990885,0.526
"922","IGSF22","hurdle",0.161582737150714,2.518682,3.245889,0.727207,0.526
"911","IDNK","hurdle",0.541499426497499,4.648304,5.231937,0.583633,0.526
"902","HSPA4L","hurdle",0.249036073639182,3.948249,4.450472,0.502223,0.526
"866","HIST1H1C","hurdle",0.423532735635394,5.615834,6.200173,0.584339,0.526
"699","FGD1","hurdle",0.300384931631399,2.524491,3.47268,0.948189,0.526
"511","DENND4B","hurdle",0.0920621912081672,4.055017,5.02603,0.971013,0.526
"412","CLCN6","hurdle",0.323126861407433,4.371444,4.92958,0.558135999999999,0.526
"343","CD81","hurdle",0.00373295124193679,7.885076,8.43861,0.553534000000001,0.526
"303","CAPN10","hurdle",0.311606232093086,3.491435,4.185042,0.693607,0.526
"292","CADM4","hurdle",0.252291466071255,2.999537,3.604525,0.604988,0.526
"252","C2CD2L","hurdle",0.254632297955378,3.195676,4.021269,0.825593,0.526
"246","C1orf74","hurdle",0.107142081976481,2.445788,3.690484,1.244696,0.526
"176","AXIN2","hurdle",0.151804856856238,2.340086,2.878635,0.538549,0.526
"2213","ZUFSP","hurdle",0.473398770688514,3.832782,4.360348,0.527566,0.525
"2201","ZNF846","hurdle",0.164249561054288,2.853623,3.830646,0.977023,0.525
"2138","ZNF331","hurdle",0.23563836192326,5.240412,5.92263,0.682218,0.525
"2106","ZBTB14","hurdle",0.0476597073887639,2.729297,4.091328,1.362031,0.525
"2017","TUBA8","hurdle",0.174468416061704,2.05424,2.668331,0.614091,0.525
"1995","TSC22D3","hurdle",0.431524264270398,5.704602,6.417862,0.71326,0.525
"1643","SCAF4","hurdle",0.534538673027443,4.650315,5.19152,0.541205,0.525
"1555","RAC2","hurdle",0.0648661422886978,2.743717,4.074545,1.330828,0.525
"1506","PRR7","hurdle",0.255815075684968,3.651386,4.398257,0.746871,0.525
"1453","POR","hurdle",0.484768996596862,6.532101,7.2089,0.676799,0.525
"1243","NAPG","hurdle",0.109386806027169,5.738588,6.290627,0.552039,0.525
"1189","MORN1","hurdle",0.0322309670931285,0.8175702,2.8348779,2.0173077,0.525
"1073","LIPG","hurdle",0.157440338616216,3.043863,3.928996,0.885133,0.525
"880","HNF1A","hurdle",0.480195518431589,3.290874,3.921409,0.630535,0.525
"852","HECTD2","hurdle",0.132071263566378,3.660433,4.388859,0.728426,0.525
"846","HCG25","hurdle",0.0424759057801224,-2.0286345,-0.7827863,1.2458482,0.525
"772","GLI3","hurdle",0.179819144402166,2.414772,3.756204,1.341432,0.525
"703","FHDC1","hurdle",0.170982758662612,1.812584,2.686375,0.873791,0.525
"617","F13A1","hurdle",1.89535851457048e-05,-3.321928,2.694472,6.0164,0.525
"572","EFNB3","hurdle",0.176220273806393,4.115538,4.708595,0.593057,0.525
"431","CNNM4","hurdle",0.30885674620734,3.186767,3.813513,0.626746,0.525
"417","CLIP2","hurdle",0.488449231511064,3.903538,4.533749,0.630211,0.525
"229","C14orf37","hurdle",0.243288117880409,2.785974,4.007093,1.221119,0.525
"152","ATG16L2","hurdle",0.277132364347238,3.68314,4.363952,0.680812,0.525
"131","ARMCX4","hurdle",0.124855704958948,4.409126,5.026755,0.617629,0.525
"59","AK7","hurdle",0.243971386880643,2.603045,3.246718,0.643673,0.525
"2172","ZNF595","hurdle",0.218604179294306,3.080511,3.742581,0.66207,0.524
"2150","ZNF473","hurdle",0.140392703468032,2.311415,4.077115,1.7657,0.524
"2137","ZNF304","hurdle",0.154567256354723,3.015463,4.016661,1.001198,0.524
"2022","TUBGCP4","hurdle",0.52722127570014,4.721123,5.254013,0.532889999999999,0.524
"1890","TDRD5","hurdle",0.0137315127165793,0.5124899,2.5259502,2.0134603,0.524
"1824","SRSF12","hurdle",0.123960082526841,2.759691,3.789414,1.029723,0.524
"1806","SPICE1","hurdle",0.365461784039672,3.591508,4.31048,0.718972,0.524
"1617","RPP14","hurdle",0.208444920284114,4.463388,5.168761,0.705373,0.524
"1540","QTRTD1","hurdle",0.397012101190159,3.551135,4.239332,0.688197,0.524
"1517","PTGER1","hurdle",0.0423940914554933,0.7092919,2.630203,1.9209111,0.524
"1496","PRLR","hurdle",0.14941030445538,3.550613,4.191399,0.640786,0.524
"1465","PPP1R12C","hurdle",0.541855247603671,4.069906,4.645016,0.57511,0.524
"1245","NAT1","hurdle",0.0155199932068449,3.132146,4.569284,1.437138,0.524
"1216","MYBPHL","hurdle",0.0170601983273721,0.503614,2.795935,2.292321,0.524
"1152","MBD5","hurdle",0.454204784841298,3.427988,4.198556,0.770568,0.524
"1146","MARCH9","hurdle",0.328659491536841,4.090623,4.65324,0.562617,0.524
"1096","LRRC40","hurdle",0.324901223150564,3.814837,4.320139,0.505302,0.524
"995","KHDC1","hurdle",0.0978517554528232,2.13747,3.327721,1.190251,0.524
"934","INO80B","hurdle",0.0744113820904701,0.8795285,1.667049,0.7875205,0.524
"760","GDAP1L1","hurdle",0.348069081076071,3.602945,4.298631,0.695686,0.524
"688","FBXO44","hurdle",0.164554432292281,4.558063,5.099289,0.541226,0.524
"619","F7","hurdle",0.0204463713457574,0.3115967,2.2538748,1.9422781,0.524
"546","DOC2A","hurdle",0.0193435520747233,-0.8553978,2.1554769,3.0108747,0.524
"537","DNAJC14","hurdle",0.391129684529378,4.726661,5.361298,0.634637,0.524
"505","DCUN1D2","hurdle",0.358368152368145,4.029665,4.595775,0.56611,0.524
"454","COX6A2","hurdle",0.111748889715949,1.629115,2.43872,0.809605,0.524
"221","C11orf80","hurdle",0.320054477083415,3.556977,4.380229,0.823252,0.524
"205","BRS3","hurdle",0.00077108218655821,-1.474169,3.735019,5.209188,0.524
"178","B3GALT4","hurdle",0.524857688162562,4.318217,4.849189,0.530972,0.524
