"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.duct","log2fold_change","Auc"
"1235","MMP7","hurdle",2.71655051111319e-92,6.831991,12.813333,5.981342,0.977
"1076","KRT19","hurdle",7.78039918840182e-78,6.993181,11.545546,4.552365,0.965
"405","CFTR","hurdle",7.1620090080501e-87,4.654273,10.964987,6.310714,0.949
"1081","KRT8","hurdle",3.0909591626784e-63,8.937065,12.013671,3.076606,0.943
"1075","KRT18","hurdle",4.1931055820679e-62,8.451736,11.649274,3.197538,0.94
"107","ANXA2","hurdle",9.91947889296211e-50,8.738571,11.479609,2.741038,0.938
"1883","SPP1","hurdle",8.85317607653126e-79,8.292189,13.835011,5.542822,0.927
"2133","TSPAN8","hurdle",2.73683587352107e-57,6.974101,10.739787,3.765686,0.914
"1737","SERPINA5","hurdle",1.97775437302192e-62,5.916077,10.047668,4.131591,0.914
"1948","TACSTD2","hurdle",6.65736242757019e-54,8.001086,10.691776,2.69069,0.913
"496","CTSH","hurdle",1.40605508553488e-54,6.356559,10.083977,3.727418,0.913
"109","ANXA4","hurdle",2.09830568889133e-44,8.721615,11.526833,2.805218,0.897
"1742","SERPING1","hurdle",1.27454063860231e-45,6.98646,10.25181,3.26535,0.88
"435","CLDN10","hurdle",5.97837430007797e-50,5.697304,9.626928,3.929624,0.878
"362","CD44","hurdle",1.35702418100201e-37,8.6059,11.18724,2.58134,0.877
"1108","LCN2","hurdle",5.84512612149739e-42,11.1934,12.40989,1.21649,0.87
"1507","PMEPA1","hurdle",2.02919587896833e-46,5.702076,9.250355,3.548279,0.869
"1080","KRT7","hurdle",8.54956146598576e-41,7.826755,10.531165,2.70441,0.868
"367","CD74","hurdle",1.14683927209363e-40,8.354184,11.058958,2.704774,0.867
"2014","TM4SF1","hurdle",6.64215755407629e-36,7.969709,9.803,1.833291,0.857
"541","DEFB1","hurdle",1.1119488102223e-54,4.063528,9.668521,5.604993,0.848
"1736","SERPINA1","hurdle",2.44550604500716e-30,10.59954,12.01074,1.4112,0.843
"1380","ONECUT2","hurdle",1.98593408189831e-52,3.530784,8.510278,4.979494,0.833
"1986","TFPI2","hurdle",4.09256362532708e-49,4.014833,9.242806,5.227973,0.827
"131","AQP1","hurdle",1.58508218298706e-54,2.961559,9.899181,6.937622,0.826
"2002","TINAGL1","hurdle",4.94773629838487e-48,3.562286,8.498359,4.936073,0.823
"2092","TPM1","hurdle",3.37320070922502e-25,8.689837,10.671289,1.981452,0.822
"1863","SOX4","hurdle",1.20394399544154e-25,8.39619,10.12567,1.72948,0.822
"88","AMBP","hurdle",1.70611785520768e-33,7.231695,10.200111,2.968416,0.822
"1828","SLC4A4","hurdle",1.91316082408737e-35,5.764727,9.234248,3.469521,0.816
"177","ATP1A1","hurdle",5.24232374855941e-28,8.714655,10.830404,2.115749,0.816
"1378","OLFM4","hurdle",3.35639867029457e-29,11.23226,11.81498,0.58272,0.81
"1840","SLPI","hurdle",1.32130114365073e-40,4.604071,9.314239,4.710168,0.803
"1702","SAT1","hurdle",7.31803156356266e-21,10.41214,11.61221,1.20007,0.803
"749","FLRT2","hurdle",2.15972397233646e-35,5.030569,8.366019,3.33545,0.802
"441","CLDN4","hurdle",7.46154400709882e-23,7.958693,9.457922,1.499229,0.801
"358","CD24","hurdle",2.00311618159083e-22,9.59282,10.99267,1.39985,0.8
"993","ITGB1","hurdle",8.09126559574777e-21,8.955282,10.30592,1.350638,0.799
"602","EDN1","hurdle",1.66312677113273e-34,4.798687,7.744088,2.945401,0.793
"619","ELF3","hurdle",1.42568247741789e-21,7.963199,9.646472,1.683273,0.791
"899","HLA-DRB1","hurdle",9.65397537191222e-33,5.453868,8.646842,3.192974,0.79
"1691","S100A14","hurdle",1.5212784984459e-41,2.762417,7.744592,4.982175,0.788
"349","CCL2","hurdle",4.92543000295007e-28,7.44767,9.951141,2.503471,0.787
"2074","TNFRSF12A","hurdle",8.4613244425779e-20,7.948578,9.488813,1.540235,0.785
"1618","RBP1","hurdle",9.84702345999577e-20,8.772344,10.323992,1.551648,0.784
"1077","KRT23","hurdle",3.24996618195134e-44,3.086842,8.71584,5.628998,0.784
"2077","TNFSF10","hurdle",4.24922299200503e-24,6.464587,8.828368,2.363781,0.779
"1303","NDUFA4","hurdle",1.82961120493377e-27,7.776178,9.608339,1.832161,0.773
"952","IGFBP7","hurdle",2.95331144250898e-15,10.15395,11.01419,0.860239999999999,0.773
"494","CTSD","hurdle",1.06437048860465e-16,9.991297,11.366376,1.375079,0.772
"366","CD59","hurdle",7.4134102840234e-18,10.09829,11.39459,1.2963,0.768
"1694","S100A6","hurdle",2.998925148476e-18,9.441213,11.327044,1.885831,0.767
"403","CFI","hurdle",3.41589388213319e-22,6.357264,8.614294,2.25703,0.767
"1115","LGALS4","hurdle",2.87320772340643e-31,4.659665,8.254949,3.595284,0.765
"78","ALDH1A3","hurdle",2.31590509581335e-36,3.620682,9.285049,5.664367,0.762
"530","DCDC2","hurdle",6.95454459580668e-34,4.108702,7.61626,3.507558,0.759
"108","ANXA3","hurdle",1.74292914317957e-29,4.331354,7.783543,3.452189,0.758
"369","CD9","hurdle",2.15817384997765e-18,6.843219,8.528441,1.685222,0.757
"1688","S100A10","hurdle",6.34284803868171e-19,7.935891,9.690963,1.755072,0.754
"178","ATP1B1","hurdle",1.02197485861119e-14,8.604114,9.811401,1.207287,0.753
"2062","TMSB4X","hurdle",2.50169155264198e-14,11.68725,12.61437,0.927119999999999,0.751
"936","IER3","hurdle",1.85169769185233e-15,7.748167,9.302401,1.554234,0.749
"2233","WWTR1","hurdle",1.17747543724767e-23,4.484484,7.406778,2.922294,0.745
"888","HLA-B","hurdle",3.15398108304142e-14,9.900636,11.058151,1.157515,0.745
"1734","SERINC2","hurdle",3.6936995133278e-17,7.20353,8.840156,1.636626,0.744
"1594","RAMP1","hurdle",1.21782215140256e-19,6.606425,8.23657,1.630145,0.743
"1465","PIGR","hurdle",1.93907972273653e-21,8.180876,9.503865,1.322989,0.743
"1819","SLC3A1","hurdle",4.17109772665456e-40,2.038014,8.708122,6.670108,0.742
"1089","LAD1","hurdle",7.63648684167541e-24,5.001043,7.889272,2.888229,0.742
"877","HES1","hurdle",1.15622602649714e-18,6.148619,8.202583,2.053964,0.742
"370","CDC42EP1","hurdle",9.87722386083572e-19,5.939577,8.199465,2.259888,0.74
"1442","PDZK1IP1","hurdle",2.46395430338536e-23,7.750568,8.53558,0.785011999999999,0.739
"1514","PON2","hurdle",4.07662994054467e-17,6.687568,8.566538,1.87897,0.736
"934","IDH2","hurdle",3.5371337768936e-15,7.032756,8.691649,1.658893,0.735
"220","BICC1","hurdle",7.00849400155048e-26,2.965884,6.782409,3.816525,0.735
"2203","VTCN1","hurdle",1.35157699060309e-45,-0.2733608,8.2836564,8.5570172,0.734
"510","CYBA","hurdle",2.79835037317361e-15,7.535853,9.071642,1.535789,0.734
"1881","SPINT1","hurdle",5.20213560718619e-13,7.326601,8.728023,1.401422,0.733
"325","CAV2","hurdle",8.59091941027805e-21,5.377138,7.795585,2.418447,0.733
"64","AGRN","hurdle",3.34096648136134e-23,4.049272,6.910731,2.861459,0.733
"889","HLA-C","hurdle",3.27091907637038e-13,9.740496,10.702032,0.961536000000001,0.731
"522","CYR61","hurdle",8.89722648294418e-23,5.130534,7.962864,2.83233,0.73
"75","AKAP7","hurdle",1.51173775295356e-31,2.988044,7.730415,4.742371,0.73
"2134","TSPO","hurdle",2.21135065502136e-14,6.916562,8.276425,1.359863,0.729
"1858","SORBS2","hurdle",1.31475625206069e-14,7.336167,8.831545,1.495378,0.727
"898","HLA-DRA","hurdle",3.45823067942237e-22,6.035878,9.237225,3.201347,0.727
"855","GSTP1","hurdle",5.43785459614377e-13,9.42958,10.59137,1.16179,0.727
"1689","S100A11","hurdle",3.12771931546718e-13,9.440502,10.579572,1.13907,0.726
"120","APCDD1","hurdle",9.03290597327804e-33,2.442745,7.552705,5.10996,0.725
"943","IFITM3","hurdle",1.4316828008236e-18,9.11936,9.697544,0.578184,0.724
"942","IFITM2","hurdle",1.73390258112862e-16,6.387329,8.359659,1.97233,0.724
"3","ABCC3","hurdle",1.36949516853345e-19,5.523939,7.802968,2.279029,0.722
"881","HIF1A","hurdle",4.19236315117269e-13,7.939761,9.138946,1.199185,0.72
"1581","QSOX1","hurdle",1.899040549243e-13,6.963333,8.365984,1.402651,0.719
"919","HSD17B2","hurdle",1.93482911628759e-38,1.012469,8.4707,7.458231,0.717
"1712","SCTR","hurdle",8.2589117041271e-19,5.183065,7.718051,2.534986,0.715
"478","CREB5","hurdle",2.44311388566751e-22,3.993892,7.204042,3.21015,0.715
"1187","MARCKSL1","hurdle",8.20894229436857e-12,6.815891,8.303662,1.487771,0.714
"199","BACE2","hurdle",7.24884797391148e-13,6.772337,8.065778,1.293441,0.714
"935","IER2","hurdle",1.87268445602506e-12,6.920392,8.31308,1.392688,0.712
"808","GGT1","hurdle",5.41268817285219e-23,3.955159,7.127641,3.172482,0.712
"1978","TESC","hurdle",1.09915969186538e-14,5.850782,7.664751,1.813969,0.709
"906","HNF1B","hurdle",6.4480570236632e-21,4.221341,7.210149,2.988808,0.709
"355","CD151","hurdle",7.43181885724538e-13,8.389873,9.46583,1.075957,0.709
"443","CLDN7","hurdle",6.1466047967567e-10,8.210125,9.313204,1.103079,0.708
"1716","SDC4","hurdle",1.07773790042188e-14,8.210946,8.770705,0.559759,0.707
"508","CXCL6","hurdle",6.59321557230402e-24,5.428355,8.418935,2.99058,0.706
"438","CLDN2","hurdle",3.08046089828834e-20,5.507061,8.539403,3.032342,0.706
"389","CEACAM7","hurdle",1.18389754859349e-31,2.608989,9.137314,6.528325,0.706
"363","CD47","hurdle",1.13459620605981e-11,7.820293,9.005323,1.18503,0.704
"1857","SOD3","hurdle",3.04637900559567e-20,4.052494,7.105589,3.053095,0.703
"894","HLA-DPB1","hurdle",2.8097841924858e-20,3.939804,7.187462,3.247658,0.7
"1339","NOTCH2","hurdle",1.49621274432486e-15,4.811875,7.002275,2.1904,0.699
"2220","WFDC2","hurdle",7.51702929604524e-17,5.320081,8.011722,2.691641,0.698
"1738","SERPINA6","hurdle",3.81560551791934e-20,4.498677,7.897627,3.39895,0.697
"804","GDF15","hurdle",4.63534316785494e-11,8.766184,9.507806,0.741622,0.697
"1725","SEL1L3","hurdle",1.29334549450161e-13,5.950485,7.811129,1.860644,0.696
"2164","UGT2B15","hurdle",6.62827212192351e-18,6.107297,7.827457,1.72016,0.694
"449","CLMN","hurdle",1.75792995338466e-15,5.249617,7.606098,2.356481,0.694
"434","CLDN1","hurdle",2.88004034393146e-18,5.405849,8.645525,3.239676,0.693
"755","FNDC4","hurdle",5.00395346270269e-16,4.520697,6.906605,2.385908,0.692
"587","DUSP1","hurdle",2.02626971860524e-09,7.576563,8.577302,1.000739,0.69
"745","FILIP1L","hurdle",2.76677844115875e-21,5.056691,8.093435,3.036744,0.689
"1267","MVP","hurdle",4.1420970831149e-09,7.314199,8.168103,0.853904,0.688
"856","GTF2I","hurdle",2.79093446844352e-09,6.62775,7.855059,1.227309,0.686
"497","CTSS","hurdle",8.59115063911491e-13,5.815707,7.588574,1.772867,0.684
"105","ANXA11","hurdle",4.90671856760732e-09,7.679217,8.897338,1.218121,0.684
"2061","TMSB10","hurdle",8.63878836151998e-09,10.70483,11.38942,0.68459,0.683
"1576","PVRL2","hurdle",7.82321376852922e-09,6.823433,7.884024,1.060591,0.682
"1544","PROM1","hurdle",1.02694198103295e-19,3.807688,6.969628,3.16194,0.682
"1318","NFIB","hurdle",3.76826723052101e-12,5.573446,7.243066,1.66962,0.682
"1131","LPP","hurdle",1.72891606364844e-08,6.876553,7.897994,1.021441,0.682
"481","CRP","hurdle",1.64763515313408e-20,6.54372,9.608226,3.064506,0.681
"440","CLDN3","hurdle",1.18583839666262e-11,6.924716,8.513473,1.588757,0.681
"1436","PDLIM3","hurdle",7.97292888856324e-14,5.530828,7.736585,2.205757,0.68
"793","GAS6","hurdle",6.4477857751656e-17,4.54979,7.492867,2.943077,0.68
"2189","VCAM1","hurdle",5.82098844848106e-26,2.03287,7.607407,5.574537,0.679
"1056","KLF6","hurdle",3.99960914968205e-08,7.717017,8.568034,0.851017000000001,0.678
"1645","RHOC","hurdle",6.56895594981392e-09,7.914727,9.014658,1.099931,0.677
"1161","LYPD1","hurdle",4.17321089253979e-13,5.037676,6.658887,1.621211,0.677
"353","CCND1","hurdle",4.24755322210539e-16,4.957515,8.072805,3.11529,0.675
"1113","LGALS3","hurdle",8.34808816232349e-11,7.557459,8.440239,0.88278,0.674
"65","AGT","hurdle",4.26520493870295e-11,6.994239,8.388484,1.394245,0.673
"1692","S100A16","hurdle",1.16916259502696e-09,6.615535,8.068032,1.452497,0.671
"1644","RHOB","hurdle",6.76112947729154e-09,6.015241,7.433871,1.41863,0.67
"625","ENC1","hurdle",5.96465216024305e-11,5.83151,7.381831,1.550321,0.67
"2204","VWA1","hurdle",1.0395387015129e-07,6.754789,7.763831,1.009042,0.669
"2066","TNFAIP2","hurdle",2.09554792648754e-14,4.723262,7.465196,2.741934,0.669
"1152","LSR","hurdle",2.63737515117271e-07,6.733709,7.775377,1.041668,0.669
"41","ADAMTS9","hurdle",7.04626819084926e-23,1.497668,6.647708,5.15004,0.669
"1898","ST14","hurdle",1.15455359457458e-09,6.159337,7.523992,1.364655,0.668
"1233","MMP15","hurdle",1.56119766518329e-12,4.39218,6.467877,2.075697,0.668
"923","HSPB1","hurdle",2.61086573220626e-07,9.312986,10.192741,0.879754999999999,0.668
"1888","SPTBN1","hurdle",4.31799871225844e-09,7.828283,9.051996,1.223713,0.667
"111","ANXA9","hurdle",4.81973318554501e-24,2.191645,7.091967,4.900322,0.667
"2163","UGT2A3","hurdle",7.4215809618931e-16,3.608707,6.703366,3.094659,0.665
"2119","TRPV6","hurdle",9.3062632959222e-18,3.600455,7.206325,3.60587,0.665
"2017","TMC4","hurdle",4.90790110584744e-08,6.082491,7.166346,1.083855,0.665
"778","FXYD2","hurdle",1.64891411563774e-07,6.498142,7.796405,1.298263,0.664
"130","APP","hurdle",1.17131335893729e-05,8.403829,9.118723,0.714893999999999,0.664
"25","ACSM3","hurdle",2.51645910925043e-16,2.996169,6.536955,3.540786,0.664
"1953","TAGLN2","hurdle",5.68107155618286e-07,8.851868,9.64662,0.794752000000001,0.663
"1793","SLC22A18","hurdle",8.02572670143405e-13,4.159218,6.520732,2.361514,0.663
"503","CXADR","hurdle",8.77241222625197e-11,6.005729,7.745954,1.740225,0.663
"272","C1S","hurdle",1.68160287915643e-09,7.255369,8.139419,0.88405,0.663
"1747","SFRP5","hurdle",8.65510902860743e-20,2.518502,7.012771,4.494269,0.661
"1124","LITAF","hurdle",1.73636839716837e-09,6.633728,8.232462,1.598734,0.661
"1123","LIPH","hurdle",5.50276874047515e-14,4.469381,6.84934,2.379959,0.661
"820","GLIS3","hurdle",4.09141477961948e-11,5.319409,6.944994,1.625585,0.661
"693","FAM3B","hurdle",1.68371573940805e-08,6.959157,7.577647,0.61849,0.66
"636","EPHB2","hurdle",3.61364682236739e-18,2.77881,6.473581,3.694771,0.66
"1145","LRRFIP1","hurdle",1.30266384292645e-07,6.946323,7.899121,0.952798,0.659
"506","CXCL2","hurdle",4.81866248412719e-11,6.747115,7.763552,1.016437,0.659
"2108","TRIM47","hurdle",2.28095910710415e-10,4.885274,6.760744,1.87547,0.658
"2181","VAMP8","hurdle",1.46593124530709e-08,7.526079,8.489462,0.963382999999999,0.657
"2148","TTYH1","hurdle",5.34491031931774e-25,-0.3857657,6.0883217,6.4740874,0.657
"1812","SLC34A2","hurdle",4.00705361974022e-27,-0.7615893,6.2786046,7.0401939,0.657
"1520","PPIC","hurdle",4.9611702437673e-08,6.810652,7.971652,1.161,0.657
"1841","SMAD3","hurdle",1.44514156021435e-10,4.744661,6.918364,2.173703,0.656
"1452","PFKFB3","hurdle",2.94660597707508e-11,4.687248,6.685908,1.99866,0.656
"1313","NEURL3","hurdle",1.76790209318328e-15,3.464415,6.747345,3.28293,0.655
"525","DAB2","hurdle",1.62392316451283e-11,4.654733,6.698393,2.04366,0.655
"512","CYP1B1","hurdle",3.49624182030071e-11,6.590556,7.613933,1.023377,0.655
"1710","SCNN1A","hurdle",1.73792943955222e-18,2.888822,6.815537,3.926715,0.654
"1357","NRP1","hurdle",5.13885758242803e-09,6.200751,7.654567,1.453816,0.654
"504","CXCL1","hurdle",5.40492641870363e-13,5.322311,8.415,3.092689,0.654
"382","CDKN2B","hurdle",1.07264923677717e-15,3.555347,6.965787,3.41044,0.654
"1553","PRSS8","hurdle",1.05505376914292e-10,6.510739,7.903749,1.39301,0.653
"1117","LGALS9","hurdle",1.43250185544559e-12,4.596027,6.815812,2.219785,0.653
"1650","RHPN2","hurdle",1.38611136098762e-22,1.519624,6.279019,4.759395,0.652
"1432","PDGFD","hurdle",1.54689628362215e-16,3.454611,7.025361,3.57075,0.652
"286","C8orf4","hurdle",5.32722649380889e-11,4.964539,6.747869,1.78333,0.652
"1534","PRDX1","hurdle",2.1909052084944e-06,8.487323,9.316722,0.829399,0.651
"33","ADAM10","hurdle",5.37937713707516e-08,5.877866,7.175227,1.297361,0.651
"1730","SEMA6A","hurdle",5.46482225925948e-14,3.878163,6.893329,3.015166,0.65
"1114","LGALS3BP","hurdle",2.01464945726262e-06,9.025559,9.602351,0.576792000000001,0.65
"282","C6orf141","hurdle",4.62023692050255e-17,2.053443,5.760107,3.706664,0.65
"1933","SVIL","hurdle",1.69416191704913e-10,4.947341,6.586938,1.639597,0.649
"294","CA4","hurdle",1.2195328996811e-21,1.281828,7.365692,6.083864,0.649
"1273","MYL12A","hurdle",9.24462700098207e-08,8.662263,9.55376,0.891497000000001,0.648
"747","FLNA","hurdle",5.51530205457985e-08,6.787356,7.700006,0.91265,0.648
"270","C1R","hurdle",8.04564445887221e-09,6.483112,7.400861,0.917749,0.648
"897","HLA-DQB1","hurdle",9.8779444195372e-14,3.674224,6.475243,2.801019,0.647
"775","FUT3","hurdle",5.31420061083929e-27,-1.342971,5.915172,7.258143,0.647
"121","APCS","hurdle",5.0708263249432e-22,1.917617,7.75011,5.832493,0.647
"1286","NAMPT","hurdle",5.4756829039659e-09,6.150036,7.368224,1.218188,0.646
"1833","SLC9A3R1","hurdle",2.09066704484572e-08,7.159545,8.559911,1.400366,0.645
"1283","MYZAP","hurdle",1.09705635797886e-13,2.499561,5.637401,3.13784,0.645
"1941","SYNPO","hurdle",4.89084507937653e-09,4.738178,6.405858,1.66768,0.644
"1568","PTPRF","hurdle",2.22273728454757e-06,7.161882,8.134364,0.972481999999999,0.644
"1554","PSMB8","hurdle",2.2084597090644e-06,6.340479,7.338411,0.997932,0.644
"995","ITGB4","hurdle",5.42567592362541e-14,3.342397,5.993996,2.651599,0.644
"890","HLA-DMA","hurdle",3.72913582978614e-10,5.412606,7.353119,1.940513,0.644
"198","BAAT","hurdle",2.8459281239781e-19,2.005116,6.585902,4.580786,0.644
"2026","TMEM123","hurdle",3.04837734835958e-05,7.091147,7.833652,0.742505,0.643
"1989","TGFB2","hurdle",2.15399810892706e-14,2.503417,6.191978,3.688561,0.643
"1944","SYT8","hurdle",4.96822080621879e-14,2.641233,6.155186,3.513953,0.643
"1301","NDRG2","hurdle",1.24937824889059e-10,5.226433,7.45134,2.224907,0.643
"1133","LRG1","hurdle",4.23670889368523e-10,5.373333,6.523258,1.149925,0.643
"579","DSC2","hurdle",6.20270427056471e-10,5.054569,6.884825,1.830256,0.643
"82","ALDH3A2","hurdle",5.01849763218648e-09,5.865358,7.784025,1.918667,0.643
"2018","TMC5","hurdle",4.42279907440836e-10,6.195611,7.020718,0.825106999999999,0.642
"1435","PDLIM1","hurdle",9.95392792564688e-08,7.094391,8.387155,1.292764,0.642
"248","C12orf75","hurdle",1.89791194049904e-07,7.556402,8.617896,1.061494,0.642
"1352","NR5A2","hurdle",4.19986781085171e-09,5.448359,6.889841,1.441482,0.641
"28","ACTN4","hurdle",6.80580406134076e-06,6.827142,8.076509,1.249367,0.641
"2114","TRIP6","hurdle",4.8549750383313e-09,5.056506,6.743676,1.68717,0.64
"1551","PRSS22","hurdle",3.26559707599414e-12,4.115453,6.722124,2.606671,0.64
"1475","PKHD1","hurdle",7.88296841682594e-21,0.1928101,5.3925485,5.1997384,0.64
"1082","KRT80","hurdle",6.40318550619491e-14,3.27022,6.580931,3.310711,0.64
"490","CTNNA1","hurdle",1.03046348324925e-06,7.538674,8.509556,0.970882,0.64
"604","EEPD1","hurdle",2.66416521879722e-14,2.633107,5.99078,3.357673,0.639
"457","CMTM7","hurdle",5.94828421906043e-14,3.896007,6.952573,3.056566,0.639
"2256","ZFP36L2","hurdle",1.82849854123135e-08,5.995622,7.390543,1.394921,0.638
"462","CNN3","hurdle",6.47936575151057e-06,7.580999,8.368749,0.787749999999999,0.638
"1882","SPNS2","hurdle",8.29667038893477e-16,1.720907,6.399085,4.678178,0.637
"1714","SDC1","hurdle",2.44792092140052e-14,3.183897,6.556905,3.373008,0.637
"1527","PPP1R1B","hurdle",7.83480914340186e-19,1.527929,6.256257,4.728328,0.637
"1467","PIK3AP1","hurdle",1.88708167159597e-10,4.92227,6.913282,1.991012,0.637
"1093","LAMB3","hurdle",7.00251804030933e-10,4.882276,7.062818,2.180542,0.637
"639","EPHB6","hurdle",5.25120101214504e-18,1.302951,6.01161,4.708659,0.637
"2050","TMEM63A","hurdle",1.15939311929906e-10,4.266985,6.665888,2.398903,0.636
"1988","TGFA","hurdle",5.93543978490422e-15,2.378266,5.934598,3.556332,0.636
"886","HKDC1","hurdle",1.13730345001316e-13,3.202591,6.164688,2.962097,0.636
"37","ADAM9","hurdle",4.44890368647337e-07,6.922318,8.27622,1.353902,0.636
"1173","MALL","hurdle",7.56122773441032e-14,2.403754,6.051402,3.647648,0.635
"926","HSPG2","hurdle",9.28463282501847e-12,3.377631,6.217111,2.83948,0.634
"1727","SEMA3B","hurdle",3.62237359323418e-10,4.443625,6.207376,1.763751,0.633
"1327","NINJ1","hurdle",4.27075227913486e-07,5.701254,6.980871,1.279617,0.633
"414","CHI3L1","hurdle",1.30467589144834e-17,3.283182,6.206574,2.923392,0.633
"581","DSG2","hurdle",1.1331767548382e-06,6.65729,7.937169,1.279879,0.632
"1910","STK17A","hurdle",5.47158089530242e-09,5.074473,6.922444,1.847971,0.631
"1224","MIDN","hurdle",3.53726092146278e-06,5.150415,6.596605,1.44619,0.631
"996","ITGB6","hurdle",5.481415923304e-09,4.911618,6.645702,1.734084,0.631
"1094","LAMC1","hurdle",1.00434354408216e-07,6.021777,7.310494,1.288717,0.63
"887","HLA-A","hurdle",0.000110860246988155,10.53564,11.07679,0.54115,0.63
"841","GPRC5B","hurdle",3.27764135873292e-10,4.872646,6.81083,1.938184,0.63
"2019","TMC6","hurdle",1.73378580957164e-13,2.604716,6.157486,3.55277,0.629
"1055","KLF5","hurdle",4.45304654979214e-08,4.893112,6.342174,1.449062,0.629
"583","DST","hurdle",0.000104106928357742,7.859166,8.488712,0.629545999999999,0.629
"1345","NPNT","hurdle",9.40760714900791e-07,5.760172,6.897381,1.137209,0.628
"825","GMNN","hurdle",4.68625865550575e-10,5.542244,7.473751,1.931507,0.628
"647","ERBB3","hurdle",1.00359942280524e-07,5.27737,6.619649,1.342279,0.628
"1319","NFIX","hurdle",9.71246936110789e-10,2.976744,5.429167,2.452423,0.627
"2129","TSPAN15","hurdle",5.00126703688257e-09,5.340949,7.523997,2.183048,0.626
"1445","PERP","hurdle",5.81459884425491e-08,8.156384,9.310772,1.154388,0.626
"773","FSTL3","hurdle",2.67719942661216e-08,5.009316,6.540435,1.531119,0.626
"196","B4GALT5","hurdle",9.65991619680163e-11,4.68369,6.698422,2.014732,0.626
"1865","SOX9","hurdle",1.25037518447377e-10,4.119098,6.638506,2.519408,0.625
"1690","S100A13","hurdle",7.06302624031863e-07,6.14002,7.292223,1.152203,0.625
"1293","NCEH1","hurdle",9.97291250307865e-10,4.355527,6.496291,2.140764,0.625
"1095","LAMC2","hurdle",1.51014122919848e-09,4.869632,6.985647,2.116015,0.625
"904","HN1","hurdle",1.4619734251209e-05,6.817472,7.699016,0.881544,0.625
"261","C1orf106","hurdle",9.23311339022341e-11,2.866096,5.277246,2.41115,0.625
"1996","THSD4","hurdle",1.39385564282709e-16,1.335177,5.645908,4.310731,0.624
"1608","RASSF7","hurdle",3.52284550868138e-05,6.110596,7.120262,1.009666,0.624
"1437","PDLIM7","hurdle",1.1512166000601e-05,6.25489,6.816387,0.561497,0.624
"924","HSPB8","hurdle",7.97441599764399e-11,4.066099,7.079016,3.012917,0.624
"2080","TNIP1","hurdle",4.7762423891604e-05,5.883482,6.781488,0.898006000000001,0.623
"1630","RERG","hurdle",2.01155660917232e-11,2.933446,5.613675,2.680229,0.623
"2005","TJP3","hurdle",5.87867030785123e-10,3.436589,6.067126,2.630537,0.622
"830","GOLM1","hurdle",4.59013631796414e-06,7.082844,8.17035,1.087506,0.622
"2223","WLS","hurdle",2.74413523986433e-06,6.544751,7.635646,1.090895,0.621
"940","IFIT2","hurdle",3.4635372633386e-11,3.266052,6.398147,3.132095,0.621
"815","GJB1","hurdle",2.52203468193011e-08,5.478035,6.572882,1.094847,0.621
"304","CAPG","hurdle",2.05604362303746e-07,4.714078,6.5834,1.869322,0.621
"1902","ST6GALNAC2","hurdle",3.09541330167662e-16,1.045796,5.289739,4.243943,0.62
"1646","RHOD","hurdle",9.72021833586641e-08,4.112336,6.098117,1.985781,0.62
"656","ETS2","hurdle",6.29598064031417e-06,5.212986,6.152085,0.939099,0.62
"617","EHF","hurdle",2.16296406875353e-05,6.75239,7.66822,0.91583,0.62
"1938","SYNE2","hurdle",0.000145038656318166,7.212287,7.836367,0.62408,0.619
"1413","PAWR","hurdle",5.06880803106002e-07,4.28101,5.93593,1.65492,0.619
"1409","PARD6B","hurdle",9.53498815934794e-07,4.770329,6.06434,1.294011,0.619
"532","DCTPP1","hurdle",4.38898900816281e-08,5.623177,6.96673,1.343553,0.619
"202","BARX2","hurdle",4.38900460564734e-20,-1.484813,4.920194,6.405007,0.619
"173","ATP11A","hurdle",1.02160990893157e-10,4.080429,6.601406,2.520977,0.619
"1825","SLC44A4","hurdle",1.4440009676834e-05,6.538717,7.317672,0.778955,0.618
"1807","SLC28A3","hurdle",2.74441198281974e-16,0.5853118,5.5860378,5.000726,0.618
"11","ACAA2","hurdle",1.59295752773715e-07,6.901434,8.053758,1.152324,0.618
"1815","SLC38A1","hurdle",1.07690943142946e-05,5.951677,6.886125,0.934448,0.617
"1733","SEPT9","hurdle",2.93804942416867e-07,5.411134,6.939513,1.528379,0.617
"1460","PHLDA2","hurdle",4.72113957142938e-06,5.067633,6.531085,1.463452,0.617
"1274","MYL12B","hurdle",1.63909392221185e-05,9.088143,9.944934,0.856790999999999,0.617
"983","IQGAP2","hurdle",1.0981785772515e-09,4.636951,6.786655,2.149704,0.617
"2161","UGCG","hurdle",3.65848826478055e-07,4.488344,6.279221,1.790877,0.616
"1640","RGS3","hurdle",2.39630716265047e-07,4.620722,6.500479,1.879757,0.616
"1322","NFKBIZ","hurdle",2.92898496097915e-05,6.464933,7.409629,0.944696,0.616
"1000","ITIH5","hurdle",3.73340759174538e-13,1.873936,5.97554,4.101604,0.616
"372","CDH1","hurdle",3.77210015725339e-06,7.429096,8.59266,1.163564,0.616
"2031","TMEM139","hurdle",4.96707423177421e-12,2.164118,5.565032,3.400914,0.615
"1784","SLC17A4","hurdle",6.72894502571946e-19,-0.6204646,5.7245293,6.3449939,0.615
"1624","RCN2","hurdle",1.60563589034179e-05,6.149788,7.55834,1.408552,0.615
"1282","MYRF","hurdle",3.09225164553657e-06,5.31037,6.743571,1.433201,0.615
