"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.stellate","log2fold_change","Auc"
"3655","SPARC","hurdle",3.25798001207177e-133,3.166756,12.847856,9.6811,1
"815","COL6A3","hurdle",1.64057981904328e-127,1.663901,11.1946,9.530699,1
"814","COL6A2","hurdle",1.22597828303343e-129,3.223972,11.591719,8.367747,1
"806","COL3A1","hurdle",7.16065794390668e-133,3.401468,13.011527,9.610059,1
"803","COL1A2","hurdle",9.37507924130769e-141,3.373748,13.495109,10.121361,1
"802","COL1A1","hurdle",4.42802536554322e-143,4.478314,14.17852,9.700206,1
"512","CALD1","hurdle",3.94557358424331e-109,6.821283,11.828583,5.0073,0.999
"813","COL6A1","hurdle",7.46602890718015e-115,4.697087,11.084086,6.386999,0.992
"354","BGN","hurdle",5.9472095179773e-116,2.448863,11.973848,9.524985,0.989
"1417","FN1","hurdle",7.96866281931024e-96,6.219355,11.929504,5.710149,0.986
"3421","SERPINH1","hurdle",1.33783736645962e-101,4.921541,10.575095,5.653554,0.984
"2094","LUM","hurdle",6.91789506848226e-120,0.6989901,11.0847568,10.3857667,0.984
"1782","IGFBP5","hurdle",1.8438138537375e-98,5.224424,11.978461,6.754037,0.982
"2017","LGALS1","hurdle",2.50720804212922e-100,6.089745,12.5002,6.410455,0.981
"811","COL5A2","hurdle",2.66343375745095e-111,1.290361,9.331622,8.041261,0.979
"90","AEBP1","hurdle",5.6946006876988e-105,1.9312,9.64643,7.71523,0.978
"3898","TIMP1","hurdle",4.52193945078695e-104,9.882375,14.630363,4.747988,0.977
"2679","PDGFRB","hurdle",1.34616176602468e-107,0.7490383,10.2944229,9.5453846,0.974
"3884","THY1","hurdle",4.97405757455891e-102,1.799723,10.191806,8.392083,0.968
"3673","SPON2","hurdle",1.646562694049e-91,4.647633,10.970847,6.323214,0.967
"4216","VIM","hurdle",8.78088089784927e-74,7.546101,11.360054,3.813953,0.966
"810","COL5A1","hurdle",3.33500904009987e-98,1.882447,9.687,7.804553,0.962
"2907","PRKCDBP","hurdle",1.96294848053584e-86,4.141913,9.418224,5.276311,0.96
"953","DCN","hurdle",3.78311402512808e-105,-0.04020741,10.13811375,10.17832116,0.959
"3436","SFRP2","hurdle",1.94671908602797e-104,1.783486,11.781533,9.998047,0.958
"2246","MMP14","hurdle",4.78601314107165e-83,3.679626,8.927516,5.24789,0.957
"4020","TPM2","hurdle",2.70843281721559e-99,2.834965,10.081839,7.246874,0.956
"2655","PCOLCE","hurdle",3.81040338335199e-96,2.72543,9.906247,7.180817,0.955
"1397","FKBP10","hurdle",1.17835261770908e-94,2.69175,9.478189,6.786439,0.955
"3007","PXDN","hurdle",1.50014184217242e-91,2.485945,9.333309,6.847364,0.954
"2213","MFGE8","hurdle",4.18978182286316e-92,2.963691,9.612053,6.648362,0.954
"1337","FAP","hurdle",9.10928153480635e-70,5.737531,9.702178,3.964647,0.952
"3900","TIMP3","hurdle",1.31560249379188e-91,2.169294,11.293563,9.124269,0.95
"2278","MRC2","hurdle",5.45269535534207e-98,0.1115739,8.9379893,8.8264154,0.949
"1784","IGFBP7","hurdle",3.20922832627584e-59,9.189298,12.399124,3.209826,0.949
"3867","TGFBI","hurdle",1.69017529156118e-82,4.417917,10.804765,6.386848,0.947
"4208","VCAN","hurdle",1.62858580967658e-101,-0.2342531,9.8255215,10.0597746,0.944
"801","COL18A1","hurdle",2.01523369861281e-68,5.654713,10.222034,4.567321,0.943
"901","CTHRC1","hurdle",4.84018579900446e-97,1.872575,9.48278,7.610205,0.942
"3108","RCN3","hurdle",2.91341574613969e-85,2.905908,9.499363,6.593455,0.941
"807","COL4A1","hurdle",2.86710025307607e-80,3.39674,10.12836,6.73162,0.939
"2542","NUPR1","hurdle",3.22305461853662e-62,6.415457,10.011575,3.596118,0.935
"61","ADAMTS12","hurdle",7.70734457735154e-94,-1.374259,7.65387,9.028129,0.929
"808","COL4A2","hurdle",3.94713241893786e-67,4.710481,10.229916,5.519435,0.924
"1993","LAMP5","hurdle",1.38262092033271e-77,2.831254,9.318078,6.486824,0.922
"515","CALU","hurdle",2.21930106580811e-56,6.673267,10.144102,3.470835,0.921
"3666","SPHK1","hurdle",3.17840229462415e-73,3.382876,8.852128,5.469252,0.918
"1739","HTRA1","hurdle",1.0200548501281e-72,3.326437,9.410411,6.083974,0.916
"3865","TGFB1I1","hurdle",3.65709264216218e-75,2.765262,8.548263,5.783001,0.915
"2361","MYL9","hurdle",1.34183309080144e-76,2.952872,9.427526,6.474654,0.915
"1988","LAMA4","hurdle",2.53868480048773e-85,0.2517861,8.1331623,7.8813762,0.913
"1625","GYPC","hurdle",6.47762017676704e-65,3.89176,8.441711,4.549951,0.913
"1552","GNG11","hurdle",7.18073956542615e-68,4.313337,8.941824,4.628487,0.912
"2477","NOTCH3","hurdle",7.52028756242321e-75,2.375186,8.724856,6.34967,0.911
"371","BMP1","hurdle",9.36986608385285e-67,3.768656,8.490753,4.722097,0.911
"3985","TNFAIP6","hurdle",1.42226419322232e-89,-0.4444019,8.9535581,9.39796,0.909
"2930","PRRX1","hurdle",3.32658252450314e-82,0.3192954,7.9718393,7.6525439,0.908
"2249","MMP2","hurdle",9.22906740241485e-81,1.171852,10.461963,9.290111,0.906
"1850","ITGA1","hurdle",1.22569784290998e-71,3.730285,9.173981,5.443696,0.906
"3394","SELM","hurdle",1.42577266258817e-44,7.466369,9.820938,2.354569,0.904
"1848","ISLR","hurdle",9.08265807537439e-86,-0.7109723,9.5435817,10.254554,0.904
"3030","RAB34","hurdle",2.55928251348886e-80,1.266477,8.043207,6.77673,0.901
"1416","FMOD","hurdle",5.29027298297303e-72,2.501247,9.85102,7.349773,0.901
"908","CTSC","hurdle",8.91657270416802e-56,5.197882,9.128318,3.930436,0.9
"799","COL15A1","hurdle",9.50045325444004e-86,0.9631545,9.8545732,8.8914187,0.9
"3866","TGFB3","hurdle",7.50967102191301e-74,1.709701,8.412958,6.703257,0.898
"1767","IFITM3","hurdle",4.17374227544361e-43,8.41703,11.04744,2.63041,0.897
"812","COL5A3","hurdle",8.82629442047246e-79,0.4141025,8.2697898,7.8556873,0.897
"2351","MXRA8","hurdle",9.87544650292787e-78,1.137759,9.054793,7.917034,0.896
"3325","RUNX1","hurdle",3.52992595444774e-61,3.422668,7.795194,4.372526,0.894
"1445","FSTL1","hurdle",2.72422297018201e-58,4.964578,9.412122,4.447544,0.894
"1191","ENG","hurdle",5.20446460704776e-77,1.440208,8.813685,7.373477,0.89
"2245","MMP11","hurdle",6.41886500708793e-67,2.757634,9.920526,7.162892,0.887
"2011","LDHB","hurdle",1.45035879289764e-44,7.100798,9.82811,2.727312,0.887
"1783","IGFBP6","hurdle",8.22396116216923e-51,4.974281,9.337792,4.363511,0.887
"1781","IGFBP4","hurdle",3.09852899364109e-70,3.245307,10.476143,7.230836,0.886
"4175","UNC5B","hurdle",1.0876503442855e-49,4.991002,8.622651,3.631649,0.884
"1408","FLNA","hurdle",1.39599082283147e-47,5.761209,9.09081,3.329601,0.881
"752","CLEC11A","hurdle",5.58528305281056e-48,4.478234,8.022218,3.543984,0.881
"3607","SNAI2","hurdle",1.67245243526393e-71,0.9891828,8.3738756,7.3846928,0.88
"1820","INHBA","hurdle",1.70833394180121e-63,3.134668,9.539618,6.40495,0.88
"4264","WNT5A","hurdle",2.3870581702653e-76,-0.4089023,8.1343521,8.5432544,0.878
"2098","LY6E","hurdle",2.22619011029566e-41,6.137021,8.58477,2.447749,0.876
"1009","DKK3","hurdle",9.18607688169952e-62,3.736134,8.933942,5.197808,0.876
"3000","PTRF","hurdle",3.38557072436073e-64,2.57768,8.402337,5.824657,0.873
"4021","TPM4","hurdle",1.14749035138136e-41,7.182764,9.87777,2.695006,0.871
"3420","SERPINF1","hurdle",7.61410448689239e-61,3.411423,9.030642,5.619219,0.87
"177","AP2S1","hurdle",5.4948678800763e-42,7.241295,9.577725,2.33643,0.87
"3977","TMSB10","hurdle",1.12770935104549e-33,10.31018,12.31041,2.00023,0.869
"2863","PPIC","hurdle",2.83724746183299e-41,6.442009,8.654258,2.212249,0.869
"2505","NREP","hurdle",1.85940852886807e-53,3.821813,8.409721,4.587908,0.864
"2684","PDLIM2","hurdle",4.48093247842362e-38,5.872648,8.695346,2.822698,0.861
"1758","IFI16","hurdle",6.61723603473035e-64,2.012812,7.796394,5.783582,0.861
"1115","EFEMP2","hurdle",2.44295446093079e-51,4.001776,7.859867,3.858091,0.861
"3597","SMIM3","hurdle",6.68669077357867e-63,2.260276,8.143048,5.882772,0.86
"4318","ZEB1","hurdle",2.85664677047699e-50,3.614701,7.757197,4.142496,0.859
"926","CYGB","hurdle",4.31264144156605e-68,1.475041,9.206715,7.731674,0.859
"3864","TGFB1","hurdle",3.6420229697078e-51,3.104243,7.702944,4.598701,0.858
"1099","ECM1","hurdle",5.90418062594548e-65,1.720501,7.920672,6.200171,0.858
"910","CTSK","hurdle",2.9720814206973e-63,1.931406,9.117679,7.186273,0.858
"176","AP2M1","hurdle",5.55442446062537e-41,7.911121,10.108736,2.197615,0.858
"2726","PHGDH","hurdle",2.55734587753319e-42,5.546599,8.968896,3.422297,0.856
"867","CRISPLD2","hurdle",5.19391387691852e-66,1.0062,8.07086,7.06466,0.855
"3671","SPOCK1","hurdle",3.42549973344908e-46,4.894876,8.582025,3.687149,0.854
"1591","GPX8","hurdle",1.66210723608993e-50,3.863341,8.021042,4.157701,0.853
"1351","FBN1","hurdle",1.16518020492677e-61,1.796869,7.680196,5.883327,0.852
"2462","NNMT","hurdle",1.63298224990564e-37,6.425693,9.081492,2.655799,0.85
"817","COL8A1","hurdle",5.09902993780995e-71,-1.88636,8.083565,9.969925,0.85
"465","C1S","hurdle",7.20765987980238e-39,6.424213,9.416636,2.992423,0.849
"2801","PLXDC1","hurdle",3.55541721310845e-69,-0.04203948,7.98812672,8.0301662,0.847
"286","ATP1B3","hurdle",7.56268117466103e-34,6.526311,8.823084,2.296773,0.847
"967","DDR2","hurdle",9.74218886781507e-62,1.28412,7.56901,6.28489,0.844
"2986","PTK7","hurdle",6.39437000345475e-38,5.407388,8.80077,3.393382,0.843
"2051","LOXL2","hurdle",1.21611638144288e-60,1.400123,9.209998,7.809875,0.843
"1741","HTRA3","hurdle",2.67087034387905e-67,0.08244122,8.81171533,8.72927411,0.843
"331","BASP1","hurdle",9.4512049535218e-67,0.7349316,7.3141783,6.5792467,0.843
"2789","PLIN2","hurdle",7.95290516969078e-38,6.102725,9.977363,3.874638,0.842
"869","CRLF1","hurdle",1.22798458182154e-64,0.1840111,7.6588985,7.4748874,0.842
"1589","GPX1","hurdle",1.31707459981014e-29,7.173641,9.050688,1.877047,0.841
"2862","PPIB","hurdle",2.46019627127467e-30,8.669295,10.208697,1.539402,0.84
"1575","GPNMB","hurdle",3.04873287363275e-52,3.771312,9.790867,6.019555,0.84
"695","CERCAM","hurdle",1.24761950835129e-36,5.430724,8.510195,3.079471,0.84
"3937","TMEM165","hurdle",8.32582821796597e-29,6.895123,8.732602,1.837479,0.839
"1610","GSTO1","hurdle",2.55153842639993e-31,7.566424,9.455787,1.889363,0.839
"3693","SRPX2","hurdle",2.24682643594797e-63,0.3879544,7.9618556,7.5739012,0.837
"2808","PMP22","hurdle",9.21658293892378e-57,1.840932,7.734473,5.893541,0.836
"583","CCDC80","hurdle",1.36120813610079e-59,1.108287,7.467617,6.35933,0.835
"2061","LRP1","hurdle",3.05957249403815e-42,4.574948,8.815746,4.240798,0.834
"252","ARPC2","hurdle",5.89793430708497e-28,8.582499,10.337693,1.755194,0.834
"3752","SULF1","hurdle",1.3805752181776e-57,1.693431,8.565097,6.871666,0.833
"1134","EIF1","hurdle",8.75191007538039e-21,10.19009,11.57619,1.3861,0.833
"2151","MARCKS","hurdle",2.04994983852997e-28,7.428471,9.178179,1.749708,0.832
"1238","EVA1B","hurdle",2.00825573902515e-51,2.761648,7.876604,5.114956,0.832
"2582","OSTC","hurdle",7.85232240455919e-27,7.394538,9.057703,1.663165,0.831
"170","ANXA1","hurdle",8.0088295661489e-49,5.073062,8.030933,2.957871,0.83
"64","ADAMTS2","hurdle",7.90026890503417e-45,3.649959,7.818705,4.168746,0.83
"3876","THBS2","hurdle",2.35635992141758e-61,0.3014588,9.6819971,9.3805383,0.826
"168","ANTXR1","hurdle",1.62567114913481e-59,0.1668599,7.7370629,7.570203,0.826
"1915","KDELR2","hurdle",8.76693172361928e-27,8.142244,9.748481,1.606237,0.825
"646","CDH11","hurdle",4.69374339153332e-66,-1.783003,8.021238,9.804241,0.824
"4126","UACA","hurdle",1.9278608292269e-41,4.126694,8.345488,4.218794,0.82
"3452","SH3BGRL3","hurdle",2.62497500736106e-26,8.47909,10.25457,1.77548,0.82
"2768","PLAUR","hurdle",1.079373666789e-36,4.864925,8.125594,3.260669,0.82
"2018","LGALS3","hurdle",3.92342883469939e-32,7.309848,9.03782,1.727972,0.82
"2706","PFN1","hurdle",2.04767280793536e-24,9.146804,10.755788,1.608984,0.818
"800","COL16A1","hurdle",8.65898106467805e-51,1.773268,7.270187,5.496919,0.818
"3257","RPLP1","hurdle",2.04170616617685e-25,10.86353,12.69199,1.82846,0.817
"2089","LTBP1","hurdle",1.27016018296986e-44,3.653674,9.030944,5.37727,0.817
"1857","ITGB1","hurdle",4.62429041108931e-24,8.936413,10.349362,1.412949,0.817
"3106","RCN1","hurdle",4.45516005076839e-28,6.465084,8.411605,1.946521,0.815
"555","CCDC102B","hurdle",2.04413723957194e-53,1.77127,7.592526,5.821256,0.815
"3966","TMEM45A","hurdle",3.98234092397387e-38,4.211035,7.56345,3.352415,0.814
"525","CAPZB","hurdle",4.17968551811156e-28,7.663384,9.419622,1.756238,0.814
"2210","MFAP2","hurdle",1.56692662393742e-56,0.9571397,7.3628461,6.4057064,0.813
"3753","SULF2","hurdle",9.43460253962948e-42,3.722602,7.693055,3.970453,0.812
"3703","SSR2","hurdle",4.05428108303156e-20,8.518835,9.738268,1.219433,0.812
"3332","S100A11","hurdle",1.20212039252074e-23,9.384751,10.721356,1.336605,0.811
"2728","PHLDA1","hurdle",4.76168901405214e-32,5.888855,8.149402,2.260547,0.811
"2097","LXN","hurdle",4.02301752107565e-41,3.997459,8.100486,4.103027,0.81
"1852","ITGA11","hurdle",6.03218453564641e-65,-3.262796,7.589396,10.852192,0.81
"1109","EEF1D","hurdle",1.72903304916387e-22,8.689158,10.140137,1.450979,0.809
"2443","NID1","hurdle",4.03175127926817e-59,-0.484252,7.909614,8.393866,0.808
"2022","LHFP","hurdle",5.56238705550456e-52,1.304191,7.492423,6.188232,0.808
"1515","GGT5","hurdle",1.13043534062192e-57,-0.03536583,7.57191333,7.60727916,0.808
"1258","F2R","hurdle",7.73201671705458e-54,1.503079,8.685008,7.181929,0.808
"2381","NAP1L1","hurdle",1.37746260767373e-23,7.698277,9.489036,1.790759,0.807
"1110","EEF2","hurdle",4.92937344492951e-21,9.657252,11.224179,1.566927,0.807
"1105","EDNRA","hurdle",2.93638994384444e-59,-0.1540338,7.7098497,7.8638835,0.807
"2524","NTM","hurdle",2.79375834008931e-53,0.2532265,6.9163924,6.6631659,0.806
"2494","NQO1","hurdle",4.20030377412603e-31,5.834861,8.906524,3.071663,0.806
"1550","GNB2L1","hurdle",6.96250906214245e-23,10.09583,11.56481,1.46898,0.805
"3974","TMEM98","hurdle",4.65123522104095e-30,5.259558,7.642374,2.382816,0.804
"1568","GPC1","hurdle",2.68769919218305e-34,4.46544,7.753219,3.287779,0.804
"3704","SSR3","hurdle",2.58435326291191e-23,7.74028,9.222519,1.482239,0.803
"3334","S100A16","hurdle",6.20644093288374e-28,6.252075,8.641637,2.389562,0.803
"2895","PRDX6","hurdle",2.35044158552636e-22,7.290006,8.865787,1.575781,0.803
"1751","ID3","hurdle",2.66971064062117e-26,6.772396,9.226909,2.454513,0.803
"2376","NACA","hurdle",5.15444801228018e-21,9.061917,10.537206,1.475289,0.802
"2222","MGP","hurdle",5.26316923006215e-55,0.3700887,9.2651373,8.8950486,0.802
"1961","KLF9","hurdle",1.13116767388413e-34,4.006944,7.023934,3.01699,0.802
"1660","HES4","hurdle",4.49620955403511e-33,4.609767,7.692582,3.082815,0.802
"2876","PPP1R18","hurdle",2.60898941156103e-40,2.595625,6.563571,3.967946,0.8
"1402","FKBP7","hurdle",2.60126061207713e-35,3.699781,6.874748,3.174967,0.8
"4217","VIMP","hurdle",5.65996302859188e-21,6.982698,8.417483,1.434785,0.799
"1559","GOLIM4","hurdle",3.65148663504297e-27,5.258796,7.515372,2.256576,0.799
"614","CD248","hurdle",1.2171758900622e-56,-0.5669906,8.147119,8.7141096,0.799
"4323","ZFP36L1","hurdle",3.40602408373362e-25,8.169926,9.595698,1.425772,0.798
"3023","RAB13","hurdle",3.23404477473969e-25,6.762163,8.742484,1.980321,0.798
"1862","ITGB5","hurdle",1.67247034522483e-29,4.822791,7.397864,2.575073,0.798
"1129","EHD2","hurdle",5.42696124062958e-38,4.134314,8.355076,4.220762,0.798
"3836","TCF4","hurdle",4.03089994731682e-30,4.517748,7.000019,2.482271,0.797
"3824","TBX3","hurdle",5.18549053656376e-54,0.3724514,7.560535,7.1880836,0.797
"1389","FHL2","hurdle",6.13516993101898e-39,3.594204,7.57097,3.976766,0.797
"4121","TYMP","hurdle",3.58551605858822e-29,5.03202,7.612729,2.580709,0.796
"3027","RAB31","hurdle",8.42370499520832e-35,4.673862,8.207132,3.53327,0.796
"1724","HSD11B1","hurdle",1.8473113585773e-60,-3.253254,7.687875,10.941129,0.795
"1486","GARS","hurdle",5.46625756920992e-24,6.909185,8.845484,1.936299,0.795
"1989","LAMB1","hurdle",1.01359718510501e-29,5.368363,8.369478,3.001115,0.793
"1458","FXYD5","hurdle",1.29514839024087e-23,6.893893,8.283371,1.389478,0.793
"4319","ZEB2","hurdle",8.10503126990871e-54,-0.2068953,6.7287988,6.9356941,0.792
"3907","TKT","hurdle",3.81937601115188e-20,7.78249,9.407995,1.625505,0.792
"3513","SLC1A5","hurdle",3.36989767204432e-40,3.647606,8.429637,4.782031,0.792
"3383","SEC11A","hurdle",4.75105471390662e-20,7.474381,8.755748,1.281367,0.792
"2483","NPC2","hurdle",3.24980182090897e-19,9.256563,10.654713,1.39815,0.792
"2029","LIMS1","hurdle",2.18516829103206e-26,5.552469,7.837563,2.285094,0.792
"3979","TMSB4X","hurdle",4.38754856502665e-20,11.54636,12.98576,1.4394,0.791
"3333","S100A13","hurdle",7.37678634341485e-25,5.852597,7.865257,2.01266,0.79
"2859","PPFIBP1","hurdle",1.93794505511309e-32,4.195373,7.340864,3.145491,0.79
"3472","SHMT2","hurdle",5.68891632924138e-28,5.577502,8.378006,2.800504,0.789
"2786","PLEKHO1","hurdle",2.83009176690996e-42,2.164003,6.765159,4.601156,0.789
"3093","RBMS1","hurdle",5.66678523721171e-35,2.976072,6.718513,3.742441,0.788
"2730","PHLDA3","hurdle",4.42819715131889e-32,3.90434,7.428791,3.524451,0.788
"1787","IKBIP","hurdle",1.98689388503004e-30,4.358379,7.37347,3.015091,0.788
"334","BAX","hurdle",1.35466424039805e-22,5.50965,7.571841,2.062191,0.788
"3375","SDC2","hurdle",1.21541607649256e-21,6.79724,8.597996,1.800756,0.787
"3229","RPL27","hurdle",4.23360930591773e-20,9.387742,10.845584,1.457842,0.786
"4258","WIPI1","hurdle",5.62560094060619e-29,5.127684,8.182787,3.055103,0.785
"1855","ITGA5","hurdle",6.29050294072744e-37,3.435916,8.380171,4.944255,0.785
"862","CREB3L1","hurdle",6.29122923129822e-29,5.137009,7.882633,2.745624,0.785
"3391","SEC61B","hurdle",4.55205510423479e-17,8.203043,9.34742,1.144377,0.784
"3231","RPL28","hurdle",3.0036905009496e-19,10.01775,11.71324,1.69549,0.784
"2995","PTPRE","hurdle",3.44576577113357e-49,0.6230069,6.7245293,6.1015224,0.784
"1668","HIC1","hurdle",2.56709591386696e-49,0.7408422,6.5549994,5.8141572,0.784
"1448","FTL","hurdle",7.85250701901429e-17,12.63981,13.87188,1.23207,0.784
"1277","FAM114A1","hurdle",4.20422875872397e-25,5.63729,8.063581,2.426291,0.784
"4228","VSTM4","hurdle",4.7093619249911e-38,3.030385,7.477576,4.447191,0.783
"4130","UBA52","hurdle",3.1429335358794e-19,9.399126,10.883743,1.484617,0.782
"3152","RHOC","hurdle",1.98892207880563e-20,7.863445,9.149212,1.285767,0.782
"2851","POSTN","hurdle",1.64916587157851e-53,-0.2684747,9.7594583,10.027933,0.782
"3305","RRBP1","hurdle",3.51821251888571e-19,7.37677,8.601587,1.224817,0.781
"4101","TUBB6","hurdle",3.91540610517723e-29,4.786023,7.733558,2.947535,0.779
"3271","RPS16","hurdle",2.59460310544982e-19,9.979123,11.553976,1.574853,0.779
"923","CYBRD1","hurdle",1.84074711035435e-44,1.830972,7.407817,5.576845,0.779
"2976","PTGDS","hurdle",2.39781767504863e-51,-0.1877244,8.7236496,8.911374,0.778
"592","CCL26","hurdle",3.60321734060474e-42,2.390963,10.752491,8.361528,0.778
"3463","SH3PXD2A","hurdle",1.02521300830005e-25,4.82819,7.250598,2.422408,0.777
"2444","NID2","hurdle",1.26116481056903e-52,-1.254729,6.899897,8.154626,0.777
"754","CLEC2B","hurdle",5.06968402110915e-50,-0.3794823,6.3632156,6.7426979,0.777
"2336","MTDH","hurdle",1.65616242338188e-18,7.757482,9.121486,1.364004,0.776
"1664","HEYL","hurdle",1.0522103884012e-36,3.5563,8.408715,4.852415,0.776
"615","CD276","hurdle",4.35089470853631e-24,5.549259,8.271886,2.722627,0.776
"3580","SLC9A3R2","hurdle",1.09909413503905e-27,4.714026,7.697028,2.983002,0.775
"2731","PHLDB1","hurdle",6.19378180862869e-36,3.313297,7.535752,4.222455,0.775
"1108","EEF1B2","hurdle",1.84366501575677e-19,8.4658,10.06843,1.60263,0.775
"928","CYP1B1","hurdle",7.79335112765173e-32,5.176304,9.121987,3.945683,0.775
"667","CEBPB","hurdle",1.57445388108453e-28,4.972701,7.797798,2.825097,0.775
"42","ACTA2","hurdle",1.70941615612159e-44,1.603482,7.588657,5.985175,0.775
"3291","RPS5","hurdle",5.35690474793308e-18,9.659193,11.176779,1.517586,0.774
"2486","NPM1","hurdle",1.93917799526071e-21,8.351977,10.117302,1.765325,0.774
"3278","RPS23","hurdle",9.99608682185624e-19,10.38663,11.96269,1.57606,0.773
"1992","LAMC3","hurdle",2.51128407639568e-51,-0.4894983,8.4649012,8.9543995,0.773
"393","BST2","hurdle",5.47620771051288e-39,2.782435,7.412271,4.629836,0.773
"3268","RPS14","hurdle",2.13326759256384e-17,10.82501,12.25114,1.42613,0.772
"1627","H2AFZ","hurdle",3.09246378023867e-16,8.099752,9.446783,1.347031,0.772
"816","COL7A1","hurdle",9.97692138236817e-50,0.1064638,7.6632765,7.5568127,0.771
"760","CLIC4","hurdle",1.94186378307852e-28,4.666563,7.744775,3.078212,0.771
"2793","PLOD1","hurdle",8.07973973431302e-24,5.69792,8.282232,2.584312,0.77
"2694","PELO","hurdle",1.34355660137704e-22,5.544488,7.979696,2.435208,0.77
"1532","GLIPR1","hurdle",1.81172567496237e-35,3.213338,7.004855,3.791517,0.77
"200","ARF4","hurdle",3.11991159129737e-19,7.863723,9.405366,1.541643,0.77
"2894","PRDX1","hurdle",1.3617571158361e-17,8.309491,9.793445,1.483954,0.769
"2499","NR2F2","hurdle",2.44910974996445e-27,4.410032,7.323899,2.913867,0.769
"2686","PDLIM7","hurdle",6.85701862473057e-24,5.541566,8.187071,2.645505,0.768
"1184","EMP1","hurdle",4.09693414860878e-44,0.8335157,7.1196891,6.2861734,0.768
"3805","TAX1BP3","hurdle",2.09454198033039e-21,5.561681,7.499119,1.937438,0.767
"3258","RPLP2","hurdle",4.60489147313947e-16,10.28376,11.72953,1.44577,0.767
"3256","RPLP0","hurdle",3.18208919530533e-18,10.17248,11.42543,1.25295,0.767
"2678","PDGFRA","hurdle",1.27965155736833e-46,-0.07260246,6.83802978,6.91063224,0.767
"2000","LARP6","hurdle",2.38124676286407e-25,4.57074,7.197638,2.626898,0.767
"4231","WARS","hurdle",7.68301252182432e-24,6.148016,9.25545,3.107434,0.766
"3669","SPNS1","hurdle",2.66037030632763e-21,5.792996,7.72197,1.928974,0.766
"3661","SPATS2L","hurdle",1.87408364424771e-19,7.098226,8.793453,1.695227,0.766
"3121","RER1","hurdle",1.52843804818239e-17,6.881486,8.134922,1.253436,0.766
"2799","PLTP","hurdle",2.93310862904075e-34,3.16668,7.315372,4.148692,0.766
"1443","FSCN1","hurdle",1.51128013768974e-42,1.279755,6.945049,5.665294,0.766
"796","COL12A1","hurdle",1.56787355350209e-47,0.07413366,7.47030667,7.39617301,0.766
"782","CNN3","hurdle",2.03822936253425e-20,7.167595,9.268633,2.101038,0.766
"414","C11orf96","hurdle",6.0183446415076e-38,2.972558,8.186862,5.214304,0.765
"2339","MTHFD2","hurdle",1.4597229830046e-23,5.208648,7.771611,2.562963,0.764
"251","ARPC1B","hurdle",2.1935982948511e-18,7.741085,9.160482,1.419397,0.764
"3392","SEC61G","hurdle",1.77819286938341e-15,8.055936,9.107593,1.051657,0.763
"2949","PSMB7","hurdle",3.12121553568473e-17,7.024915,8.367066,1.342151,0.763
"1484","GAPDH","hurdle",4.9787015575436e-14,11.24812,12.33576,1.08764,0.763
"699","CFL1","hurdle",8.87949499832621e-15,9.790946,10.935604,1.144658,0.762
"3948","TMEM204","hurdle",3.75578396543532e-48,0.01044532,7.20965155,7.19920623,0.761
"3219","RPL18","hurdle",3.63957497925141e-14,10.0553,11.25695,1.20165,0.761
"3197","RNH1","hurdle",8.79028165973844e-19,7.420127,9.078017,1.65789,0.761
"1858","ITGB1BP1","hurdle",1.93579540397863e-20,5.727699,7.606166,1.878467,0.761
"1439","FRMD6","hurdle",2.19489925831092e-41,1.287813,6.782294,5.494481,0.761
"282","ATOX1","hurdle",1.86858419085174e-17,7.117488,8.53678,1.419292,0.761
"2845","POMP","hurdle",6.3006367196426e-17,8.099012,9.282703,1.183691,0.76
"1373","FERMT2","hurdle",5.47180290046834e-25,4.340464,7.030784,2.69032,0.76
"2943","PSMA7","hurdle",2.95953184130282e-15,8.617493,9.669486,1.051993,0.759
"3315","RSL24D1","hurdle",3.57277351294735e-18,6.556376,8.087864,1.531488,0.758
"2049","LOX","hurdle",1.21037978619616e-46,-0.7365415,6.9860727,7.7226142,0.758
"3405","SEPT11","hurdle",1.07132638321725e-21,5.778936,8.039745,2.260809,0.757
"3273","RPS18","hurdle",5.15088207700229e-17,10.78548,12.49178,1.7063,0.757
"2511","NRP1","hurdle",2.91682028089674e-22,5.787388,8.282803,2.495415,0.757
"1704","HOXB2","hurdle",8.08700049083972e-39,2.20786,6.547045,4.339185,0.757
"1141","EIF2S2","hurdle",3.80646278619632e-17,7.01662,8.385892,1.369272,0.757
"4019","TPI1","hurdle",8.23731767654875e-16,9.134735,10.307726,1.172991,0.756
"3918","TMED9","hurdle",1.30406239401674e-15,8.018605,9.307647,1.289042,0.756
"3224","RPL23","hurdle",1.03393634479958e-13,9.132363,10.36522,1.232857,0.756
"3055","RAN","hurdle",1.53084814278592e-15,7.714581,9.018526,1.303945,0.756
"2362","MYLK","hurdle",1.70797597597106e-42,0.842765,7.261092,6.418327,0.756
"1693","HNRNPA0","hurdle",4.16886539544399e-16,6.86135,8.219949,1.358599,0.756
"3338","S1PR3","hurdle",6.1038797302086e-45,-0.05100995,6.59397586,6.64498581,0.755
"3114","RECQL","hurdle",1.3044921409967e-24,4.002756,6.584771,2.582015,0.755
"2766","PLAT","hurdle",2.38269650981164e-43,0.587531,8.636197,8.048666,0.755
"2304","MRPS12","hurdle",2.1838098959341e-18,5.663833,7.362898,1.699065,0.755
