"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"651","EMP2","hurdle",0.0152147548454418,5.108613,5.75102,0.642407,0.561
"493","CTR9","hurdle",0.0170803424539963,5.662075,6.29256,0.630485,0.561
"18","ACADSB","hurdle",0.00868095793868985,4.413833,4.949078,0.535245,0.561
"2305","ZBTB21","hurdle",0.0177096563354019,4.02934,5.117335,1.087995,0.56
"2059","TEAD1","hurdle",0.00571764357489012,5.498507,6.509417,1.01091,0.56
"2005","SYN1","hurdle",0.0142953592810493,4.362512,5.087495,0.724983,0.56
"1983","STIM2","hurdle",0.0430017249030562,4.985865,5.656892,0.671027,0.56
"1972","ST3GAL6","hurdle",0.0112131757241888,4.325043,5.184247,0.859204,0.56
"1959","SPRED3","hurdle",0.000151708335927382,1.958825,3.581642,1.622817,0.56
"1473","PCF11","hurdle",0.0524294547106429,5.255738,5.787118,0.53138,0.56
"1185","MAGI2","hurdle",0.00865313294350521,3.739196,4.718744,0.979548,0.56
"431","CLASP2","hurdle",0.021841682014804,4.887683,5.771543,0.88386,0.56
"2298","YIPF6","hurdle",0.00637752501265045,6.947898,7.474287,0.526389,0.559
"2213","UBN2","hurdle",0.0107645147870493,4.772517,5.72218,0.949663,0.559
"1915","SLITRK6","hurdle",0.00496100296904444,5.072747,5.603255,0.530508,0.559
"1398","NUAK1","hurdle",0.0193787325333755,4.193525,5.284105,1.09058,0.559
"1313","MYT1L","hurdle",0.00276256026999536,3.231687,4.578436,1.346749,0.559
"1139","LPIN2","hurdle",0.0275020989401857,5.221093,5.928989,0.707896,0.559
"1111","KRT222","hurdle",0.00517192367537658,3.545573,4.607776,1.062203,0.559
"1093","KIFAP3","hurdle",0.0314543396470735,5.63567,6.340696,0.705026,0.559
"1074","KIAA0895","hurdle",0.0157035864201222,4.054751,4.874131,0.81938,0.559
"943","HLF","hurdle",0.0112544771824324,3.911887,4.940121,1.028234,0.559
"629","EFNB3","hurdle",0.00981097960910848,4.031743,5.000725,0.968982,0.559
"612","DUSP6","hurdle",0.0137364086614482,4.41614,5.285062,0.868922,0.559
"523","DCP1A","hurdle",0.087117987918586,5.806848,6.511365,0.704517,0.559
"395","CELF6","hurdle",0.000329231475995011,2.70229,4.595926,1.893636,0.559
"388","CECR1","hurdle",0.0103092763774278,6.160186,7.139684,0.979498,0.559
"222","C1GALT1C1","hurdle",0.0880907301620834,6.292011,6.904051,0.61204,0.559
"98","APOO","hurdle",0.00632404113786745,4.964183,5.796342,0.832159,0.559
"2366","ZNF292","hurdle",0.0276055544242002,6.877978,7.640793,0.762815000000001,0.558
"2233","USP12","hurdle",0.00437271146392517,4.277514,5.256281,0.978767,0.558
"2227","UNC79","hurdle",0.0105716023969253,4.366636,5.313908,0.947272,0.558
"2223","UNC13B","hurdle",0.0208528588009553,4.801463,5.422389,0.620926,0.558
"2099","TMEM132D","hurdle",0.00368082568859105,3.399258,4.790733,1.391475,0.558
"2028","TAF9B","hurdle",0.037248709747684,4.953376,5.632455,0.679079000000001,0.558
"1979","STAG2","hurdle",0.0196340312607521,5.792623,6.390402,0.597779,0.558
"1952","SPEN","hurdle",0.116401641666089,5.608001,6.245574,0.637573000000001,0.558
"1951","SPEG","hurdle",0.00480731244394925,3.320941,4.240452,0.919511,0.558
"1882","SLC25A53","hurdle",0.02185447591402,3.953987,4.846366,0.892379,0.558
"1854","SIK1","hurdle",2.70184729015675e-05,1.971736,4.692559,2.720823,0.558
"1814","SEH1L","hurdle",0.0375207118709535,4.931384,5.732717,0.801333,0.558
"1793","SCCPDH","hurdle",0.0514548851070364,6.115824,6.616037,0.500213,0.558
"1784","SALL1","hurdle",5.5591203848966e-08,0.405637,3.921169,3.515532,0.558
"1511","PGRMC2","hurdle",0.0951392425629688,6.357709,6.989549,0.63184,0.558
"1231","MDN1","hurdle",0.0349681276508818,4.230203,5.145016,0.914813,0.558
"1117","LATS1","hurdle",0.00550771426458298,5.012815,5.972141,0.959326,0.558
"964","HSPA13","hurdle",0.0458580996394433,5.573006,6.502328,0.929322,0.558
"771","FGF12","hurdle",0.0172346904994292,4.829193,5.588186,0.758993,0.558
"440","CLSTN3","hurdle",0.0379269643919987,4.803294,5.574058,0.770764,0.558
"420","CHORDC1","hurdle",0.013607382112767,4.543255,5.495014,0.951759,0.558
"177","BDP1","hurdle",0.0608005729018294,6.238607,6.869365,0.630758,0.558
"118","ARID4A","hurdle",0.0462192583494511,5.63268,6.314035,0.681355,0.558
"2285","WHSC1","hurdle",0.0349228464354592,4.789901,5.640548,0.850646999999999,0.557
"2145","TRAF3IP2","hurdle",0.0138760965559668,5.04911,6.059709,1.010599,0.557
"2112","TMEM209","hurdle",0.0226118137983382,4.387133,5.249157,0.862024,0.557
"2041","TBCC","hurdle",0.00543602345594191,6.564371,7.246542,0.682170999999999,0.557
"1966","SRSF6","hurdle",0.0226249507843052,7.08098,7.78167,0.70069,0.557
"1824","SESN1","hurdle",0.0276456441546555,5.07621,6.026808,0.950598,0.557
"1400","NUDCD1","hurdle",0.0318015153785825,4.407586,5.175929,0.768343,0.557
"1391","NSF","hurdle",0.0377300608490083,5.873801,6.704495,0.830693999999999,0.557
"949","HMGN5","hurdle",0.0453443648050429,5.029249,5.707605,0.678356,0.557
"842","GHR","hurdle",7.66046284079529e-06,0.5427911,3.4269724,2.8841813,0.557
"709","FAM174A","hurdle",0.0591903429844127,5.972215,6.520527,0.548312,0.557
"424","CHST8","hurdle",0.000388135468187359,2.630812,4.327426,1.696614,0.557
"410","CES4A","hurdle",0.00614595581349442,4.37773,5.02689,0.64916,0.557
"405","CEP63","hurdle",0.0784561406738419,5.187938,5.848402,0.660464,0.557
"237","C21orf91","hurdle",0.0137236382695359,3.727183,4.843321,1.116138,0.557
"2466","ZZZ3","hurdle",0.103847204304537,5.014095,6.118636,1.104541,0.556
"1999","SUSD1","hurdle",0.046821291216025,4.896701,5.488396,0.591695,0.556
"1826","SESTD1","hurdle",0.121733655983602,5.982047,6.48581,0.503763,0.556
"1588","PPP1R14C","hurdle",0.0154062210940748,3.918719,5.079518,1.160799,0.556
"1575","POT1","hurdle",0.000979105463197394,3.582386,5.387988,1.805602,0.556
"1476","PCK1","hurdle",2.27199146725084e-08,-0.06381289,5.89804765,5.96186054,0.556
"1434","PACRG","hurdle",0.00880410135298331,3.189537,4.412368,1.222831,0.556
"1396","NTNG1","hurdle",1.55609994618344e-07,-1.283388,3.527246,4.810634,0.556
"1206","MAPRE3","hurdle",0.0253934130435824,5.918808,6.453991,0.535183,0.556
"1187","MAML3","hurdle",0.00570912310922408,3.597869,4.90148,1.303611,0.556
"972","HUWE1","hurdle",0.0109357233286978,6.687875,7.356756,0.668881,0.556
"945","HMG20A","hurdle",0.0222202705350772,4.694405,5.533553,0.839148000000001,0.556
"878","GPR158","hurdle",0.000723299024921309,2.481714,4.34339,1.861676,0.556
"778","FICD","hurdle",0.0205334335759996,3.842031,4.913245,1.071214,0.556
"650","EML6","hurdle",0.00112118805445956,3.350072,4.998828,1.648756,0.556
"520","DCK","hurdle",0.0360449794699294,4.91572,5.547569,0.631849,0.556
"365","CDC5L","hurdle",0.000106155935723703,5.860033,6.794097,0.934064,0.556
"303","CARD11","hurdle",0.00763653052503593,4.820996,5.616111,0.795115,0.556
"167","BBIP1","hurdle",0.021066431564968,4.967123,5.742227,0.775104,0.556
"122","ARL13B","hurdle",0.0210363562918529,4.320367,5.454556,1.134189,0.556
"15","ABLIM2","hurdle",0.0241944085147907,4.361056,5.265902,0.904846,0.556
"1710","REV1","hurdle",0.0137482393400929,4.647284,5.516721,0.869437,0.555
"1590","PPP1R21","hurdle",0.0286099274248274,4.642333,5.415054,0.772721,0.555
"952","HOOK3","hurdle",0.0266164782995039,6.206299,6.890077,0.683778,0.555
"884","GPRASP1","hurdle",0.0235223348135838,4.890591,5.64451,0.753919000000001,0.555
"582","DNAJC27","hurdle",0.00335437455394862,2.851744,4.542026,1.690282,0.555
"527","DCX","hurdle",0.000348913363164401,2.57573,4.278428,1.702698,0.555
"514","DCAF10","hurdle",0.00837621152822626,5.76064,6.486206,0.725566,0.555
"472","CPSF7","hurdle",0.0268307336679442,4.975849,5.620295,0.644445999999999,0.555
"458","COQ10A","hurdle",0.0486954450698272,4.663653,5.379028,0.715375,0.555
"385","CDO1","hurdle",0.00830492144600447,4.276501,5.198353,0.921852,0.555
"332","CCDC30","hurdle",0.000400070266381213,2.473643,3.548976,1.075333,0.555
"2453","ZNF91","hurdle",0.0198255388146355,5.180232,5.759231,0.578999,0.554
"2276","WDR5B","hurdle",0.0133151199752697,3.541122,4.857785,1.316663,0.554
"2124","TMEM8B","hurdle",0.0540597959480811,4.735479,5.299583,0.564104,0.554
"1820","SENP6","hurdle",0.10032512816317,5.909429,6.443993,0.534564,0.554
"1519","PHF8","hurdle",0.0413099621871887,4.196351,5.004386,0.808035,0.554
"983","IFT46","hurdle",0.056215318098886,4.708881,5.569977,0.861096,0.554
"883","GPR68","hurdle",0.000129567901430487,2.027631,3.673129,1.645498,0.554
"575","DNAI1","hurdle",0.000254050166703817,1.009693,3.465365,2.455672,0.554
"566","DMTF1","hurdle",0.0350310474117686,4.828522,5.79673,0.968208,0.554
"552","DHX9","hurdle",0.0972802328460883,6.308335,6.808763,0.500428,0.554
"415","CHD7","hurdle",0.00247415006774719,5.590697,6.585096,0.994399,0.554
"361","CDADC1","hurdle",0.0181176879173569,3.613815,4.499457,0.885641999999999,0.554
"2462","ZXDA","hurdle",0.000443368866400324,1.99956,4.164586,2.165026,0.553
"2397","ZNF518A","hurdle",0.120096990250269,5.424601,6.22198,0.797379,0.553
"2203","TVP23B","hurdle",0.000742554508779366,4.630357,5.506399,0.876042,0.553
"2199","TUBGCP5","hurdle",0.0589976600488593,4.321562,5.061712,0.74015,0.553
"2088","TLE2","hurdle",0.0444755858382019,4.608693,5.248729,0.640036,0.553
"1997","SULT4A1","hurdle",0.00117345439372573,2.564054,4.462279,1.898225,0.553
"1900","SLC5A8","hurdle",7.64330993398074e-06,-0.2041781,3.2906764,3.4948545,0.553
"1890","SLC35G2","hurdle",0.0355824954242622,5.181703,6.065989,0.884286,0.553
"1860","SIX2","hurdle",1.18320492782626e-05,0.7718356,3.6323228,2.8604872,0.553
"1744","RMI1","hurdle",0.00821463209264923,3.192709,4.553927,1.361218,0.553
"1517","PHF6","hurdle",0.023560945777896,4.48163,5.530095,1.048465,0.553
"980","IFIT1","hurdle",0.0185208234966193,4.519847,5.20672,0.686872999999999,0.553
"753","FBXO16","hurdle",0.00309180986464833,2.787597,4.192976,1.405379,0.553
"722","FAM222B","hurdle",0.0513442133835273,5.299095,5.903864,0.604768999999999,0.553
"694","FAM122B","hurdle",0.0259031387274902,3.964494,4.504419,0.539925,0.553
"680","EXOC8","hurdle",0.0131984833680444,3.588915,4.576766,0.987851,0.553
"584","DNAJC6","hurdle",0.0222237633966496,3.904051,4.902623,0.998572,0.553
"465","CPD","hurdle",0.15062735863201,6.505154,7.093727,0.588573,0.553
"432","CLCN5","hurdle",0.0106547704537766,4.208598,5.416974,1.208376,0.553
"397","CENPBD1","hurdle",0.0542558478425672,4.588906,5.25094,0.662034,0.553
"386","CDON","hurdle",0.00558910550085199,2.946293,4.123575,1.177282,0.553
"266","C9orf72","hurdle",0.0312121594948849,4.039829,4.593332,0.553503,0.553
"60","ALDH5A1","hurdle",0.0079119835537343,4.102526,5.106015,1.003489,0.553
"2229","UPF3B","hurdle",0.0989746476267123,4.633734,5.380525,0.746791,0.552
"2220","UHMK1","hurdle",0.132569819736554,5.573159,6.1233,0.550141,0.552
"2161","TRO","hurdle",0.00925628349455493,4.49235,5.393189,0.900839,0.552
"2139","TOX2","hurdle",2.81650689361811e-07,-0.7919187,3.2126018,4.0045205,0.552
"1680","RANBP6","hurdle",0.100219918468889,4.813813,5.517727,0.703914,0.552
"1521","PHLDB3","hurdle",0.00706660705778203,4.041058,4.836886,0.795828,0.552
"1297","MTX3","hurdle",0.0371570752846311,3.932216,4.539668,0.607452,0.552
"1251","MGA","hurdle",0.0041508553708531,4.50569,5.875043,1.369353,0.552
"1174","LYRM5","hurdle",0.098086490504824,5.09285,5.787954,0.695104,0.552
"896","GRIPAP1","hurdle",0.0878215253148695,5.407181,5.987198,0.580017000000001,0.552
"868","GOLGA2","hurdle",0.021414606942964,6.546594,7.209656,0.663062,0.552
"707","FAM169A","hurdle",0.0203750609194436,3.562092,4.562258,1.000166,0.552
"620","EEF1A2","hurdle",0.0193494838604026,3.301952,3.922506,0.620554,0.552
"578","DNAJB5","hurdle",0.00991319556055984,2.807994,3.935472,1.127478,0.552
"132","ARVCF","hurdle",0.0705573680792199,4.797766,5.521249,0.723483,0.552
"2362","ZNF264","hurdle",0.111827015804016,4.93109,5.587675,0.656585,0.551
"2274","WDR35","hurdle",0.00447566310306646,3.588073,4.769122,1.181049,0.551
"1922","SMIM6","hurdle",0.0677807866180319,5.165536,5.962022,0.796486,0.551
"1878","SLC25A25","hurdle",0.0569383467975579,4.198563,5.075977,0.877414,0.551
"1660","RAB33B","hurdle",0.071614179813052,4.032182,4.887112,0.85493,0.551
"1159","LRRC4B","hurdle",2.15728917593289e-06,-0.8280374,2.6799094,3.5079468,0.551
"1153","LRRC34","hurdle",0.000508280905574137,1.650152,4.233889,2.583737,0.551
"1146","LRP2BP","hurdle",0.00145972767970352,2.301757,3.997026,1.695269,0.551
"967","HSPA4L","hurdle",0.03579505192831,3.877383,4.717171,0.839788,0.551
"961","HSD17B7","hurdle",0.0556306495263401,4.009277,4.811325,0.802048,0.551
"891","GRASP","hurdle",0.00674706380643997,3.067188,4.411248,1.34406,0.551
"704","FAM161A","hurdle",0.01051538198597,3.57583,5.093148,1.517318,0.551
"649","EML5","hurdle",0.00594510068763853,2.852735,4.210615,1.35788,0.551
"644","ELOVL4","hurdle",0.0656929868116394,4.745149,5.362222,0.617073,0.551
"398","CENPQ","hurdle",0.0119844846766342,2.840741,4.131389,1.290648,0.551
"356","CD72","hurdle",0.00429943836650329,3.370605,5.434402,2.063797,0.551
"264","C9orf64","hurdle",0.0062123212227601,4.085442,5.272055,1.186613,0.551
"2101","TMEM150C","hurdle",0.0189283340274333,3.644276,4.599744,0.955468,0.55
"2078","THRB","hurdle",0.0432241649359877,3.922933,4.68079,0.757857,0.55
"2043","TBK1","hurdle",0.0187122229705417,4.762426,5.668317,0.905891,0.55
"1349","NEK4","hurdle",0.0513451343672873,3.886059,4.601928,0.715869,0.55
"1203","MAPK8IP1","hurdle",0.0456778481290833,4.577218,5.292019,0.714801,0.55
"839","GFM1","hurdle",0.0388377196233156,5.528529,6.129368,0.600839000000001,0.55
"681","EXOSC2","hurdle",0.0413527607248277,3.594213,4.589569,0.995356,0.55
"586","DNALI1","hurdle",0.107071957878617,5.325652,5.975967,0.650315,0.55
"560","DLG2","hurdle",0.0038649096843475,3.421903,4.10992,0.688017,0.55
"430","CKMT1B","hurdle",0.0726144875927498,4.033146,4.573422,0.540276,0.55
"296","CAMK2N2","hurdle",0.0119627599185272,3.0804,3.959879,0.879479,0.55
"178","BEND5","hurdle",0.0139972315439663,3.0731,4.173971,1.100871,0.55
"145","ATF2","hurdle",0.0176135981337675,5.509236,6.237302,0.728066,0.55
"127","ARMC4","hurdle",6.25038114317676e-10,-3.321928,3.55194,6.873868,0.55
"2295","XPO7","hurdle",0.0835983548500006,5.065055,5.834465,0.76941,0.549
"2288","WSCD1","hurdle",0.00085234743854332,1.480588,3.690064,2.209476,0.549
"1973","ST6GAL1","hurdle",0.00726052940766938,3.370033,5.31911,1.949077,0.549
"1923","SMIM8","hurdle",0.071200372764176,4.090319,4.898269,0.80795,0.549
"1687","RASGRF2","hurdle",0.000381418920069528,1.756604,3.898144,2.14154,0.549
"1479","PCNT","hurdle",0.15960842146474,5.193082,5.755334,0.562252,0.549
"1280","MREG","hurdle",0.000575558692220116,2.189835,4.365156,2.175321,0.549
"1000","ILDR2","hurdle",0.00096030384573201,1.848055,3.909238,2.061183,0.549
"875","GPD2","hurdle",0.126554573315428,4.64395,5.275323,0.631373,0.549
"827","GAST","hurdle",5.35437549475357e-08,-2.090108,5.712363,7.802471,0.549
"737","FAN1","hurdle",0.00228193531673724,3.782936,4.916549,1.133613,0.549
"643","ELMSAN1","hurdle",0.0832971697851054,4.84162,5.674115,0.832495,0.549
"565","DMRTA1","hurdle",0.00298804949869163,2.62125,4.599096,1.977846,0.549
"409","CERKL","hurdle",0.00717450020965479,2.595284,4.133725,1.538441,0.549
"396","CELSR3","hurdle",0.0224768806930255,4.110638,5.131556,1.020918,0.549
"310","CBFA2T2","hurdle",0.0266165072999949,5.2009,6.002919,0.802019,0.549
"304","CARKD","hurdle",0.159791191819817,5.649281,6.240986,0.591705,0.549
"299","CAMSAP2","hurdle",0.0517521765172049,4.70738,5.380613,0.673233000000001,0.549
"2294","XPO1","hurdle",0.00647376539572875,5.960087,6.646872,0.686785,0.548
"2235","USP2","hurdle",0.0512009588612912,5.047639,5.756448,0.708809,0.548
"1901","SLC7A1","hurdle",0.0414949697581987,5.696131,6.220745,0.524614,0.548
"1853","SIDT1","hurdle",0.00592680648050429,2.544773,3.985879,1.441106,0.548
"1800","SCN3A","hurdle",0.020437729561766,3.102933,4.012331,0.909397999999999,0.548
"1741","RLIM","hurdle",0.199121065358118,5.955327,6.796131,0.840804,0.548
"1650","PYGO2","hurdle",0.0392090375297401,4.571529,5.309598,0.738069,0.548
"1559","PLXNA2","hurdle",0.0535318326567909,4.809454,5.579823,0.770369000000001,0.548
"1515","PHF2","hurdle",0.0828579352047574,4.106702,4.974335,0.867633,0.548
"1436","PAGR1","hurdle",0.106733633123644,5.264177,5.831982,0.567805,0.548
"1361","NLGN1","hurdle",0.00463070661544507,2.580047,4.250493,1.670446,0.548
"1236","MED14","hurdle",0.0296872452622526,4.141844,5.14387,1.002026,0.548
"1227","MCTP2","hurdle",0.0550058066243798,3.795406,4.970737,1.175331,0.548
"1013","IRF6","hurdle",0.165080992312683,5.391378,5.910097,0.518719000000001,0.548
"902","GRP","hurdle",4.13514622653175e-07,-0.937613,4.091323,5.028936,0.548
"832","GCK","hurdle",0.0450292656083933,4.59126,5.290339,0.699079,0.548
"825","GAP43","hurdle",0.000987916886504602,2.452608,4.924111,2.471503,0.548
"506","CYLD","hurdle",0.077959660166167,5.399756,6.25711,0.857354,0.548
"477","CREM","hurdle",0.00276879392005838,5.275944,6.290906,1.014962,0.548
"462","CORO2A","hurdle",0.0144439703902763,3.142376,4.362333,1.219957,0.548
"20","ACD","hurdle",0.0397817317380575,4.407906,5.280169,0.872263,0.548
"2381","ZNF395","hurdle",0.157885712788367,5.441735,6.129231,0.687495999999999,0.547
"2364","ZNF280B","hurdle",0.0143887754401046,3.419473,4.718511,1.299038,0.547
"2175","TSPEAR","hurdle",0.000111570681650928,0.6568451,3.5022077,2.8453626,0.547
"2160","TRNP1","hurdle",0.160254832366354,4.783852,5.453997,0.670145,0.547
"2102","TMEM151A","hurdle",0.0146665019118936,2.9021,4.22922,1.32712,0.547
"2026","TAF2","hurdle",0.116087001260604,4.81851,5.548212,0.729702000000001,0.547
"1885","SLC2A12","hurdle",0.00528998722951457,2.305574,3.943069,1.637495,0.547
"1855","SIKE1","hurdle",0.128538414442326,5.10006,5.675353,0.575293,0.547
"1797","SCML2","hurdle",0.00407703576535687,2.008919,3.523839,1.51492,0.547
"1738","RINL","hurdle",0.0796224724526494,4.027175,4.633934,0.606759,0.547
"1634","PTBP3","hurdle",0.0572191799298395,5.993666,6.644758,0.651092,0.547
"1405","NUFIP2","hurdle",0.025709898605351,5.686749,6.280216,0.593467,0.547
"1114","LAIR1","hurdle",0.000523353514033879,1.588253,3.616429,2.028176,0.547
"984","IFT74","hurdle",0.100474124988111,4.796459,5.311263,0.514804000000001,0.547
"861","GNAZ","hurdle",0.0703994431954949,5.116014,5.887931,0.771917,0.547
"755","FBXO27","hurdle",0.0273659954958698,3.125141,4.344715,1.219574,0.547
"630","EFR3A","hurdle",0.0133727622345267,6.149158,6.735334,0.586176,0.547
"607","DTX3","hurdle",0.119505792698714,5.06517,5.598697,0.533526999999999,0.547
"546","DGKB","hurdle",0.00237421914063049,2.086651,4.005463,1.918812,0.547
"443","CMTM4","hurdle",0.175270700557085,5.79627,6.332964,0.536694,0.547
"435","CLDN9","hurdle",0.00707231788466496,3.365488,4.600955,1.235467,0.547
"285","CADM2","hurdle",5.95264816272043e-07,-0.5746943,4.1722276,4.7469219,0.547
"93","APBB3","hurdle",0.0394611313378205,4.097966,5.155374,1.057408,0.547
"2465","ZZEF1","hurdle",0.13417680598116,4.515956,5.086,0.570044,0.546
"2380","ZNF37A","hurdle",0.0140786825802491,5.162805,6.094771,0.931966,0.546
"2242","USP9X","hurdle",0.00439490484302862,6.507235,7.149727,0.642492000000001,0.546
"2076","THBD","hurdle",0.00124598854270962,3.284278,3.912467,0.628189,0.546
"2010","SYNJ1","hurdle",0.0327726982652236,3.391415,4.235016,0.843601,0.546
"1785","SALL2","hurdle",0.0315736049652244,3.711704,4.71435,1.002646,0.546
"1752","RNF212","hurdle",0.00310704290296809,1.791686,3.649413,1.857727,0.546
"1690","RAVER2","hurdle",0.0364265189134989,3.938725,4.543418,0.604693,0.546
"1669","RABGAP1L","hurdle",0.04948988499105,5.998449,6.692343,0.693894,0.546
"1346","NEFM","hurdle",0.00421108078867777,3.884265,4.732654,0.848389,0.546
"1066","KCTD2","hurdle",0.0308984924148192,3.192379,4.114712,0.922333,0.546
"924","HDAC9","hurdle",0.00206999854357657,3.061998,5.19133,2.129332,0.546
"887","GRAMD1C","hurdle",0.0102336336255068,3.356938,4.507226,1.150288,0.546
"758","FBXO41","hurdle",0.0347405716872807,3.257254,4.539162,1.281908,0.546
"749","FBXL17","hurdle",0.0270645595666267,4.050047,4.999493,0.949446,0.546
"725","FAM47E","hurdle",0.090811367264083,3.765957,4.478727,0.71277,0.546
"689","FAM104A","hurdle",0.11796654392826,5.570796,6.185941,0.615145,0.546
"609","DUSP18","hurdle",0.0109366907872533,3.652921,4.83222,1.179299,0.546
"411","CETN2","hurdle",0.101897162505793,6.132775,6.655896,0.523121000000001,0.546
"160","B3GAT1","hurdle",0.000266969751585062,0.4605038,2.9155715,2.4550677,0.546
"105","ARFGEF2","hurdle",0.0287565286408557,5.852252,6.427984,0.575732,0.546
"66","ALMS1","hurdle",0.0491832066030117,3.552157,4.369786,0.817629000000001,0.546
"2374","ZNF330","hurdle",0.266947024453676,5.578142,6.206463,0.628321000000001,0.545
"2335","ZHX3","hurdle",0.111782030474103,4.437082,5.129297,0.692215,0.545
"2177","TSPYL4","hurdle",0.0935602839808864,5.711123,6.591236,0.880113000000001,0.545
"1993","STX3","hurdle",0.147977775079824,6.145541,6.671162,0.525621,0.545
"1928","SNCA","hurdle",0.0252139721137695,4.100691,5.041601,0.94091,0.545
"1910","SLCO3A1","hurdle",0.00994496377948063,3.598682,4.81809,1.219408,0.545
"1907","SLC8A2","hurdle",0.047310674642519,3.542439,4.256352,0.713913,0.545
"1844","SH3BGRL2","hurdle",0.148991121176268,5.481397,6.271996,0.790598999999999,0.545
"1839","SGSM2","hurdle",0.0883796004181269,4.812878,5.500572,0.687694,0.545
"1760","RPGRIP1L","hurdle",0.0187973697086791,3.142211,4.70403,1.561819,0.545
"1734","RIMKLA","hurdle",0.0321108537636736,4.001997,4.880138,0.878140999999999,0.545
"1708","REEP1","hurdle",0.0457055609021628,4.112059,4.717957,0.605898,0.545
"1587","PPP1R12B","hurdle",0.026651861978363,3.89545,5.0124,1.11695,0.545
"1390","NRXN3","hurdle",0.00131339181916057,1.240999,3.794379,2.55338,0.545
"1345","NECAP1","hurdle",0.0499101952584107,5.557272,6.314694,0.757422,0.545
"1198","MAP7D2","hurdle",0.106985015254678,4.560476,5.202962,0.642486,0.545
"1165","LRRN2","hurdle",0.00024687827309497,1.095402,3.582787,2.487385,0.545
"1154","LRRC36","hurdle",0.00441731329888812,2.180491,3.620414,1.439923,0.545
"1106","KLHL8","hurdle",0.0869621288878099,4.527515,5.425514,0.897999,0.545
"910","GYG2","hurdle",0.0169004113215173,3.516687,4.333413,0.816726,0.545
"856","GLT8D2","hurdle",0.00428346766925126,5.207156,6.389717,1.182561,0.545
"786","FLRT1","hurdle",0.00456674887970738,2.416095,4.026931,1.610836,0.545
"631","EFR3B","hurdle",0.0490396867981159,3.952273,4.485055,0.532782,0.545
"89","AP3B2","hurdle",0.0781127674309532,4.218456,4.902375,0.683919,0.545
"2359","ZNF248","hurdle",0.104813363699382,4.116427,4.739768,0.623341,0.544
"2317","ZCCHC18","hurdle",0.0105318281365762,2.529727,3.910046,1.380319,0.544
"2188","TTC39B","hurdle",0.0074381449492424,3.182713,4.876903,1.69419,0.544
"2121","TMEM64","hurdle",0.0843448796564622,4.690001,5.341658,0.651657,0.544
"2091","TMCC2","hurdle",0.00605072417616704,2.198168,4.037039,1.838871,0.544
"1771","RSPH1","hurdle",0.0426924441023746,3.134832,4.329328,1.194496,0.544
"1770","RSAD2","hurdle",0.00362137528425146,3.294443,4.250326,0.955883,0.544
"1756","ROR2","hurdle",0.0184632420446275,2.863464,4.308704,1.44524,0.544
"1646","PUM2","hurdle",0.0818572114231473,5.489555,6.107555,0.617999999999999,0.544
"1484","PDE10A","hurdle",0.0108554403557704,2.877746,4.228599,1.350853,0.544
"1440","PANK1","hurdle",0.0113479150734729,1.98722,3.659227,1.672007,0.544
"1408","NUP35","hurdle",0.0722938123364969,3.902399,4.70716,0.804761,0.544
"1399","NUBPL","hurdle",0.0282067113266253,3.737457,4.837998,1.100541,0.544
"1320","NALCN","hurdle",0.0404173934171171,3.269616,4.294462,1.024846,0.544
"1272","MORN4","hurdle",0.159120991645821,4.448919,5.16328,0.714361,0.544
"1171","LY6G5C","hurdle",0.00984743425298975,2.528342,3.838639,1.310297,0.544
"1147","LRP5","hurdle",0.0686015987428924,5.022072,6.67876,1.656688,0.544
"1026","KAT6A","hurdle",0.0375362563165434,5.559257,6.130831,0.571574,0.544
"1001","IMPAD1","hurdle",0.274052493477128,6.090544,6.679032,0.588488,0.544
"807","FSTL4","hurdle",0.0167042643309926,3.011668,4.193548,1.18188,0.544
"671","ESYT2","hurdle",0.120351736641294,5.138193,5.644718,0.506525,0.544
"634","EHBP1L1","hurdle",0.0409328588297723,3.421533,4.314339,0.892806,0.544
"481","CRY2","hurdle",0.0668485192624432,4.871018,5.707188,0.83617,0.544
"414","CHD5","hurdle",0.018123047299497,3.312476,3.96011,0.647634,0.544
"401","CEP192","hurdle",0.0420849870678161,3.043482,4.273594,1.230112,0.544
"253","C5orf42","hurdle",0.0672201443440992,4.860498,5.644995,0.784497,0.544
"131","ARRB2","hurdle",0.0849485855969762,3.717708,4.41826,0.700552,0.544
"106","ARG2","hurdle",0.0837430660965057,5.488487,6.242674,0.754187,0.544
"71","AMER3","hurdle",0.0325247680948921,3.838031,4.621972,0.783941,0.544
"17","ACACB","hurdle",0.111471052958899,4.27982,4.878514,0.598694,0.544
"2356","ZNF226","hurdle",0.236553979318764,4.878034,5.427421,0.549386999999999,0.543
"2314","ZC3H4","hurdle",0.177420965857856,4.547392,5.070729,0.523337,0.543
"2289","WWOX","hurdle",0.113660569214807,4.465044,5.064665,0.599621,0.543
"1714","RFX2","hurdle",0.0387066079655397,3.61908,4.713207,1.094127,0.543
"1683","RAPGEF4","hurdle",0.0484911374675455,3.541432,4.408035,0.866603,0.543
"1533","PITPNA","hurdle",0.0596214421868208,5.274734,5.929859,0.655125000000001,0.543
"1504","PER3","hurdle",0.082240899218855,5.01616,5.645555,0.629395,0.543
"1378","NPM2","hurdle",0.149812905785309,4.545453,5.207141,0.661688,0.543
