"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"664","EPHX2","hurdle",2.09527127258082e-08,5.921922,7.161708,1.239786,0.657
"1341","NDRG4","hurdle",1.67995564723209e-14,3.77723,6.949024,3.171794,0.656
"1244","MEST","hurdle",2.22717842563426e-08,5.52967,6.921965,1.392295,0.655
"2016","SYT13","hurdle",2.75384817293606e-08,6.379493,7.903069,1.523576,0.654
"1937","SORL1","hurdle",2.16606171514273e-08,6.891253,8.378973,1.48772,0.654
"1545","PLAC8","hurdle",1.38212786217115e-13,3.94163,6.546831,2.605201,0.654
"56","AKAP12","hurdle",1.44083741835836e-07,6.516383,7.554932,1.038549,0.654
"2246","VAMP2","hurdle",5.27121516617988e-07,7.723567,8.510174,0.786606999999999,0.653
"1702","RCAN3","hurdle",1.14875929877731e-07,5.509038,6.856915,1.347877,0.653
"1353","NEUROD1","hurdle",7.44601383153836e-07,8.052891,8.90594,0.853048999999999,0.653
"1053","KCNK16","hurdle",2.7776210790951e-09,5.826538,7.179601,1.353063,0.653
"611","DUSP26","hurdle",3.53267916602565e-07,6.207696,7.328428,1.120732,0.652
"954","HPN","hurdle",1.12127192974882e-09,6.025784,7.083736,1.057952,0.651
"287","CADPS","hurdle",1.83597587080082e-07,6.664145,7.847738,1.183593,0.651
"79","ANK1","hurdle",2.01971629686052e-26,-0.6935128,5.592163,6.2856758,0.649
"2050","TCEAL5","hurdle",1.38622385463537e-10,3.790136,5.872554,2.082418,0.648
"2003","SVOP","hurdle",7.65481942876486e-10,4.574348,6.435507,1.861159,0.648
"1789","SAMD5","hurdle",2.36354193169569e-08,5.33156,6.604504,1.272944,0.648
"1715","RFX6","hurdle",2.0629399989403e-08,5.984888,7.427824,1.442936,0.648
"1613","PROX1","hurdle",8.98079335598496e-08,5.332673,6.80419,1.471517,0.648
"1477","PCLO","hurdle",3.64808221170275e-08,6.691802,8.23396,1.542158,0.648
"1651","QDPR","hurdle",4.51969742001538e-07,8.068927,9.104107,1.03518,0.647
