"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.acinar","log2fold_change","Auc"
"3126","REG1A","hurdle",2.79141933007382e-164,7.199159,17.368629,10.16947,1
"908","CTRB2","hurdle",3.05940124386078e-148,4.819672,14.23428,9.414608,1
"2940","PRSS1","hurdle",3.85107893166716e-131,5.332246,15.10136,9.769114,0.999
"3661","SPINK1","hurdle",2.8699706557992e-124,8.484304,14.947034,6.46273,0.995
"3128","REG3A","hurdle",1.15784107961398e-134,6.531098,16.55927,10.028172,0.991
"907","CTRB1","hurdle",1.20983192085204e-119,3.756241,13.083251,9.32701,0.988
"1840","IL32","hurdle",4.35676073815258e-96,6.172254,11.827536,5.655282,0.987
"848","CPA2","hurdle",2.15137251827278e-110,3.154718,12.247513,9.092795,0.983
"2795","PLA2G1B","hurdle",8.58030718279175e-106,3.552488,11.952343,8.399855,0.976
"3127","REG1B","hurdle",2.78347933073211e-114,5.310276,15.320705,10.010429,0.971
"909","CTRC","hurdle",1.16186873388392e-109,2.058316,11.290715,9.232399,0.968
"2371","MUC1","hurdle",8.51225971830378e-83,5.828277,11.078887,5.25061,0.965
"847","CPA1","hurdle",1.71162894686383e-100,3.429812,12.524746,9.094934,0.965
"2829","PNLIP","hurdle",1.89440488446078e-96,3.183188,12.834345,9.651157,0.964
"2043","LGALS2","hurdle",9.65211957479936e-101,2.410545,11.333216,8.922671,0.957
"2244","MGST1","hurdle",1.45770059956089e-76,6.000287,10.473424,4.473137,0.956
"1625","GSTA1","hurdle",1.53444344683382e-88,4.255639,11.150321,6.894682,0.951
"852","CPB1","hurdle",8.78892187075882e-78,6.815599,12.189068,5.373469,0.949
"450","C15orf48","hurdle",1.86616025958066e-95,6.707327,11.559795,4.852468,0.949
"2031","LCN2","hurdle",2.31577886594293e-63,9.851647,13.767884,3.916237,0.945
"1100","DUOXA2","hurdle",7.88045946546341e-86,3.870528,11.886641,8.016113,0.942
"1610","GPX2","hurdle",1.44823026398595e-64,7.152915,11.29666,4.143745,0.939
"1626","GSTA2","hurdle",1.9082245119792e-93,2.270275,10.907246,8.636971,0.936
"151","ALDOB","hurdle",2.70619258153471e-94,1.770631,11.62258,9.851949,0.932
"132","AKR1C3","hurdle",4.6943100518418e-75,5.10633,10.8831,5.77677,0.932
"2945","PRSS3","hurdle",2.96316106047295e-77,4.344972,12.251226,7.906254,0.931
"1098","DUOX2","hurdle",3.35466974212135e-78,4.529701,11.993193,7.463492,0.931
"3176","RNASE1","hurdle",6.10883368307626e-86,4.30276,10.70191,6.39915,0.927
"3085","RARRES2","hurdle",1.12314319220166e-65,5.627976,10.429624,4.801648,0.926
"699","CELA3A","hurdle",1.20194779175494e-77,2.765952,12.144341,9.378389,0.924
"2715","PDZK1IP1","hurdle",6.88107020646142e-62,6.021319,10.314569,4.29325,0.922
"2126","LYZ","hurdle",3.24587460796111e-74,5.536288,11.851632,6.315344,0.922
"641","CD24","hurdle",1.32378216569549e-52,8.856833,11.925186,3.068353,0.92
"2588","OLFM4","hurdle",1.33937947283498e-56,9.258886,13.809925,4.551039,0.918
"3342","SAT1","hurdle",4.16872337628004e-49,9.7412,12.59131,2.85011,0.912
"139","ALB","hurdle",2.56658491143868e-80,2.896654,12.655637,9.758983,0.908
"697","CELA2A","hurdle",4.80784357876446e-87,0.380421,10.094927,9.714506,0.907
"488","C3","hurdle",6.47607115797307e-56,6.957643,11.768779,4.811136,0.906
"3637","SOD2","hurdle",4.96864758440077e-60,7.102527,11.174632,4.072105,0.904
"3892","TM4SF1","hurdle",1.89807060958176e-43,7.44952,10.39726,2.94774,0.892
"203","ANPEP","hurdle",1.0440816877419e-68,4.257149,11.169849,6.9127,0.891
"1988","KLK1","hurdle",6.25159864256463e-85,-3.321928,8.396609,11.718537,0.89
"3759","SYCN","hurdle",4.21220016671528e-81,-1.325136,10.03138,11.356516,0.889
"3072","RAMP1","hurdle",4.28662195774673e-50,6.040908,8.940182,2.899274,0.889
"1503","GATM","hurdle",1.09184089683151e-56,5.476821,10.416714,4.939893,0.884
"1517","GDF15","hurdle",2.9974789910182e-45,7.382871,11.191651,3.80878,0.878
"88","ADH1C","hurdle",4.08075502852932e-62,4.665172,10.750335,6.085163,0.878
"700","CELA3B","hurdle",1.0586629342192e-70,0.6626457,9.8319045,9.1692588,0.876
"933","CYB5A","hurdle",3.94894629995968e-62,6.859109,10.414585,3.555476,0.873
"719","CFB","hurdle",1.44930329086615e-48,7.51507,12.89663,5.38156,0.87
"645","CD44","hurdle",7.58037961563929e-34,8.909521,10.801097,1.891576,0.869
"3362","SDC4","hurdle",1.07973415107725e-47,6.386808,10.741907,4.355099,0.868
"1338","FAM3B","hurdle",8.1430932019015e-44,5.954178,9.143629,3.189451,0.866
"1999","KRT7","hurdle",2.38001388066958e-38,8.012998,10.335471,2.322473,0.858
"3506","SLC25A37","hurdle",1.22203882792284e-41,4.929361,8.15339,3.224029,0.855
"1192","ELF3","hurdle",1.64850672666794e-33,7.647313,10.097884,2.450571,0.855
"4038","TPM1","hurdle",1.54054531730305e-31,8.829483,10.429294,1.599811,0.854
"1822","IGFBP2","hurdle",3.92061291697972e-41,5.894593,9.477092,3.582499,0.854
"3401","SERPINA4","hurdle",2.78684443010453e-50,4.502292,9.343037,4.840745,0.853
"3129","REG3G","hurdle",5.8800273930851e-62,1.242699,10.227776,8.985077,0.853
"4384","ZFP36L1","hurdle",6.15646461020101e-35,7.650647,10.339934,2.689287,0.852
"2477","NFKBIZ","hurdle",5.67367907223468e-40,5.577152,8.692094,3.114942,0.849
"207","ANXA4","hurdle",6.3177019573304e-31,9.096581,11.102562,2.005981,0.847
"131","AKR1C2","hurdle",3.40751255497616e-53,2.499314,9.199993,6.700679,0.845
"2703","PDIA2","hurdle",5.55904073878296e-69,-1.967787,8.549067,10.516854,0.844
"1448","FTH1","hurdle",3.09045519133222e-31,11.85672,13.99947,2.14275,0.844
"926","CXCL17","hurdle",4.12074299486738e-68,0.5757522,9.6339514,9.0581992,0.841
"4240","VAMP8","hurdle",6.81889470959783e-34,7.173959,9.226201,2.052242,0.84
"696","CEL","hurdle",4.66005364766479e-56,2.080245,8.375542,6.295297,0.839
"2004","KRTCAP3","hurdle",2.29971855077578e-39,5.20226,8.175282,2.973022,0.838
"3813","TC2N","hurdle",6.27175185805711e-47,4.404985,8.933266,4.528281,0.831
"2830","PNLIPRP1","hurdle",9.15486451813654e-63,0.05159822,10.08466388,10.03306566,0.831
"2767","PIGR","hurdle",3.21942637310431e-40,6.937449,10.758034,3.820585,0.831
"2000","KRT8","hurdle",7.16900009382999e-26,9.734517,10.939984,1.205467,0.83
"4151","TXN","hurdle",2.69934797283246e-38,8.163945,10.132882,1.968937,0.829
"1631","GSTP1","hurdle",2.72786806078689e-26,9.232698,11.015859,1.783161,0.829
"3781","TACSTD2","hurdle",1.0476175428061e-33,8.15091,10.53704,2.38613,0.828
"370","BCAT1","hurdle",2.20925071634954e-48,4.102114,8.948827,4.846713,0.826
"3904","TMC5","hurdle",7.18046584861077e-42,4.566726,8.739512,4.172786,0.825
"3988","TMSB4X","hurdle",6.62936770374838e-25,11.48384,13.11513,1.63129,0.824
"789","CLPS","hurdle",8.09067703299816e-49,2.986674,10.376144,7.38947,0.821
"341","B2M","hurdle",1.47318981636818e-27,12.73336,14.55613,1.82277,0.82
"3978","TMEM97","hurdle",3.67838317096439e-46,4.259013,8.85293,4.593917,0.819
"774","CLDN4","hurdle",1.40934528889045e-28,7.540598,10.075204,2.534606,0.819
"2447","NEAT1","hurdle",2.48698257583764e-26,9.684931,12.209797,2.524866,0.818
"2034","LDHB","hurdle",4.78590721501722e-30,7.435975,9.437943,2.001968,0.816
"1997","KRT18","hurdle",3.21198269249698e-23,9.336537,10.485551,1.149014,0.815
"3397","SERINC2","hurdle",4.42901393765692e-28,6.876058,9.31716,2.441102,0.81
"2033","LDHA","hurdle",4.08685843502628e-28,8.245131,10.867927,2.622796,0.81
"1078","DPEP1","hurdle",3.82530807834554e-52,2.234261,8.185024,5.950763,0.806
"1981","KLF6","hurdle",2.73843573500363e-22,7.320496,9.415521,2.095025,0.805
"394","BIRC3","hurdle",7.1102352038469e-37,4.621246,8.765699,4.144453,0.805
"340","AZGP1","hurdle",1.39019453255961e-50,1.707285,7.850929,6.143644,0.802
"3403","SERPINB1","hurdle",9.27963818526249e-28,6.699044,8.895956,2.196912,0.801
"4005","TNFSF10","hurdle",1.11258094683488e-25,6.732881,8.435764,1.702883,0.8
"1808","IFITM3","hurdle",2.26908172399489e-28,8.964718,10.191696,1.226978,0.8
"2473","NFKBIA","hurdle",6.41769764740017e-27,6.550341,9.251512,2.701171,0.799
"1110","DUSP4","hurdle",2.8171526416368e-33,4.821581,8.221943,3.400362,0.799
"353","BACE2","hurdle",3.5172762229573e-29,6.22412,8.892666,2.668546,0.797
"3323","S100A11","hurdle",8.9199019886049e-21,9.317365,10.869853,1.552488,0.795
"3002","PTP4A2","hurdle",1.95477204548457e-20,7.125405,8.900791,1.775386,0.795
"1139","EEF1D","hurdle",2.79093414062326e-21,8.645712,10.231132,1.58542,0.795
"693","CEBPD","hurdle",2.30298080374326e-26,5.691965,8.165317,2.473352,0.794
"129","AKR1B10","hurdle",4.31394728100297e-41,4.234342,9.88052,5.646178,0.793
"1449","FTL","hurdle",5.08702020615917e-16,12.51393,14.15096,1.63703,0.792
"1405","FGL1","hurdle",1.2259544735107e-44,2.465326,8.726941,6.261615,0.792
"944","CYP3A5","hurdle",1.29140907744784e-35,4.586607,8.522384,3.935777,0.792
"4323","XBP1","hurdle",3.24793322709238e-27,8.61,11.32621,2.71621,0.79
"3685","SRD5A3","hurdle",1.30961728617252e-26,5.438174,8.076671,2.638497,0.789
"1148","EFHD2","hurdle",1.65530986102331e-26,4.831117,7.665538,2.834421,0.785
"505","C6orf222","hurdle",1.3580725783534e-48,1.373739,8.280684,6.906945,0.785
"1773","HSPB1","hurdle",3.23624612870898e-21,9.075309,10.773154,1.697845,0.784
"1584","GP2","hurdle",2.02335406381123e-47,1.510717,9.537515,8.026798,0.784
"3987","TMSB10","hurdle",1.52906787261771e-19,10.52816,11.90571,1.37755,0.783
"2387","MYL12A","hurdle",1.07308993504828e-25,8.351306,10.256075,1.904769,0.783
"1712","HLA-DMA","hurdle",5.16790548585157e-33,4.883544,7.918596,3.035052,0.782
"3789","TAGLN2","hurdle",3.84084104694206e-22,8.525933,10.411649,1.885716,0.78
"617","CCL28","hurdle",2.45960386267065e-33,4.413584,7.868919,3.455335,0.78
"3423","SGK1","hurdle",2.69599799772731e-39,3.796516,9.129038,5.332522,0.779
"2623","P4HB","hurdle",5.70311763099569e-24,9.456775,11.274161,1.817386,0.779
"1108","DUSP23","hurdle",1.09721875566364e-27,6.267767,8.601866,2.334099,0.777
"854","CPM","hurdle",1.40743586811455e-34,3.485147,7.675718,4.190571,0.777
"3655","SPCS3","hurdle",3.05708822059913e-22,6.33676,8.060354,1.723594,0.776
"167","AMBP","hurdle",1.05838475833923e-24,7.679607,9.727998,2.048391,0.776
"3039","RAB11FIP1","hurdle",7.83702777286117e-22,6.903169,8.921496,2.018327,0.775
"1295","FAM107B","hurdle",2.24247885963291e-27,5.231101,8.307842,3.076741,0.775
"130","AKR1C1","hurdle",2.79529324412971e-31,4.960324,8.894888,3.934564,0.775
"2981","PSME2","hurdle",5.3045708763828e-20,6.976616,8.512233,1.535617,0.774
"1736","HN1","hurdle",8.06089262121334e-24,6.442431,8.50267,2.060239,0.774
"1283","F3","hurdle",2.20230422189289e-32,4.608319,8.57485,3.966531,0.773
"4053","TRAM1","hurdle",4.34058505636677e-24,7.516296,9.456247,1.939951,0.772
"1675","HDHD3","hurdle",5.83825293254045e-26,5.459738,8.014806,2.555068,0.772
"913","CTSH","hurdle",4.38502736722897e-22,7.619055,8.634772,1.015717,0.772
"357","BAIAP2L1","hurdle",5.35178247118681e-29,4.574587,7.639138,3.064551,0.772
"1697","HIF1A","hurdle",7.04516852751283e-21,7.577514,9.799089,2.221575,0.768
"910","CTRL","hurdle",8.06027371810716e-51,-1.212999,7.265972,8.478971,0.768
"4197","UGDH","hurdle",3.60377022994854e-28,6.649858,9.710088,3.06023,0.767
"378","BCL2L15","hurdle",6.97610094771776e-46,0.204484,6.912603,6.708119,0.767
"4280","VTN","hurdle",3.36868414840601e-34,3.725782,8.236187,4.510405,0.764
"3824","TCN1","hurdle",1.93665074249584e-36,3.935843,10.087287,6.151444,0.764
"2202","MECOM","hurdle",6.44285354052937e-43,1.886319,7.244242,5.357923,0.764
"775","CLDN7","hurdle",1.51741766789191e-17,8.054314,9.676028,1.621714,0.763
"1306","FAM134B","hurdle",1.96583691339029e-26,5.330523,8.2803,2.949777,0.762
"2388","MYL12B","hurdle",7.41795426810802e-19,8.855639,10.523276,1.667637,0.761
"12","ABCC3","hurdle",3.0885672623675e-26,5.341088,8.001032,2.659944,0.761
"3816","TCEA3","hurdle",1.32000578219109e-30,3.741363,7.454452,3.713089,0.76
"2435","NCOA7","hurdle",3.42036935802514e-19,6.188813,8.191017,2.002204,0.76
"1304","FAM129A","hurdle",1.53870125483188e-35,2.653272,7.316661,4.663389,0.759
"649","CD74","hurdle",1.36002279459112e-19,8.603186,10.784269,2.181083,0.759
"310","ATP10B","hurdle",3.29518928881776e-33,3.72971,7.528706,3.798996,0.758
"3794","TAPBP","hurdle",1.91825518987231e-19,7.753942,9.500365,1.746423,0.757
"3418","SFT2D1","hurdle",2.45025179769064e-19,5.708198,7.556452,1.848254,0.757
"1541","GJB1","hurdle",1.00708041817361e-29,4.234524,7.963936,3.729412,0.755
"915","CTSS","hurdle",2.01154211819457e-22,5.493513,8.02304,2.529527,0.755
"770","CLDN10","hurdle",3.7558864093852e-24,7.10176,8.118232,1.016472,0.755
"2947","PRSS8","hurdle",3.69007876832306e-29,5.392117,9.062393,3.670276,0.754
"1135","EDF1","hurdle",2.27717573220084e-15,8.477189,9.587871,1.110682,0.754
"3161","RHOC","hurdle",2.26631426221552e-17,7.726265,9.439893,1.713628,0.753
"3714","STARD10","hurdle",3.3358744991332e-18,6.254769,8.112721,1.857952,0.752
"2369","MTUS1","hurdle",4.84279331870762e-24,6.202987,8.594312,2.391325,0.752
"2109","LTB","hurdle",4.64652047286357e-39,1.928261,8.799065,6.870804,0.752
"1896","ITGB6","hurdle",1.18318384912083e-28,4.187747,7.421024,3.233277,0.752
"1597","GPR160","hurdle",1.82927569380686e-29,3.270621,7.163319,3.892698,0.752
"240","ARHGAP18","hurdle",1.67084573761249e-25,4.612081,7.393575,2.781494,0.752
"3296","RPS6","hurdle",1.79374647725986e-14,10.93764,12.21985,1.28221,0.75
"2044","LGALS3","hurdle",5.77214232497731e-19,7.216417,9.193027,1.97661,0.75
"3476","SLC12A2","hurdle",7.4629035674737e-24,5.562412,8.326631,2.764219,0.748
"3259","RPL8","hurdle",2.68706058104375e-13,10.43217,11.68846,1.25629,0.748
"3237","RPL27","hurdle",2.21426700588466e-16,9.454006,10.689306,1.2353,0.748
"2048","LGR4","hurdle",3.10299115276363e-23,4.307149,7.020967,2.713818,0.748
"1369","FBP1","hurdle",1.31870109463906e-29,4.049888,8.178963,4.129075,0.748
"346","B3GNT7","hurdle",1.03758563582025e-32,3.184188,8.055908,4.87172,0.748
"1710","HLA-B","hurdle",2.14727429863255e-13,9.92233,10.99813,1.0758,0.747
"755","CIB1","hurdle",2.70340117479867e-19,7.341303,9.138424,1.797121,0.747
"4044","TPT1","hurdle",3.7879624161789e-13,10.68598,12.11898,1.433,0.746
"3983","TMPRSS2","hurdle",4.61073503344793e-30,3.781769,7.697258,3.915489,0.746
"2980","PSME1","hurdle",4.33303671240312e-16,8.029644,9.253267,1.223623,0.746
"2742","PGM1","hurdle",1.01427529779377e-22,6.140587,8.502113,2.361526,0.746
"1864","INSR","hurdle",4.19783483565973e-24,6.551797,9.61334,3.061543,0.746
"3838","TESC","hurdle",7.007194897719e-18,5.804356,7.740679,1.936323,0.745
"3604","SMIM14","hurdle",8.48948192139517e-19,6.475204,8.255104,1.7799,0.745
"3278","RPS19","hurdle",1.56582195823817e-15,10.70763,12.15965,1.45202,0.745
"329","ATP8B1","hurdle",1.54012570086007e-28,3.844009,7.164382,3.320373,0.745
"3568","SLC44A4","hurdle",1.28168247180626e-20,5.603635,8.733375,3.12974,0.743
"3198","RNF213","hurdle",4.00334673640514e-19,6.45882,8.345137,1.886317,0.743
"2117","LYPD1","hurdle",1.23012659789868e-22,4.493924,7.34814,2.854216,0.743
"2446","NDUFV2","hurdle",7.86692106971799e-15,7.301168,8.741697,1.440529,0.742
"576","CAV2","hurdle",2.89765350135212e-20,5.526336,7.607413,2.081077,0.742
"927","CXCL2","hurdle",3.27029347611791e-25,5.431154,9.23588,3.804726,0.741
"4154","TXNDC17","hurdle",5.21787586985758e-15,7.160717,8.461077,1.30036,0.74
"3642","SOX4","hurdle",3.4138258946398e-15,8.346359,10.211676,1.865317,0.739
"3092","RASSF6","hurdle",1.23286743696994e-22,4.918235,7.73446,2.816225,0.739
"3087","RASEF","hurdle",2.92940132374432e-30,3.258873,6.869975,3.611102,0.739
"2582","OCIAD2","hurdle",8.92592362674121e-17,7.281556,8.693807,1.412251,0.739
"2076","LRG1","hurdle",2.42795867713031e-26,4.164142,7.864918,3.700776,0.739
"4043","TPST2","hurdle",9.44904270037624e-28,4.089742,8.269041,4.179299,0.738
"2468","NFIB","hurdle",2.67729522417828e-21,5.14606,7.81213,2.66607,0.737
"268","ARPC3","hurdle",1.20786542564213e-16,7.919748,9.02628,1.106532,0.736
"3270","RPS12","hurdle",2.39223038929594e-14,10.29581,12.31739,2.02158,0.735
"2997","PTGR1","hurdle",1.4801988592778e-21,6.178304,9.177275,2.998971,0.735
"1721","HLA-DRB1","hurdle",6.12319689221021e-23,6.098767,7.980728,1.881961,0.735
"3766","SYNGR2","hurdle",1.14575792437335e-15,7.204279,8.825193,1.620914,0.733
"398","BLVRB","hurdle",3.67540548668373e-20,6.322183,8.339458,2.017275,0.733
"1184","EIF4EBP1","hurdle",6.51645105718845e-15,7.305372,8.94133,1.635958,0.732
"4121","TSPO","hurdle",5.4202180154285e-15,6.860442,8.39968,1.539238,0.731
"3375","SEC61B","hurdle",9.95817091170806e-12,8.228731,9.2753,1.046569,0.731
"3233","RPL23","hurdle",4.79494871871885e-13,9.082369,10.485503,1.403134,0.731
"1720","HLA-DRA","hurdle",6.14872762724732e-22,6.685236,8.568782,1.883546,0.731
"1629","GSTM3","hurdle",3.97217001792574e-18,6.86076,8.660538,1.799778,0.731
"1242","ERBB3","hurdle",1.44520673761031e-22,4.586049,7.546342,2.960293,0.73
"936","CYBA","hurdle",5.45919827977936e-16,7.412184,9.298144,1.88596,0.73
"646","CD47","hurdle",1.30298565149048e-17,7.608393,9.449433,1.84104,0.73
"4168","UBD","hurdle",5.35111964848393e-33,4.832014,9.950177,5.118163,0.729
"3400","SERPINA3","hurdle",1.1636572107473e-29,8.373614,13.365444,4.99183,0.729
"3193","RNF181","hurdle",3.56422221760618e-16,6.664274,8.065222,1.400948,0.729
"1019","DHRS3","hurdle",1.22874975272262e-18,6.80333,9.215357,2.412027,0.729
"4034","TPD52L1","hurdle",3.04708486547971e-22,4.615216,7.356681,2.741465,0.728
"3248","RPL36","hurdle",2.57497935305512e-13,10.12477,11.49764,1.37287,0.728
"4202","UGT2B15","hurdle",5.32995401269e-23,5.270749,8.676506,3.405757,0.727
"3295","RPS5","hurdle",1.08788403076636e-10,9.723653,11.031564,1.307911,0.727
"666","CDH1","hurdle",4.40212600109675e-14,7.316272,8.857478,1.541206,0.727
"760","CISD3","hurdle",6.79833730762895e-13,6.390873,7.946973,1.5561,0.726
"4379","ZFAND5","hurdle",4.7482830610155e-15,7.671976,9.419731,1.747755,0.725
"4124","TSTA3","hurdle",1.13562436456281e-15,5.888737,7.604904,1.716167,0.725
"1939","KCNQ1","hurdle",6.32414191242477e-27,3.361424,6.815162,3.453738,0.725
"1460","FXYD3","hurdle",6.00990392857996e-15,6.843929,8.37813,1.534201,0.725
"3382","SELM","hurdle",1.17588724359095e-12,7.913941,9.018233,1.104292,0.724
"2583","OCLN","hurdle",3.32581209921322e-18,4.889091,7.39607,2.506979,0.724
"1393","FDX1","hurdle",2.25658321115916e-15,5.729433,7.492537,1.763104,0.724
"1230","EPHX1","hurdle",1.17584430121406e-12,6.402035,7.870042,1.468007,0.724
"343","B3GNT2","hurdle",6.15156960954306e-25,4.404796,7.715712,3.310916,0.724
"4219","UQCRQ","hurdle",1.49185862182768e-13,9.201979,10.306153,1.104174,0.723
"1849","IMPA2","hurdle",2.63011514111896e-24,4.91215,8.149134,3.236984,0.723
"1408","FKBP11","hurdle",5.11428901287882e-14,6.591236,8.265395,1.674159,0.723
"3288","RPS27L","hurdle",1.35426865201237e-12,8.090411,9.25219,1.161779,0.722
"3269","RPS11","hurdle",1.09508176637403e-11,9.649496,10.748527,1.099031,0.722
"2550","NTN4","hurdle",4.27027103116215e-24,4.160506,7.700324,3.539818,0.722
"2439","NDRG1","hurdle",1.31686293168722e-15,5.688579,8.203636,2.515057,0.722
"39","ACHE","hurdle",3.14187030632443e-26,3.470542,7.4399,3.969358,0.72
"3682","SQSTM1","hurdle",3.88161466670755e-13,9.707304,11.372901,1.665597,0.719
"916","CTTN","hurdle",8.82201544431737e-16,7.385707,9.380115,1.994408,0.719
"286","ASL","hurdle",1.05981887200937e-22,5.422314,8.04755,2.625236,0.719
"4123","TST","hurdle",2.83169638099251e-21,4.056665,6.970169,2.913504,0.718
"1776","HTATIP2","hurdle",1.25699988043789e-14,6.631038,8.466064,1.835026,0.717
"3900","TMBIM1","hurdle",9.76292878280375e-20,7.460495,9.891166,2.430671,0.715
"3242","RPL30","hurdle",4.65470780576236e-10,9.732351,10.746088,1.013737,0.715
"2339","MSRB1","hurdle",3.74684049520453e-16,5.332046,7.413685,2.081639,0.715
"1207","ENAH","hurdle",1.99662793586681e-13,6.342186,7.787657,1.445471,0.715
"979","DDAH1","hurdle",1.94203029997354e-17,5.268451,7.490501,2.22205,0.715
"2863","PPA1","hurdle",1.03300033625763e-10,8.037433,9.03694,0.999506999999999,0.714
"2856","POMP","hurdle",1.65369595391746e-12,8.17267,9.067864,0.895194,0.714
"2569","NUPR1","hurdle",3.09589780580775e-16,7.582908,8.622188,1.03928,0.714
"3510","SLC25A5","hurdle",4.98876300728988e-13,8.389622,9.587817,1.198195,0.713
"2908","PRDX4","hurdle",2.02225563753838e-10,8.524415,9.591894,1.067479,0.713
"2294","MPST","hurdle",1.41718810911878e-14,5.242851,7.414298,2.171447,0.713
"925","CXCL16","hurdle",2.54288409182659e-18,5.107193,7.490847,2.383654,0.713
"698","CELA2B","hurdle",5.4976035536185e-36,-1.285781,6.929624,8.215405,0.713
"4349","YWHAZ","hurdle",9.69823885503093e-14,7.693371,8.983296,1.289925,0.712
"3919","TMEM125","hurdle",1.96228568449351e-13,5.588171,7.314898,1.726727,0.712
"3219","RPL10","hurdle",1.66233349753205e-13,10.91548,12.77834,1.86286,0.712
"566","CASP4","hurdle",8.53651286295373e-15,5.819885,7.66032,1.840435,0.712
"209","AOX1","hurdle",4.94448967658706e-25,4.100887,8.351687,4.2508,0.712
"3823","TCIRG1","hurdle",5.00518361281657e-20,4.813039,7.812483,2.999444,0.711
"2107","LSR","hurdle",2.25287336027058e-13,6.556169,8.194897,1.638728,0.71
"620","CCNC","hurdle",1.71877943850179e-15,6.523866,8.320956,1.79709,0.71
"1980","KLF5","hurdle",6.08914552907005e-19,4.21959,7.20591,2.98632,0.709
"922","CXADR","hurdle",2.21805385416524e-14,6.001703,7.753157,1.751454,0.709
"3271","RPS13","hurdle",3.90976258757333e-11,9.933896,11.240443,1.306547,0.708
"3250","RPL36AL","hurdle",7.38991258383306e-10,8.605251,9.618318,1.013067,0.708
"2874","PPIC","hurdle",4.21883096298455e-15,6.834554,7.90549,1.070936,0.708
"2710","PDLIM5","hurdle",8.39899352327771e-12,6.591828,8.082908,1.49108,0.708
"2013","LAD1","hurdle",2.84517575248844e-18,5.467061,7.35602,1.888959,0.708
"1749","HPN","hurdle",1.33280291193035e-15,5.726575,7.706462,1.979887,0.708
"1376","FBXO2","hurdle",4.99778363035319e-14,5.635466,7.373375,1.737909,0.708
"2533","NR5A2","hurdle",2.88803222177478e-20,4.661291,7.837616,3.176325,0.707
"1559","GMNN","hurdle",2.42147832503804e-14,5.515813,7.514369,1.998556,0.707
"2120","LYPD6B","hurdle",2.66233901186842e-27,2.575451,6.817623,4.242172,0.706
"1578","GOLM1","hurdle",9.17940637079985e-16,6.851343,8.674798,1.823455,0.706
"560","CARHSP1","hurdle",6.93246706142673e-11,6.69465,8.03203,1.33738,0.706
"3272","RPS14","hurdle",5.38893379049342e-11,10.88437,12.10908,1.22471,0.705
"2539","NRG4","hurdle",2.40658678263612e-32,-0.1663437,5.7407044,5.9070481,0.705
"1566","GNB2L1","hurdle",3.13859144921143e-09,10.27839,11.06588,0.78749,0.705
"3636","SOD1","hurdle",2.26247395557918e-10,8.69124,9.782587,1.091347,0.704
"3089","RASGRP3","hurdle",8.5705449820695e-27,2.301363,6.58601,4.284647,0.704
"2630","PACSIN2","hurdle",4.73823437512227e-19,5.543518,8.078388,2.53487,0.704
"4258","VMP1","hurdle",1.46977714131713e-10,7.542544,8.575097,1.032553,0.703
"3222","RPL11","hurdle",2.1631937207763e-10,10.46015,11.6378,1.17765,0.703
"3162","RHOD","hurdle",2.26874321319907e-18,3.918614,6.349498,2.430884,0.703
"379","BCL3","hurdle",1.79706268067364e-15,4.587302,6.881381,2.294079,0.703
"2836","PNRC1","hurdle",4.53867799874374e-10,7.150209,8.497798,1.347589,0.702
"1711","HLA-C","hurdle",4.43349746661754e-10,9.768575,10.611914,0.843339,0.702
"769","CLDN1","hurdle",1.90027905007666e-18,6.074439,7.968691,1.894252,0.702
"4113","TSPAN13","hurdle",5.68680989204388e-14,7.237739,8.922711,1.684972,0.701
"2050","LIMA1","hurdle",2.89734364942676e-16,6.723035,8.749292,2.026257,0.701
"1251","ERP27","hurdle",1.9722619994087e-26,3.195506,8.044701,4.849195,0.701
"493","C4orf19","hurdle",2.47099684224139e-18,4.554802,7.370599,2.815797,0.701
"1680","HEBP2","hurdle",1.85482370212058e-13,6.858108,8.312648,1.45454,0.7
"1490","GALNT7","hurdle",3.77445801947884e-21,3.955106,7.205593,3.250487,0.7
"844","COX6B1","hurdle",6.9981508385612e-10,8.76932,9.566758,0.797438,0.7
"656","CDC42EP1","hurdle",1.00106478193437e-13,6.210943,7.766518,1.555575,0.7
"3281","RPS21","hurdle",1.79974081403946e-10,9.046135,10.013901,0.967766000000001,0.699
"2345","MT1G","hurdle",1.71740775838017e-24,4.741873,11.050435,6.308562,0.699
"2269","MLEC","hurdle",3.9280212247493e-13,7.113047,8.732602,1.619555,0.699
"1389","FCGRT","hurdle",1.33036981331773e-10,7.027819,8.206257,1.178438,0.699
"90","ADI1","hurdle",4.32463576790443e-14,6.361555,8.001671,1.640116,0.699
"3385","SEMA3B","hurdle",1.1222422291352e-20,3.779098,6.931735,3.152637,0.698
"3309","RRBP1","hurdle",6.31083974756441e-13,7.266676,8.850862,1.584186,0.698
"3263","RPLP2","hurdle",2.45105853313602e-09,10.35415,11.56122,1.20707,0.698
"3105","RBM47","hurdle",2.75251733757848e-11,6.548715,8.141606,1.592891,0.698
"2815","PLLP","hurdle",2.45007407477417e-21,3.262815,6.48792,3.225105,0.698
"2731","PFN1","hurdle",2.30229591770346e-09,9.348616,10.250817,0.902201,0.698
"2020","LAMTOR2","hurdle",2.80195718912225e-10,6.6629,7.747151,1.084251,0.698
"738","CHMP2B","hurdle",3.5340777837894e-14,6.35003,7.86231,1.51228,0.698
