"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.gamma","log2fold_change","Auc"
"3015","PPY","hurdle",6.49760598681961e-204,5.438662,17.897225,12.458563,1
"3394","SCG2","hurdle",4.35713368837797e-36,9.934392,12.381959,2.447567,0.876
"3772","STMN2","hurdle",4.70197867185671e-39,7.113671,9.787883,2.674212,0.872
"2317","MEIS2","hurdle",1.76925382687041e-38,6.982634,9.653748,2.671114,0.866
"1271","ETV1","hurdle",6.99618502620623e-45,5.51245,9.143475,3.631025,0.86
"2716","PAX6","hurdle",2.76703034628687e-34,7.487339,10.401461,2.914122,0.851
"3952","TM4SF4","hurdle",3.77545548585847e-32,9.822003,11.452201,1.630198,0.847
"2801","PEG10","hurdle",2.48974907807485e-34,7.36007,10.50939,3.14932,0.845
"3398","SCGB2A1","hurdle",2.82452764657645e-32,6.530287,9.222444,2.692157,0.832
"283","ARX","hurdle",9.08431236604038e-41,4.867917,8.310417,3.4425,0.826
"787","CHGB","hurdle",8.85974514351138e-27,12.08677,13.39068,1.30391,0.825
"1792","ID2","hurdle",7.92742433558157e-27,7.320018,9.731147,2.411129,0.808
"133","ALDH1A1","hurdle",9.25525991293044e-21,9.851589,11.246678,1.395089,0.8
"2692","PAM","hurdle",2.24303985604928e-26,8.7976,10.88091,2.08331,0.798
"2532","NEUROD1","hurdle",1.56005663728196e-22,7.654666,9.754914,2.100248,0.79
"878","CPE","hurdle",3.45002247593183e-21,10.57121,11.82964,1.25843,0.787
"3586","SLC6A4","hurdle",3.54176937750821e-36,3.399864,7.744873,4.345009,0.786
"2766","PCSK1N","hurdle",1.30916767370154e-21,10.71559,12.35146,1.63587,0.786
"218","APLP1","hurdle",4.66774415106229e-21,7.433944,9.254605,1.820661,0.786
"3457","SERTM1","hurdle",6.85292136558048e-44,2.409892,7.599159,5.189267,0.785
"1238","ENTPD2","hurdle",2.72148562801422e-35,2.817862,7.181053,4.363191,0.78
"592","CAMK2N1","hurdle",1.23622054537353e-26,6.230117,8.750649,2.520532,0.78
"22","ABCC9","hurdle",6.1580842597102e-28,4.376966,7.474852,3.097886,0.78
"3396","SCG5","hurdle",2.10994802084629e-21,10.85148,12.2859,1.43442,0.778
"2757","PCLO","hurdle",3.58594456345768e-22,6.474644,8.59898,2.124336,0.777
"2204","MALAT1","hurdle",3.84218972790929e-13,15.27361,16.15938,0.885769999999999,0.772
"1598","GNAS","hurdle",1.40728996993181e-19,11.24014,13.02735,1.78721,0.772
"3975","TMEM176B","hurdle",4.23147668497478e-19,8.727368,9.957194,1.229826,0.769
"1947","KCNMB2","hurdle",6.86706988578455e-26,4.95359,7.950093,2.996503,0.768
"2767","PCSK2","hurdle",9.55201500371549e-18,9.214655,10.282066,1.067411,0.767
"1796","IDS","hurdle",8.48814355937524e-18,8.225514,9.644697,1.419183,0.767
"3395","SCG3","hurdle",4.07844931630642e-18,8.930767,10.273877,1.34311,0.763
"3030","PRKACB","hurdle",2.31810801042196e-23,5.838222,8.320917,2.482695,0.763
"3604","SLITRK6","hurdle",2.80898125921033e-35,3.127521,7.630131,4.50261,0.762
"2349","MIR7-3HG","hurdle",3.78969293819276e-19,6.974055,8.59301,1.618955,0.762
"3932","THSD7A","hurdle",1.08174640114822e-36,2.893226,7.805606,4.91238,0.76
"3433","SEMA3E","hurdle",6.03453747851136e-27,4.312067,7.266848,2.954781,0.76
"1793","ID4","hurdle",3.08524598760646e-24,5.154944,8.010531,2.855587,0.76
"1427","FEV","hurdle",1.07026915186163e-24,4.957908,7.481844,2.523936,0.76
"1847","INPP5F","hurdle",6.47386292312602e-26,4.702473,8.057465,3.354992,0.758
"836","CMTM8","hurdle",3.00828912039492e-19,6.294257,8.203945,1.909688,0.758
"3138","RAB3B","hurdle",2.22783695572856e-18,7.532091,9.097529,1.565438,0.756
"1440","FGFR1","hurdle",1.04160644295065e-19,6.596378,8.745436,2.149058,0.755
"227","AQP3","hurdle",7.51974623101133e-20,7.199771,10.054653,2.854882,0.754
"3099","PTPRN2","hurdle",5.25904169212612e-16,7.28152,8.965912,1.684392,0.753
"2216","MAP2","hurdle",2.05715741520546e-19,6.079358,8.237116,2.157758,0.751
"21","ABCC8","hurdle",2.02575956807642e-16,8.352432,10.202687,1.850255,0.749
"2917","PLK2","hurdle",2.52581833696569e-17,6.984927,8.970879,1.985952,0.748
"408","BEX1","hurdle",5.67051912076135e-17,8.82905,9.834532,1.005482,0.748
"3639","SNAP25","hurdle",1.1004219321462e-17,7.069275,8.562364,1.493089,0.747
"3171","RAP1GAP2","hurdle",5.89891149354354e-20,6.002784,8.294222,2.291438,0.747
"485","C16orf45","hurdle",1.74032027654896e-17,6.426834,8.196786,1.769952,0.747
"2823","PGR","hurdle",1.98094455086095e-23,4.606368,7.511286,2.904918,0.746
"2558","NKX2-2","hurdle",1.12613795856881e-20,4.658575,6.935715,2.27714,0.746
"1834","INA","hurdle",1.99226499703104e-18,6.013292,8.072597,2.059305,0.746
"14","ABCB1","hurdle",3.40519812145746e-21,4.716733,7.103555,2.386822,0.745
"3353","RTN1","hurdle",1.09541532636255e-18,5.587141,7.860966,2.273825,0.743
"2111","LIMCH1","hurdle",7.37085956659192e-15,6.557322,8.356463,1.799141,0.742
"1319","FAM159B","hurdle",1.08610335185747e-17,6.651873,8.863891,2.212018,0.742
"962","CXXC4","hurdle",5.28648228021343e-20,4.536886,7.178748,2.641862,0.742
"3116","QPCT","hurdle",1.95021151903605e-15,8.528292,9.97084,1.442548,0.741
"2689","PAK3","hurdle",6.31327009231322e-17,6.194762,7.769506,1.574744,0.74
"566","CACNA1A","hurdle",2.80374824432768e-21,4.387731,7.159294,2.771563,0.739
"4206","UCHL1","hurdle",1.04320859995343e-14,8.33458,9.557201,1.222621,0.738
"3377","SAMD5","hurdle",1.17168409765183e-20,4.803271,7.421154,2.617883,0.738
"1888","ITM2C","hurdle",9.24429635262649e-17,8.233493,9.771947,1.538454,0.738
"4006","TMOD1","hurdle",2.49319184734369e-16,6.62171,8.186373,1.564663,0.737
"2215","MAP1B","hurdle",3.87795830401439e-14,8.481119,9.987053,1.505934,0.737
"609","CARD11","hurdle",1.90602469448672e-26,3.769338,7.096222,3.326884,0.737
"409","BEX2","hurdle",1.17555572309813e-14,7.336985,8.445233,1.108248,0.737
"829","CLU","hurdle",5.86834850065154e-14,11.1061,12.24846,1.14236,0.736
"688","CD200","hurdle",1.84538722563484e-18,5.480082,7.68128,2.201198,0.736
"121","AKAP12","hurdle",3.11713618555947e-16,6.290503,8.064189,1.773686,0.736
"1607","GNG4","hurdle",1.29897641678976e-17,6.026502,7.751008,1.724506,0.735
"4276","VAMP2","hurdle",1.34254640780233e-13,7.676928,8.66157,0.984641999999999,0.734
"2707","PARM1","hurdle",3.26744423761949e-14,7.61697,8.797883,1.180913,0.733
"3181","RASD1","hurdle",1.10874984192578e-16,7.070218,9.318078,2.24786,0.729
"1932","KCNH2","hurdle",1.20120170406893e-17,5.282048,7.308012,2.025964,0.729
"3882","TCEAL2","hurdle",1.9063189726506e-15,5.806408,7.48057,1.674162,0.728
"334","ATP6V0E2","hurdle",2.69884340008275e-14,6.868823,8.662008,1.793185,0.728
"3098","PTPRN","hurdle",4.03624745482322e-13,9.54067,10.53812,0.997449999999999,0.727
"1220","ELL2","hurdle",1.21947719750027e-15,6.650365,8.485303,1.834938,0.727
"3670","SORL1","hurdle",4.73632473649382e-13,6.869596,8.424242,1.554646,0.725
"1940","KCNJ3","hurdle",1.8938153429616e-20,3.969979,6.814839,2.84486,0.725
"2093","LDLRAP1","hurdle",5.47554813463386e-16,5.636685,7.728916,2.092231,0.723
"1877","ISL1","hurdle",2.26828594955233e-13,7.424373,8.948434,1.524061,0.723
"2725","PCDH17","hurdle",1.30621875852893e-15,5.948047,7.977077,2.02903,0.722
"3974","TMEM176A","hurdle",8.77452875528758e-14,8.062333,9.200582,1.138249,0.721
"795","CHRM3","hurdle",1.04809905753197e-25,2.388455,6.499525,4.11107,0.721
"793","CHN2","hurdle",9.42997122362564e-23,3.528508,6.909293,3.380785,0.721
"3748","SSX2IP","hurdle",1.91562509050476e-15,5.405234,7.574916,2.169682,0.72
"1140","DPYSL2","hurdle",1.16685398628676e-13,6.560052,8.108404,1.548352,0.72
"341","ATP8A1","hurdle",2.87232703221181e-19,4.241779,6.994011,2.752232,0.72
"4121","TSPAN7","hurdle",6.44664725576644e-14,7.192676,9.211136,2.01846,0.719
"2786","PDK3","hurdle",9.59112451992868e-17,6.273469,8.672342,2.398873,0.719
"2370","MMRN1","hurdle",3.88163007199124e-22,3.802678,6.525209,2.722531,0.719
"1943","KCNJ8","hurdle",6.68210064570254e-16,5.376216,7.458744,2.082528,0.718
"570","CACNA1H","hurdle",1.54907008066392e-18,4.459464,7.192162,2.732698,0.718
"1540","GC","hurdle",5.95670188990974e-13,8.551177,10.162348,1.611171,0.717
"1236","ENPP2","hurdle",2.64344585955142e-14,7.640395,9.110177,1.469782,0.717
"3416","SDK1","hurdle",4.24154409857736e-18,4.186502,6.829492,2.64299,0.716
"3773","STMN3","hurdle",2.18976728700528e-15,4.888745,6.415646,1.526901,0.715
"1996","KIAA1324","hurdle",4.9750107963076e-12,8.293352,9.52622,1.232868,0.713
"125","AKAP9","hurdle",1.32376220529599e-14,7.917498,9.216153,1.298655,0.713
"4304","VWA5B2","hurdle",5.83203623596728e-16,5.119426,7.30281,2.183384,0.712
"3418","SEC11C","hurdle",4.01981005156504e-10,9.497928,10.057596,0.559668,0.712
"2593","NR0B1","hurdle",2.5327902280964e-19,4.669306,7.866866,3.19756,0.712
"2543","NGFRAP1","hurdle",6.69734498440616e-10,8.883997,9.566556,0.682558999999999,0.712
"1935","KCNH6","hurdle",8.32323956602684e-22,4.068518,7.031672,2.963154,0.712
"3568","SLC40A1","hurdle",1.31196076080405e-13,6.680746,8.078909,1.398163,0.711
"1524","GAD2","hurdle",1.36458677442396e-11,7.790594,8.78781,0.997216000000001,0.71
"1221","ELMO1","hurdle",8.0386867487077e-19,4.895735,7.736364,2.840629,0.71
"582","CADPS","hurdle",3.99100037948044e-12,6.50649,8.196476,1.689986,0.71
"221","APOH","hurdle",3.23716359042357e-20,3.971094,7.130268,3.159174,0.71
"1585","GLT8D2","hurdle",3.79925479794403e-17,4.764257,7.15421,2.389953,0.709
"904","CRIP2","hurdle",2.01613328878842e-12,7.137857,8.844905,1.707048,0.709
"4225","UNC80","hurdle",2.85898152748481e-15,5.209765,7.305051,2.095286,0.707
"343","ATP9A","hurdle",2.63116954246511e-12,6.381659,7.917252,1.535593,0.705
"4237","USH1C","hurdle",1.46851688071992e-12,5.867354,7.87497,2.007616,0.704
"2933","PNMAL1","hurdle",1.30170925890709e-16,4.478017,6.872436,2.394419,0.704
"1227","EMC10","hurdle",4.07013820048767e-10,7.923603,8.931144,1.007541,0.704
"909","CRMP1","hurdle",8.07977183332971e-15,5.263695,7.148439,1.884744,0.704
"3786","STXBP1","hurdle",3.3119295073591e-12,7.093051,8.574067,1.481016,0.703
"3257","RGS4","hurdle",1.55237706035076e-11,7.135232,8.679749,1.544517,0.702
"1141","DPYSL3","hurdle",1.62242589798949e-15,4.750765,6.983109,2.232344,0.701
"3358","RUFY3","hurdle",2.83760414014696e-13,6.543459,8.174099,1.63064,0.7
"3092","PTP4A3","hurdle",4.35940866427125e-17,5.452879,8.356315,2.903436,0.7
"2581","NPDC1","hurdle",4.7668446253024e-10,8.19384,9.305018,1.111178,0.7
"1064","DIRAS3","hurdle",3.28129680557203e-14,5.576765,7.751134,2.174369,0.7
"2721","PBXIP1","hurdle",1.09691199827976e-12,5.918583,7.693037,1.774454,0.699
"1850","INSM1","hurdle",2.91472479332371e-14,5.992257,7.38647,1.394213,0.699
"410","BEX4","hurdle",6.07735177071777e-10,7.355132,8.345934,0.990802,0.699
"4007","TMOD2","hurdle",9.22643185164148e-16,4.232224,6.359878,2.127654,0.698
"3585","SLC6A17","hurdle",4.09956783431235e-19,3.469472,6.568157,3.098685,0.698
"503","C1GALT1","hurdle",2.571204109371e-11,5.79525,7.25864,1.46339,0.697
"3576","SLC4A10","hurdle",2.50038021154572e-18,3.829521,6.36312,2.533599,0.696
"3909","TERF2IP","hurdle",7.56842521224911e-10,7.613709,8.702145,1.088436,0.695
"2787","PDK4","hurdle",1.08419799657006e-10,8.365328,9.226043,0.860715000000001,0.695
"3072","PRUNE2","hurdle",1.02539216551398e-13,5.347537,7.215188,1.867651,0.694
"2712","PART1","hurdle",6.7872438083432e-20,2.803725,5.91328,3.109555,0.694
"572","CACNA2D2","hurdle",3.57471050894814e-14,4.673602,6.534343,1.860741,0.694
"325","ATP2A3","hurdle",5.74910025163855e-12,6.509566,8.03471,1.525144,0.693
"4143","TTC3","hurdle",2.49229503063114e-10,8.464273,9.547052,1.082779,0.692
"3170","RAP1GAP","hurdle",1.2666836874311e-11,6.482329,8.412329,1.93,0.692
"3115","QDPR","hurdle",8.96350457668213e-09,8.114396,8.962101,0.847705000000001,0.692
"4044","TOX3","hurdle",6.83844285646159e-19,2.969065,6.228099,3.259034,0.691
"3218","RCAN2","hurdle",5.87464756285132e-11,6.012151,7.559545,1.547394,0.691
"2609","NRXN1","hurdle",1.55859876871532e-13,4.801746,6.698134,1.896388,0.691
"4283","VGF","hurdle",3.41021440606381e-11,7.361319,8.648005,1.286686,0.69
"3695","SPC25","hurdle",6.06097013938327e-16,4.35275,6.619611,2.266861,0.69
"3399","SCGN","hurdle",3.24533353034723e-10,9.149411,9.866787,0.717376,0.69
"1924","KCNA5","hurdle",2.43840842486742e-14,4.31681,6.675119,2.358309,0.69
"1593","GNAI1","hurdle",1.91102371849955e-10,6.378636,8.144758,1.766122,0.69
"220","APOBEC2","hurdle",2.00275336052072e-17,4.236934,6.95997,2.723036,0.69
"3427","SEC24D","hurdle",1.11040773609673e-09,6.702465,7.693199,0.990734,0.689
"1511","FXYD6","hurdle",2.82546992155233e-11,7.152288,8.214958,1.06267,0.689
"586","CALM1","hurdle",1.61425615366453e-07,9.836069,10.667977,0.831908,0.689
"3648","SNHG9","hurdle",7.309025259828e-12,4.397961,6.042435,1.644474,0.688
"1244","EPB41L3","hurdle",8.28314765275007e-13,5.032843,7.143366,2.110523,0.687
"117","AK4","hurdle",9.59435319451531e-20,2.545197,5.751405,3.206208,0.687
"4043","TOX","hurdle",4.0466847846447e-14,4.525132,6.689301,2.164169,0.686
"3612","SMARCA1","hurdle",2.08587693039154e-09,6.684929,7.834125,1.149196,0.686
"3269","RIMS2","hurdle",1.62724153956527e-12,5.084371,6.883186,1.798815,0.686
"3109","PXK","hurdle",3.62087038745443e-13,5.152565,7.687559,2.534994,0.686
"2911","PLEKHB1","hurdle",2.613177421981e-13,5.584379,7.819364,2.234985,0.686
"2132","LONRF2","hurdle",5.24676927527339e-13,4.756087,7.134485,2.378398,0.686
"2180","LUC7L3","hurdle",3.02469789152362e-10,7.292496,8.60733,1.314834,0.685
"3067","PRSS23","hurdle",3.14833341376413e-09,7.780764,8.976073,1.195309,0.684
"2248","MARCH4","hurdle",2.13098526191719e-18,2.910951,5.721467,2.810516,0.684
"1173","DZIP3","hurdle",4.53974671179564e-10,6.258796,7.67552,1.416724,0.684
"1147","DSP","hurdle",5.23977123561029e-09,8.38487,9.458199,1.073329,0.684
"2932","PNMA2","hurdle",1.64881693703937e-11,5.908823,7.328946,1.420123,0.683
"3894","TDP2","hurdle",3.29485900071997e-09,6.016533,7.394348,1.377815,0.682
"843","CNNM3","hurdle",9.11984401256121e-12,4.892875,7.081837,2.188962,0.682
"3832","SYT7","hurdle",2.10087336548097e-10,6.070328,7.409564,1.339236,0.681
"3788","STXBP5","hurdle",3.18198628254911e-12,4.707985,6.864221,2.156236,0.681
"3247","RGAG4","hurdle",5.54265077335944e-14,3.881598,6.064187,2.182589,0.681
"1373","FAM69B","hurdle",3.0996656805298e-18,3.344062,6.782652,3.43859,0.681
"1196","EFNA5","hurdle",1.04347372789715e-12,5.120321,7.189282,2.068961,0.681
"956","CUX1","hurdle",4.11324166760187e-09,5.969309,7.424915,1.455606,0.681
"3406","SCN3B","hurdle",3.64848992840971e-14,4.389481,6.394492,2.005011,0.68
"2591","NPTN","hurdle",4.38135615044913e-10,6.823175,8.132169,1.308994,0.68
"1510","FXYD2","hurdle",1.00988819199017e-09,6.436125,7.937383,1.501258,0.68
"1134","DPP6","hurdle",6.6632897215572e-11,5.93085,7.422207,1.491357,0.68
"834","CMIP","hurdle",2.50053764779897e-11,4.813461,6.85426,2.040799,0.68
"3805","SV2A","hurdle",1.23096622543005e-11,5.058586,6.80529,1.746704,0.679
"3633","SMOC1","hurdle",7.18519749759815e-13,5.183818,6.878621,1.694803,0.679
"1981","KIAA0319","hurdle",1.18597012972629e-16,3.49953,6.606902,3.107372,0.679
"1791","ID1","hurdle",1.43293075962168e-10,7.304392,9.380257,2.075865,0.679
"1012","DDR1","hurdle",4.13417045938813e-11,7.752736,9.281445,1.528709,0.679
"2923","PLXNB1","hurdle",3.9236237900059e-11,5.360657,7.130414,1.769757,0.678
"2533","NFASC","hurdle",1.09438304400749e-11,5.363255,6.942934,1.579679,0.678
"2012","KIF13A","hurdle",1.17042639212952e-11,4.300627,6.188062,1.887435,0.678
"583","CALB1","hurdle",1.31077804703707e-16,4.151527,7.255359,3.103832,0.678
"568","CACNA1C","hurdle",1.55433015618135e-13,4.091738,6.410911,2.319173,0.678
"51","ACSL1","hurdle",2.5290678414237e-10,5.843972,7.379236,1.535264,0.678
"4159","TUBB2A","hurdle",4.03530179295901e-10,6.320409,7.207184,0.886775,0.677
"4334","WFS1","hurdle",1.01943422096274e-09,7.160454,8.509765,1.349311,0.676
"3481","SGSM1","hurdle",4.12109214264394e-13,4.107693,6.473597,2.365904,0.676
"2568","NMNAT2","hurdle",4.14896273963799e-13,4.615886,6.75746,2.141574,0.676
"1754","HMP19","hurdle",3.25457787906011e-18,2.659059,6.097607,3.438548,0.676
"1158","DUSP26","hurdle",4.21023114082778e-10,6.154367,7.466102,1.311735,0.676
"851","CNTN1","hurdle",8.9314730696047e-10,6.384865,7.741226,1.356361,0.676
"2485","NBEA","hurdle",7.8948601155702e-11,5.604626,7.256055,1.651429,0.675
"1014","DDX17","hurdle",6.37913840907464e-09,7.890827,9.019192,1.128365,0.675
"876","COX8A","hurdle",2.00911559264904e-07,8.925122,9.519806,0.594684000000001,0.675
"250","ARHGEF3","hurdle",1.81288328316442e-11,5.094749,7.144222,2.049473,0.675
"3236","REV3L","hurdle",6.86950200109629e-10,6.135768,7.750409,1.614641,0.674
"2723","PCDH10","hurdle",3.05772382759577e-26,0.3046282,6.127373,5.8227448,0.674
"2720","PBX3","hurdle",2.59251324527539e-10,5.142763,7.181814,2.039051,0.674
"2028","KL","hurdle",1.57081445022602e-17,3.105843,5.56333,2.457487,0.674
"4031","TNRC6A","hurdle",1.31719515153422e-09,5.501174,7.035607,1.534433,0.673
"3849","TAGLN3","hurdle",2.58043926261485e-12,4.90079,7.116913,2.216123,0.673
"3806","SVIP","hurdle",1.89338627238942e-07,6.540066,7.610015,1.069949,0.673
"3244","RFX6","hurdle",6.70231768578097e-12,6.034331,7.312313,1.277982,0.673
"1431","FGD4","hurdle",7.19527686908812e-11,4.978163,7.051731,2.073568,0.673
"4342","WNT4","hurdle",1.17631225412278e-10,5.368764,7.400489,2.031725,0.672
"2979","PPL","hurdle",4.45883823674564e-10,6.434135,8.144716,1.710581,0.672
"2186","LYSMD2","hurdle",3.02465677192338e-10,5.933217,6.910492,0.977275,0.672
"3825","SYT13","hurdle",1.49098116458335e-09,6.552972,7.455628,0.902656,0.671
"3292","RNF157","hurdle",1.93782163319179e-16,2.90328,5.87939,2.97611,0.671
"1326","FAM167A","hurdle",9.36142800271268e-13,4.766189,6.791398,2.025209,0.671
"3571","SLC43A2","hurdle",9.63443427985076e-12,5.16189,7.443672,2.281782,0.67
"1717","HECTD4","hurdle",8.90726217873386e-10,5.262515,7.088698,1.826183,0.67
"1670","GSE1","hurdle",2.74800708468685e-09,5.716412,7.606358,1.889946,0.67
"1520","GABARAP","hurdle",1.88231486898759e-08,8.828705,9.857594,1.028889,0.67
"249","ARHGEF28","hurdle",1.96561926488024e-11,4.678513,6.743828,2.065315,0.67
"2930","PNISR","hurdle",2.18047549716885e-06,7.577772,8.426481,0.848709,0.669
"1660","GRIA3","hurdle",1.08423127776413e-10,5.010736,7.258176,2.24744,0.669
"1546","GCNT3","hurdle",2.57167731201827e-10,6.201956,7.673593,1.471637,0.669
"1363","FAM46A","hurdle",6.95102379524216e-08,6.726627,7.952796,1.226169,0.669
"190","ANKRD65","hurdle",9.68450087611614e-11,5.048283,6.764507,1.716224,0.669
"3874","TBL1X","hurdle",1.62052172405628e-09,5.270521,6.951444,1.680923,0.668
"1543","GCH1","hurdle",1.22742450444433e-08,6.859048,7.992564,1.133516,0.668
"1164","DYNC1I1","hurdle",4.02856190234313e-12,4.360053,6.465147,2.105094,0.668
"588","CALY","hurdle",3.03904291125855e-12,5.302853,7.05214,1.749287,0.668
"3132","RAB26","hurdle",1.57160603320948e-09,5.616646,7.336694,1.720048,0.667
"2904","PLCXD3","hurdle",8.84464365515602e-10,5.813854,7.319254,1.5054,0.667
"569","CACNA1D","hurdle",4.04146906839268e-12,4.768433,6.992946,2.224513,0.667
"141","ALPK3","hurdle",5.73572074153977e-11,5.619318,6.71072,1.091402,0.667
"46","ACLY","hurdle",1.21827127376018e-08,7.551036,8.81028,1.259244,0.667
"4392","ZBTB4","hurdle",1.45141594995431e-08,5.390875,6.869398,1.478523,0.666
"3400","SCIN","hurdle",2.40256906216367e-17,2.899497,6.417963,3.518466,0.666
"3297","RNF2","hurdle",1.18764454224706e-11,4.21394,6.501229,2.287289,0.666
"2776","PDE3A","hurdle",1.63884271438387e-13,3.771361,6.112368,2.341007,0.666
"2293","MDFIC","hurdle",1.96542235728355e-11,4.224867,6.22112,1.996253,0.666
"746","CELF4","hurdle",7.38489534104202e-12,5.482219,6.488232,1.006013,0.666
"703","CDC42BPA","hurdle",8.66257249077096e-08,6.690404,7.836961,1.146557,0.666
"3782","STX1A","hurdle",2.57486522012867e-08,6.546911,7.789395,1.242484,0.665
"3613","SMARCA2","hurdle",1.14386684682386e-08,6.31835,7.784146,1.465796,0.665
"2582","NPFFR2","hurdle",1.07402704901652e-31,-3.321928,5.758444,9.080372,0.665
"977","DAAM1","hurdle",3.31302535676035e-08,6.256249,7.702501,1.446252,0.665
"4455","ZKSCAN1","hurdle",2.15264283702808e-06,7.691766,8.712444,1.020678,0.664
"2212","MANEAL","hurdle",2.51106325611596e-11,4.348296,6.257503,1.909207,0.664
"1729","HGD","hurdle",8.20409027079398e-11,6.164849,7.617145,1.452296,0.664
"4032","TNRC6B","hurdle",3.55397671850779e-09,6.785744,8.050854,1.26511,0.663
"2433","MXRA7","hurdle",6.16254052198752e-08,6.156019,7.537389,1.38137,0.663
"2208","MAN1C1","hurdle",1.47100347150034e-12,4.083577,6.28647,2.202893,0.663
"633","CBX7","hurdle",6.14278862045718e-11,4.190744,5.999843,1.809099,0.663
"414","BHLHE41","hurdle",2.16412868770569e-10,4.821147,6.443687,1.62254,0.663
"4077","TRIM2","hurdle",4.20753805344506e-08,5.532668,6.887636,1.354968,0.662
"3760","STAT4","hurdle",3.99791309159924e-16,3.148709,6.109179,2.96047,0.661
"2239","MAPK8IP2","hurdle",1.97891429083969e-11,4.17183,6.379159,2.207329,0.661
"2229","MAP9","hurdle",1.01794704603435e-07,5.98017,6.994242,1.014072,0.661
"1551","GDI1","hurdle",5.50849208119977e-08,7.075784,8.230948,1.155164,0.661
"1521","GABARAPL2","hurdle",1.24062584423627e-06,8.235741,8.914978,0.679236999999999,0.661
"1435","FGF14","hurdle",9.31062554918866e-12,4.529341,6.19408,1.664739,0.661
"857","CNTNAP5","hurdle",2.05944883978334e-24,-0.2726662,6.0060697,6.2787359,0.661
"585","CALCOCO2","hurdle",5.08383463336066e-07,6.995974,8.191515,1.195541,0.661
"521","C21orf58","hurdle",1.72927762363563e-08,5.507872,6.641026,1.133154,0.661
"4003","TMEM86B","hurdle",2.22542470873322e-13,3.783926,6.253657,2.469731,0.66
"2207","MAN1A1","hurdle",1.05030804211288e-06,7.072928,8.377528,1.3046,0.66
"694","CD81","hurdle",2.58994245893457e-07,7.760992,8.857519,1.096527,0.66
"453","BTG2","hurdle",3.15568745666137e-08,7.167022,8.621362,1.45434,0.66
"12","ABCA5","hurdle",1.23916405487999e-07,6.308396,7.646495,1.338099,0.66
"4307","WAC","hurdle",4.6211308512491e-07,6.589161,7.738194,1.149033,0.659
"4126","TSPYL4","hurdle",1.7235555271202e-09,5.42342,7.259701,1.836281,0.659
"3410","SCP2","hurdle",5.17306523294323e-07,7.751105,8.425577,0.674472000000001,0.659
"2592","NPW","hurdle",4.74689401173706e-14,3.680886,6.410667,2.729781,0.659
"2505","NDFIP1","hurdle",8.05949063365167e-06,7.915728,8.71753,0.801802,0.659
"2316","MEIS1","hurdle",7.49410960292952e-08,6.150125,7.879524,1.729399,0.659
"2284","MCF2L","hurdle",1.26222178824724e-10,4.165789,6.130248,1.964459,0.659
"1659","GRIA2","hurdle",5.12420809140922e-12,3.83746,6.059818,2.222358,0.659
"1624","GPC6","hurdle",4.66728024111554e-09,5.476115,6.791968,1.315853,0.659
"1104","DNAJC12","hurdle",5.5608446171636e-08,6.772381,7.744178,0.971797,0.659
"757","CEP350","hurdle",3.36710557885518e-07,6.013535,7.356025,1.34249,0.659
"130","AKT3","hurdle",3.80220664100992e-09,5.174932,6.924823,1.749891,0.659
"3709","SPIRE1","hurdle",1.05014878790303e-09,4.654298,6.679831,2.025533,0.658
"3154","RAD21","hurdle",5.90104028100062e-07,6.69821,7.948686,1.250476,0.658
"2781","PDE4DIP","hurdle",1.54365816140381e-07,6.335343,7.505996,1.170653,0.658
"2511","NDUFC1","hurdle",4.25377691353399e-07,7.501672,8.197241,0.695569,0.658
"2437","MYH10","hurdle",9.38439292605716e-08,6.186094,7.376215,1.190121,0.658
"1720","HEPACAM2","hurdle",2.19008424593467e-09,7.168076,8.102211,0.934135,0.658
"1395","FBXL16","hurdle",2.35767137867846e-11,4.080246,6.107119,2.026873,0.658
"792","CHN1","hurdle",1.91888112329323e-09,4.876399,6.714084,1.837685,0.658
"706","CDC42EP3","hurdle",4.55803458239878e-09,6.308611,7.183329,0.874718,0.658
"4408","ZC3H6","hurdle",8.36663821634158e-10,4.433566,6.219138,1.785572,0.657
"3994","TMEM59L","hurdle",1.82578448469326e-09,5.139258,7.066165,1.926907,0.657
"3991","TMEM47","hurdle",5.15500289451533e-12,3.880365,5.975361,2.094996,0.657
"3871","TBCC","hurdle",2.89609304609754e-07,6.379057,7.783343,1.404286,0.657
"3588","SLC7A14","hurdle",4.57938759409003e-12,4.100496,6.019508,1.919012,0.657
"3021","PREPL","hurdle",6.15150123326006e-07,6.654767,7.675778,1.021011,0.657
"2376","MOB1B","hurdle",2.3098837296065e-08,5.524947,6.917813,1.392866,0.657
"2015","KIF1A","hurdle",4.73993133555621e-08,7.024866,8.018752,0.993885999999999,0.657
"1232","ENO2","hurdle",1.29874234317359e-07,6.779232,7.880505,1.101273,0.657
"979","DACH1","hurdle",6.48253464543112e-11,4.547922,6.07174,1.523818,0.657
"2","A1CF","hurdle",1.81458181347995e-09,5.670045,6.768344,1.098299,0.657
"3553","SLC2A13","hurdle",7.91468855665749e-09,5.04454,6.508888,1.464348,0.656
"3050","PRPF8","hurdle",6.46718243165811e-07,6.788716,7.967909,1.179193,0.656
"2882","PITPNC1","hurdle",1.54296922221946e-07,5.165154,6.676462,1.511308,0.656
"2571","NOL4","hurdle",3.86781773680555e-10,5.414087,6.605385,1.191298,0.656
