Symbol,terms
CFTR,Ionocyte
CEL,Ionocyte
SCNN1B,Ionocyte
BPIFA2,Ionocyte
CLCNKB,Ionocyte
ATP6V1G3,Ionocyte
CFC1,GHRL+ NE
NEUROD1,GHRL+ NE
RFX6,GHRL+ NE
GHRL,GHRL+ NE
ZEB2,ZEB2+ PCSK1N-lo NE
PCSK1N,ZEB2+ PCSK1N-lo NE
ASCL1,ASCL1+ NOTCH1+ NE
NOTCH1,ASCL1+ NOTCH1+ NE
ASCL1,ASCL1+ GRP-lo NE
GRP,ASCL1+ GRP-lo NE
ASCL1,ASCL1+ GRP-hi NE
GRP,ASCL1+ GRP-hi NE
ASCL1,GRP+ ASCL1- NE
GRP,GRP+ ASCL1- NE
GRP,GRP+ DLK1+ NE
DLK,GRP+ DLK1+ NE
GRP,GRP+ NLGN1- NE
NLGN1,GRP+ NLGN1- NE
HBB,Definitive erythrocyte
HBG2,Definitive erythrocyte
ALAS2,Definitive erythrocyte
HBG1,Definitive erythrocyte
UCP2,Definitive reticulocyte
MOSPD1,Definitive reticulocyte
ACSL6,Definitive reticulocyte
CHST2,Definitive reticulocyte
RSAD2,Definitive reticulocyte
ARG1,Definitive reticulocyte
TSPO2,Definitive reticulocyte
CTSE,Primitive erythrocyte
MT1G,Primitive erythrocyte
MT1E,Primitive erythrocyte
BEX1,Primitive erythrocyte
MAP1A,Primitive erythrocyte
MT1F,Primitive erythrocyte
SOD3,Primitive erythrocyte
FDXR,Metabolic erythrocyte
CDKN1A,Metabolic erythrocyte
GDF15,Metabolic erythrocyte
UCA1,Metabolic erythrocyte
HMOX1,Metabolic erythrocyte
HEMGN,Prol definitive erythroblast
GATA1,Prol definitive erythroblast
MKI67,Prol definitive erythroblast
TOP2A,Prol definitive erythroblast
CENPF,Prol definitive erythroblast
CPEB4,Definitive erythroblast
ATG4D,Definitive erythroblast
RIPOR3,Definitive erythroblast
XPO7,Definitive erythroblast
TRAK2,Definitive erythroblast
USP7,Definitive erythroblast
LPIN2,Definitive erythroblast
FHDC1,Definitive erythroblast
CCR7,CD4+ Tn/Tcm
LEF1,CD4+ Tn/Tcm
SELL,CD4+ Tn/Tcm
TCF7,CD4+ Tn/Tcm
CD27,CD4+ Tn/Tcm
CD28,CD4+ Tn/Tcm
CCR7,CD4+ Tn/Tcm
TCF7,CD4+ Tn/Tcm
BACH2,CD4+ Tn/Tcm
CD2,CD4+ Tem
CCL5,CD4+ Tem
ID2,CD4+ Tem
STAT3,CD4+ Tr1
IRF1,CD4+ Tr1
BATF,CD4+ Tr1
TGFB1,CD4+ Tr1
PRDM1,CD4+ Tr1
SAT1,CD4+ Tr1
RUNX1,Th17-like
RORA,Th17-like
NEAT1,Th17-like
IKZF1,Th17-like
NFATC2,Th17-like
NFATC3,Th17-like
NFAT5,Th17-like
CXCR4,CD8+ Tem
CCL4,CD8+ Tem
CCL5,CD8+ Tem
DUSP2,CD8+ Tem
TBX21,CD8+ Temra
PRF1,CD8+ Temra
CTSW,CD8+ Temra
CX3CR1,CD8+ Temra
FCGR3A,CD8+ Temra
GZMA,CD8+ Temra
GZMB,CD8+ Temra
GZMH,CD8+ Temra
KLRG1,CD8+ Temra
FGFBP2,CD8+ Temra
ZBTB16,MAIT
KLRB1,MAIT
SLC4A10,MAIT
RORC,MAIT
CCR6,MAIT
NCR3,MAIT
MKI67,Prol T
CDK1,Prol T
TOP2A,Prol T
TYMS,Prol T
NCAM1,ITGAL+ CD56+ NK
ITGAL,ITGAL+ CD56+ NK
NCAM1,IL12RB2+ CD56+ NK
IL12RB2,IL12RB2+ CD56+ NK
STAT4,IL12RB2+ CD56+ NK
FYN,IL12RB2+ CD56+ NK
FCGR3A,KLRF1+ CD16+ NK
FGFBP2,KLRF1+ CD16+ NK
KLRF1,KLRF1+ CD16+ NK
GZMH,KLRF1+ CD16+ NK
